Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,45587,45303,381198,208359,8.36,161
2,India,Asiatic Region,42395,40917,237713,102469,5.61,128
3,United States,Northern America,35549,32662,656762,254722,18.47,225
4,Brazil,Latin America,10562,10434,175859,67129,16.65,122
5,United Kingdom,Western Europe,10182,9355,188570,41140,18.52,144
6,Romania,Eastern Europe,9608,9599,42176,27751,4.39,39
7,Iran,Middle East,8680,8456,86291,29689,9.94,80
8,Germany,Western Europe,8006,6827,130601,25960,16.31,128
9,Japan,Asiatic Region,6271,6094,117618,23616,18.76,114
10,Italy,Western Europe,5872,5523,110485,23962,18.82,113
11,Indonesia,Asiatic Region,4527,4518,17023,7253,3.76,43
12,France,Western Europe,4394,4207,99632,15984,22.67,118
13,Spain,Western Europe,3766,3536,66523,12535,17.66,96
14,Canada,Northern America,3630,3362,76398,10179,21.05,112
15,Egypt,Africa/Middle East,3553,3526,36127,10458,10.17,57
16,Australia,Pacific Region,3545,3351,78874,14348,22.25,110
17,South Korea,Asiatic Region,3462,3418,61395,12271,17.73,98
18,Russian Federation,Eastern Europe,3221,3172,16540,8095,5.14,46
19,Malaysia,Asiatic Region,3124,3049,24914,5906,7.98,58
20,Switzerland,Western Europe,2899,2708,72272,10491,24.93,107
21,Iraq,Middle East,2755,2751,6834,3294,2.48,35
22,Saudi Arabia,Middle East,2714,2678,22843,4469,8.42,54
23,Turkey,Middle East,2551,2508,29730,6206,11.65,66
24,Netherlands,Western Europe,2473,2316,48641,6931,19.67,87
25,Thailand,Asiatic Region,2118,2088,23847,4925,11.26,68
26,Belgium,Western Europe,1964,1845,44460,6100,22.64,91
27,Nigeria,Africa,1874,1845,11709,3060,6.25,41
28,Taiwan,Asiatic Region,1746,1715,36601,6395,20.96,82
29,Sweden,Western Europe,1510,1360,29932,3566,19.82,75
30,Poland,Eastern Europe,1482,1444,18091,3673,12.21,58
31,Colombia,Latin America,1343,1184,10372,2369,7.72,46
32,Pakistan,Asiatic Region,1342,1285,13778,3142,10.27,47
33,Portugal,Western Europe,1339,1297,27454,4710,20.5,72
34,Mexico,Latin America,1206,1160,18400,3509,15.26,60
35,South Africa,Africa,1104,1075,14294,2529,12.95,50
36,Denmark,Western Europe,1028,974,19887,2314,19.35,62
37,Hungary,Eastern Europe,970,941,9330,1948,9.62,43
38,Argentina,Latin America,912,883,16527,3331,18.12,58
39,Czech Republic,Eastern Europe,885,826,13514,2641,15.27,52
40,Austria,Western Europe,870,757,14006,1693,16.1,56
41,Hong Kong,Asiatic Region,826,814,27444,2577,33.23,75
42,Greece,Western Europe,788,752,11040,1438,14.01,47
43,Bangladesh,Asiatic Region,786,759,10279,1875,13.08,44
44,Singapore,Asiatic Region,763,736,22484,1653,29.47,72
45,Ukraine,Eastern Europe,758,755,3189,1273,4.21,30
46,Uzbekistan,Asiatic Region,670,670,684,397,1.02,10
47,Ethiopia,Africa,631,622,7517,2268,11.91,45
48,Viet Nam,Asiatic Region,598,596,9015,1204,15.08,47
49,Israel,Middle East,590,511,10673,1255,18.09,47
50,Ireland,Western Europe,567,526,13293,1175,23.44,56
51,Finland,Western Europe,555,530,13330,1324,24.02,57
52,Norway,Western Europe,554,524,10652,1100,19.23,47
53,United Arab Emirates,Middle East,544,524,2679,381,4.92,24
