Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,4175,4133,17726,11915,4.25,161
2,India,Asiatic Region,3044,2953,4845,1791,1.59,128
3,United States,Northern America,2627,2338,10125,3464,3.85,225
4,United Kingdom,Western Europe,884,811,3792,840,4.29,144
5,Germany,Western Europe,787,656,2817,660,3.58,128
6,Iran,Middle East,744,720,2798,887,3.76,80
7,Indonesia,Asiatic Region,729,728,1394,722,1.91,43
8,Brazil,Latin America,672,661,2035,591,3.03,122
9,Italy,Western Europe,553,508,3153,923,5.7,113
10,Spain,Western Europe,456,409,2194,461,4.81,96
11,Saudi Arabia,Middle East,433,429,1593,523,3.68,54
12,Egypt,Africa/Middle East,418,411,2084,734,4.99,57
13,France,Western Europe,405,374,1628,283,4.02,118
14,Japan,Asiatic Region,385,364,1175,289,3.05,114
15,Australia,Pacific Region,385,363,1706,372,4.43,110
16,Malaysia,Asiatic Region,354,346,1113,277,3.14,58
17,South Korea,Asiatic Region,344,336,1427,421,4.15,98
18,Canada,Northern America,316,285,1128,181,3.57,112
19,Russian Federation,Eastern Europe,300,295,853,299,2.84,46
20,Thailand,Asiatic Region,277,275,800,221,2.89,68
21,Netherlands,Western Europe,270,246,1111,205,4.11,87
22,Switzerland,Western Europe,268,252,1279,199,4.77,107
23,Iraq,Middle East,265,264,345,119,1.3,35
24,Turkey,Middle East,243,239,823,195,3.39,66
25,Poland,Eastern Europe,214,207,704,147,3.29,58
26,Pakistan,Asiatic Region,201,189,772,168,3.84,47
27,Portugal,Western Europe,197,193,957,224,4.86,72
28,Nigeria,Africa,191,186,397,131,2.08,41
29,Romania,Eastern Europe,187,185,587,235,3.14,39
30,Belgium,Western Europe,171,162,680,146,3.98,91
31,South Africa,Africa,154,150,738,140,4.79,50
32,Taiwan,Asiatic Region,147,146,778,126,5.29,82
33,Sweden,Western Europe,145,122,607,81,4.19,75
34,Ukraine,Eastern Europe,135,135,292,234,2.16,30
35,Mexico,Latin America,121,114,400,62,3.31,60
36,United Arab Emirates,Middle East,120,112,286,31,2.38,24
37,Ethiopia,Africa,116,112,340,144,2.93,45
38,Colombia,Latin America,116,113,233,55,2.01,46
39,Denmark,Western Europe,106,100,532,64,5.02,62
40,Argentina,Latin America,105,99,358,63,3.41,58
41,Austria,Western Europe,100,87,371,44,3.71,56
42,Jordan,Middle East,97,97,294,55,3.03,27
43,Czech Republic,Eastern Europe,93,86,240,25,2.58,52
44,Bangladesh,Asiatic Region,90,90,588,173,6.53,44
45,Greece,Western Europe,85,80,506,67,5.95,47
46,Viet Nam,Asiatic Region,78,78,219,40,2.81,47
47,Norway,Western Europe,72,71,365,35,5.07,47
48,Singapore,Asiatic Region,70,69,516,64,7.37,72
49,Hong Kong,Asiatic Region,66,62,629,42,9.53,75
50,Chile,Latin America,65,59,292,51,4.49,38
51,Ireland,Western Europe,62,57,355,56,5.73,56
52,Peru,Latin America,62,62,165,43,2.66,46
53,Hungary,Eastern Europe,61,58,362,61,5.93,43
54,Kenya,Africa,59,57,224,52,3.8,47
55,Slovakia,Eastern Europe,48,43,88,17,1.83,28
56,Israel,Middle East,47,46,147,30,3.13,47
57,Tanzania,Africa,47,47,232,81,4.94,53
58,Ghana,Africa,45,45,135,38,3.0,39
59,Finland,Western Europe,43,41,156,21,3.63,57
60,New Zealand,Pacific Region,41,39,168,25,4.1,44
61,Qatar,Middle East,38,36,159,22,4.18,25
62,Philippines,Asiatic Region,35,35,99,17,2.83,34
63,Uganda,Africa,35,35,116,36,3.31,39
64,Tunisia,Africa,34,33,108,14,3.18,31
65,Lebanon,Middle East,33,29,134,37,4.06,24
66,Kazakhstan,Asiatic Region,32,32,102,49,3.19,15
67,Sudan,Africa,32,32,82,12,2.56,33
68,Syrian Arab Republic,Middle East,32,32,36,4,1.13,12
69,Nepal,Asiatic Region,32,31,91,17,2.84,33
70,Morocco,Africa,30,30,77,20,2.57,31
71,Algeria,Africa,29,29,62,12,2.14,20
72,Belarus,Eastern Europe,28,28,13,2,0.46,9
73,Sri Lanka,Asiatic Region,27,26,137,27,5.07,29
74,Slovenia,Eastern Europe,25,25,66,11,2.64,25
75,Cameroon,Africa,25,25,136,30,5.44,37
76,Serbia,Eastern Europe,24,23,203,47,8.46,28
77,Croatia,Eastern Europe,24,22,98,16,4.08,27
78,Oman,Middle East,22,21,80,18,3.64,19
79,Ecuador,Latin America,21,21,106,34,5.05,23
80,Bulgaria,Eastern Europe,21,21,68,16,3.24,24
81,Macao,Asiatic Region,20,20,169,10,8.45,22
82,Cyprus,Western Europe,19,17,54,10,2.84,14
83,Venezuela,Latin America,17,16,53,13,3.12,34
84,Myanmar,Asiatic Region,17,17,64,5,3.76,15
85,Côte d’Ivoire,Africa,17,17,74,13,4.35,34
86,Uruguay,Latin America,17,16,58,21,3.41,29
87,Senegal,Africa,17,17,77,4,4.53,34
88,Laos,Asiatic Region,15,14,61,13,4.07,27
89,Yemen,Middle East,15,15,71,1,4.73,15
90,Zambia,Africa,14,14,72,19,5.14,20
91,Cuba,Latin America,13,11,26,8,2.0,28
92,Zimbabwe,Africa,13,13,41,13,3.15,17
93,Burkina Faso,Africa,13,13,35,8,2.69,33
94,Azerbaijan,Eastern Europe,13,13,5,0,0.38,5
95,Mozambique,Africa,12,12,70,12,5.83,19
96,Rwanda,Africa,12,9,33,4,2.75,9
97,Democratic Republic Congo,Africa,12,12,31,3,2.58,17
98,Libya,Africa,11,11,75,6,6.82,19
99,Lithuania,Eastern Europe,10,10,6,2,0.6,16
100,Luxembourg,Western Europe,10,10,75,1,7.5,15
101,Brunei Darussalam,Asiatic Region,9,8,18,2,2.0,6
102,Papua New Guinea,Pacific Region,8,8,42,4,5.25,22
103,Costa Rica,Latin America,8,7,16,1,2.0,22
104,Congo,Africa,8,8,28,2,3.5,30
105,Saint Kitts and Nevis,Latin America,8,8,31,2,3.88,10
106,Latvia,Eastern Europe,8,8,56,3,7.0,14
107,Malawi,Africa,8,7,23,4,2.88,18
108,Namibia,Africa,8,8,23,11,2.88,13
109,Cambodia,Asiatic Region,7,7,18,0,2.57,35
110,Panama,Latin America,7,7,38,4,5.43,24
111,Armenia,Eastern Europe,6,5,21,0,3.5,9
112,Gabon,Africa,6,6,23,2,3.83,22
113,Bahrain,Middle East,6,6,13,2,2.17,10
114,Sierra Leone,Africa,6,6,16,3,2.67,17
115,Kuwait,Middle East,6,6,23,2,3.83,20
116,Puerto Rico,Latin America,6,6,17,2,2.83,27
117,Bolivia,Latin America,6,6,28,2,4.67,28
118,Gambia,Africa,6,6,28,10,4.67,23
119,Estonia,Eastern Europe,5,5,6,0,1.2,23
120,Bosnia and Herzegovina,Eastern Europe,5,5,4,1,0.8,8
121,Benin,Africa,5,5,22,5,4.4,22
122,Afghanistan,Asiatic Region,5,3,13,2,2.6,9
123,Chad,Africa,4,4,10,4,2.5,11
124,Paraguay,Latin America,4,4,10,1,2.5,16
125,Solomon Islands,Pacific Region,4,4,36,4,9.0,14
126,Madagascar,Africa,4,4,17,5,4.25,20
127,Guinea,Africa,4,4,2,0,0.5,18
128,Mongolia,Asiatic Region,4,3,4,1,1.0,6
129,French Polynesia,Pacific Region,4,4,15,3,3.75,16
130,Mauritius,Africa,3,3,12,0,4.0,14
131,Albania,Eastern Europe,3,3,4,0,1.33,10
132,Barbados,Latin America,3,3,47,5,15.67,3
133,Dominican Republic,Latin America,3,3,5,0,1.67,7
134,Fiji,Pacific Region,3,3,16,1,5.33,15
135,Haïti,Latin America,3,3,13,1,4.33,17
136,Iceland,Western Europe,3,3,9,0,3.0,16
137,Kyrgyzstan,Asiatic Region,3,3,2,1,0.67,5
138,Moldova,Eastern Europe,3,1,4,0,1.33,9
139,Mali,Africa,3,3,2,0,0.67,26
140,Malta,Western Europe,3,3,2,0,0.67,8
141,Niger,Africa,3,3,9,0,3.0,14
142,Palestine,Middle East,3,3,4,0,1.33,16
143,Trinidad and Tobago,Latin America,3,3,7,2,2.33,16
144,Nicaragua,Latin America,2,2,8,0,4.0,21
145,Mauritania,Africa,2,2,10,1,5.0,5
146,Liberia,Africa,2,2,12,0,6.0,14
147,Cayman Islands,Latin America,2,2,0,0,0.0,1
148,Togo,Africa,2,2,7,1,3.5,14
149,Guyana,Latin America,2,2,7,0,3.5,4
150,Timor-Leste,Asiatic Region,2,2,5,2,2.5,4
151,Guinea-Bissau,Africa,2,2,6,0,3.0,6
152,Guatemala,Latin America,2,2,11,2,5.5,16
153,French Guiana,Latin America,2,2,6,2,3.0,28
154,Georgia,Eastern Europe,2,2,0,0,0.0,15
155,Eritrea,Africa,2,2,2,0,1.0,4
156,Djibouti,Africa,2,2,38,0,19.0,3
157,Uzbekistan,Asiatic Region,2,2,0,0,0.0,10
158,Belize,Latin America,2,2,11,0,5.5,3
159,Bhutan,Asiatic Region,2,2,10,0,5.0,8
160,Bahamas,Latin America,2,2,0,0,0.0,1
161,Central African Republic,Africa,1,1,4,0,4.0,11
162,Macedonia,Eastern Europe,1,1,6,2,6.0,8
163,Montenegro,Eastern Europe,1,1,2,0,2.0,7
