Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3071,2964,137744,67091,44.85,426
2,Japan,Asiatic Region,696,694,14346,3396,20.61,174
3,United Kingdom,Western Europe,514,483,28064,4880,54.6,270
4,Germany,Western Europe,420,408,14273,2866,33.98,227
5,France,Western Europe,310,305,12668,1999,40.86,198
6,Canada,Northern America,305,301,13206,2099,43.3,199
7,Italy,Western Europe,251,248,8972,1633,35.75,192
8,India,Asiatic Region,250,250,5647,1961,22.59,162
9,Netherlands,Western Europe,210,206,10632,1266,50.63,189
10,Spain,Western Europe,189,182,5548,1375,29.35,168
11,Russian Federation,Eastern Europe,178,176,1017,295,5.71,73
12,China,Asiatic Region,160,159,2562,910,16.01,207
13,Sweden,Western Europe,157,154,6874,845,43.78,161
14,Australia,Pacific Region,119,116,6111,1187,51.35,166
15,Brazil,Latin America,114,113,4425,1655,38.82,127
16,Switzerland,Western Europe,112,112,5231,413,46.71,171
17,Poland,Eastern Europe,109,109,2280,449,20.92,105
18,Finland,Western Europe,95,94,3342,542,35.18,115
19,South Korea,Asiatic Region,81,81,2143,430,26.46,133
20,Denmark,Western Europe,78,77,3317,374,42.53,140
21,Taiwan,Asiatic Region,77,77,2699,396,35.05,111
22,Belgium,Western Europe,75,74,3410,381,45.47,152
23,Turkey,Middle East,64,64,2170,531,33.91,114
24,Mexico,Latin America,58,56,2176,471,37.52,105
25,Argentina,Latin America,54,54,1955,388,36.2,83
26,Croatia,Eastern Europe,42,41,614,168,14.62,68
27,Norway,Western Europe,41,41,1437,111,35.05,122
28,Israel,Middle East,40,37,1534,172,38.35,91
29,Czech Republic,Eastern Europe,33,33,1159,289,35.12,91
30,Portugal,Western Europe,32,31,1282,232,40.06,111
31,New Zealand,Pacific Region,31,29,697,163,22.48,87
32,Hong Kong,Asiatic Region,25,22,1092,140,43.68,109
33,Greece,Western Europe,24,24,1144,105,47.67,99
34,Austria,Western Europe,24,23,1200,127,50.0,109
35,Chile,Latin America,22,22,896,112,40.73,64
36,Hungary,Eastern Europe,22,20,976,80,44.36,79
37,Ireland,Western Europe,22,19,720,64,32.73,94
38,Egypt,Africa/Middle East,21,21,787,114,37.48,94
39,Slovenia,Eastern Europe,15,15,247,62,16.47,65
40,Saudi Arabia,Middle East,13,13,136,46,10.46,77
41,South Africa,Africa,13,12,776,80,59.69,78
42,Venezuela,Latin America,13,13,248,39,19.08,37
43,Thailand,Asiatic Region,11,11,321,87,29.18,67
44,Pakistan,Asiatic Region,11,11,142,45,12.91,64
45,United Arab Emirates,Middle East,11,11,414,20,37.64,43
46,Tunisia,Africa,11,11,294,56,26.73,71
47,Slovakia,Eastern Europe,10,10,119,33,11.9,60
48,Ukraine,Eastern Europe,10,10,155,15,15.5,43
49,Iran,Middle East,9,9,96,53,10.67,95
50,Estonia,Eastern Europe,9,8,270,37,30.0,47
51,Nigeria,Africa,9,8,196,37,21.78,64
52,Belarus,Eastern Europe,8,8,109,7,13.63,21
53,Costa Rica,Latin America,8,8,426,160,53.25,56
54,Bulgaria,Eastern Europe,7,7,115,12,16.43,50
55,Uzbekistan,Asiatic Region,6,6,6,0,1.0,12
56,Cuba,Latin America,5,5,190,15,38.0,36
57,Morocco,Africa,5,5,132,16,26.4,34
58,Malaysia,Asiatic Region,5,5,89,11,17.8,61
59,Kuwait,Middle East,4,4,190,16,47.5,34
60,Colombia,Latin America,4,4,236,20,59.0,40
61,Lithuania,Eastern Europe,4,4,112,11,28.0,31
62,Uruguay,Latin America,4,4,210,33,52.5,35
63,Singapore,Asiatic Region,4,4,70,7,17.5,68
64,Puerto Rico,Latin America,3,3,344,5,114.67,28
65,Indonesia,Asiatic Region,3,3,15,1,5.0,33
66,Romania,Eastern Europe,3,3,51,7,17.0,54
67,Trinidad and Tobago,Latin America,3,3,82,8,27.33,15
68,Viet Nam,Asiatic Region,3,3,26,6,8.67,45
69,Faroe Islands,Western Europe,2,2,234,14,117.0,24
70,Sudan,Africa,2,2,22,1,11.0,18
71,Syrian Arab Republic,Middle East,2,2,17,0,8.5,17
72,Jordan,Middle East,2,2,39,5,19.5,35
73,Georgia,Eastern Europe,2,2,4,0,2.0,20
74,Nicaragua,Latin America,2,2,85,13,42.5,8
75,Bangladesh,Asiatic Region,2,2,38,19,19.0,53
76,Moldova,Eastern Europe,2,2,14,3,7.0,8
77,Iraq,Middle East,2,2,26,14,13.0,25
78,Nepal,Asiatic Region,2,1,17,0,8.5,19
79,Lebanon,Middle East,2,2,15,4,7.5,47
80,Algeria,Africa,2,2,17,1,8.5,37
81,Kenya,Africa,2,2,38,7,19.0,31
82,Serbia,Eastern Europe,2,2,19,4,9.5,56
83,Iceland,Western Europe,1,1,105,7,105.0,28
84,Gambia,Africa,1,1,14,0,14.0,6
85,Ghana,Africa,1,1,43,0,43.0,30
86,Sri Lanka,Asiatic Region,1,1,2,0,2.0,36
87,Luxembourg,Western Europe,1,0,11,0,11.0,40
88,Latvia,Eastern Europe,1,1,3,1,3.0,23
89,Libya,Africa,1,1,18,2,18.0,13
90,Monaco,Western Europe,1,1,12,0,12.0,20
91,Madagascar,Africa,1,1,199,1,199.0,8
92,Malawi,Africa,1,1,36,1,36.0,15
93,Ethiopia,Africa,1,1,24,6,24.0,24
94,French Polynesia,Pacific Region,1,1,216,25,216.0,22
95,Philippines,Asiatic Region,1,1,4,2,4.0,31
96,Paraguay,Latin America,1,1,1,0,1.0,12
97,Seychelles,Africa,1,1,29,9,29.0,17
98,Côte d’Ivoire,Africa,1,1,30,7,30.0,19
99,Swaziland,Africa,1,1,36,0,36.0,4
100,Yemen,Middle East,1,1,130,5,130.0,12
101,Armenia,Eastern Europe,1,1,0,0,0.0,12
102,Benin,Africa,1,1,43,2,43.0,23
103,Tanzania,Africa,1,1,34,0,34.0,29
104,Azerbaijan,Eastern Europe,1,1,20,5,20.0,16
