Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,465926,438257,15324654,5962676,32.89,732
2,China,Asiatic Region,305751,302521,4406569,2249600,14.41,328
3,India,Asiatic Region,176752,172436,2486974,901127,14.07,323
4,Japan,Asiatic Region,134347,131773,2888695,627234,21.5,319
5,United Kingdom,Western Europe,121916,111821,3952948,682039,32.42,484
6,Germany,Western Europe,105776,100116,3003594,557397,28.4,411
7,Italy,Western Europe,82760,79074,2358843,496429,28.5,334
8,France,Western Europe,72262,69377,2134056,329051,29.53,358
9,Spain,Western Europe,56587,52781,1378061,252047,24.35,284
10,Canada,Northern America,54217,51716,1756863,248924,32.4,342
11,South Korea,Asiatic Region,53226,52695,1227681,230806,23.07,245
12,Brazil,Latin America,51099,49983,1018097,335060,19.92,220
13,Australia,Pacific Region,41126,38915,1220179,197976,29.67,295
14,Iran,Middle East,40340,39522,636112,211193,15.77,186
15,Netherlands,Western Europe,37611,35235,1174489,153714,31.23,301
16,Switzerland,Western Europe,31476,30076,1127087,121072,35.81,309
17,Poland,Eastern Europe,29875,29494,545304,115782,18.25,185
18,Egypt,Africa/Middle East,25649,25382,435156,108158,16.97,165
19,Belgium,Western Europe,25608,24626,855116,95531,33.39,267
20,Sweden,Western Europe,24608,23702,845376,98825,34.35,278
21,Turkey,Middle East,24171,23597,450352,102626,18.63,184
22,Taiwan,Asiatic Region,24103,23703,588436,90058,24.41,191
23,Russian Federation,Eastern Europe,23500,23201,260107,73974,11.07,144
24,Saudi Arabia,Middle East,20765,20455,305396,57642,14.71,150
25,Denmark,Western Europe,16016,15397,550931,70453,34.4,228
26,Malaysia,Asiatic Region,14971,14666,240708,45695,16.08,147
27,Romania,Eastern Europe,13732,13631,120150,40481,8.75,101
28,Mexico,Latin America,13699,13394,266819,49593,19.48,154
29,Portugal,Western Europe,13696,13256,391112,63262,28.56,190
30,Pakistan,Asiatic Region,13493,13212,199542,46614,14.79,132
31,Austria,Western Europe,13248,12654,390392,43904,29.47,202
32,Thailand,Asiatic Region,13177,12968,255559,40258,19.39,154
33,Greece,Western Europe,13147,12472,307625,43484,23.4,170
34,Indonesia,Asiatic Region,12599,12529,74630,22209,5.92,84
35,Czech Republic,Eastern Europe,10930,10676,227190,41694,20.79,149
36,South Africa,Africa,10767,10432,238502,41931,22.15,160
37,Finland,Western Europe,10439,10113,358269,39830,34.32,194
38,Hungary,Eastern Europe,10398,10198,228952,35076,22.02,152
39,Israel,Middle East,10297,9812,349631,36450,33.95,201
40,Nigeria,Africa,10028,9886,108324,26504,10.8,100
41,Iraq,Middle East,9763,9735,34994,13022,3.58,67
42,Hong Kong,Asiatic Region,9366,9116,292643,27585,31.25,173
