Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,12860,12566,512248,229180,39.83,732
2,Japan,Asiatic Region,5725,5692,125980,33794,22.01,319
3,United Kingdom,Western Europe,3693,3515,132427,25646,35.86,484
4,Germany,Western Europe,3025,2937,81273,17362,26.87,411
5,France,Western Europe,2514,2472,73326,14029,29.17,358
6,Italy,Western Europe,1980,1944,46482,10230,23.48,334
7,India,Asiatic Region,1652,1619,28449,12416,17.22,323
8,Canada,Northern America,1529,1506,55582,8670,36.35,342
9,Spain,Western Europe,1349,1318,30660,6954,22.73,284
10,China,Asiatic Region,1294,1289,14239,5400,11.0,328
11,Netherlands,Western Europe,1061,1019,29239,3872,27.56,301
12,Switzerland,Western Europe,791,775,33462,3438,42.3,309
13,Australia,Pacific Region,731,722,22404,3454,30.65,295
14,Sweden,Western Europe,695,681,29924,4021,43.06,278
15,Brazil,Latin America,612,609,13836,5055,22.61,220
16,South Korea,Asiatic Region,597,593,10966,2511,18.37,245
17,Belgium,Western Europe,550,537,16666,2187,30.3,267
18,Poland,Eastern Europe,547,545,9582,2855,17.52,185
19,Taiwan,Asiatic Region,462,460,13658,2243,29.56,191
20,Russian Federation,Eastern Europe,436,436,5606,1260,12.86,144
21,Finland,Western Europe,362,359,12562,1803,34.7,194
22,Denmark,Western Europe,354,346,15301,1990,43.22,228
23,Turkey,Middle East,334,331,6863,1771,20.55,184
24,Hungary,Eastern Europe,315,312,5667,1435,17.99,152
25,Austria,Western Europe,289,283,9279,1187,32.11,202
26,Israel,Middle East,288,284,10378,1090,36.03,201
27,Argentina,Latin America,219,218,4708,1084,21.5,136
28,Mexico,Latin America,205,202,5275,1146,25.73,154
29,Egypt,Africa/Middle East,200,200,2708,716,13.54,165
30,Greece,Western Europe,189,185,4719,683,24.97,170
31,Romania,Eastern Europe,174,174,1440,301,8.28,101
32,Norway,Western Europe,172,170,6576,1006,38.23,174
33,Slovakia,Eastern Europe,171,167,1432,400,8.37,97
34,Czech Republic,Eastern Europe,170,169,2822,713,16.6,149
35,New Zealand,Pacific Region,158,157,4744,549,30.03,160
36,Hong Kong,Asiatic Region,151,146,4842,678,32.07,173
37,South Africa,Africa,150,147,4766,667,31.77,160
38,Portugal,Western Europe,126,125,3086,534,24.49,190
39,Saudi Arabia,Middle East,115,114,2519,349,21.9,150
40,Ireland,Western Europe,107,105,5776,403,53.98,172
41,Croatia,Eastern Europe,95,94,2107,355,22.18,103
42,Bulgaria,Eastern Europe,94,94,791,144,8.41,93
