Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4838,4821,162289,54279,33.54,562
2,Russian Federation,Eastern Europe,2199,2196,20603,8116,9.37,192
3,Germany,Western Europe,1904,1894,44277,12565,23.25,326
4,Japan,Asiatic Region,1674,1669,31179,8821,18.63,265
5,China,Asiatic Region,1451,1449,10530,4825,7.26,316
6,United Kingdom,Western Europe,1372,1370,37420,7158,27.27,328
7,France,Western Europe,1358,1354,30585,8178,22.52,257
8,Italy,Western Europe,691,687,15594,3613,22.57,232
9,Canada,Northern America,598,595,17785,2879,29.74,247
10,India,Asiatic Region,459,457,7764,2004,16.92,186
11,Australia,Pacific Region,384,384,11011,1860,28.67,234
12,Spain,Western Europe,383,382,8909,1966,23.26,216
13,Switzerland,Western Europe,375,373,10695,1866,28.52,231
14,Poland,Eastern Europe,313,311,5602,1571,17.9,141
15,Netherlands,Western Europe,312,311,9797,1291,31.4,206
16,Taiwan,Asiatic Region,280,278,4343,828,15.51,145
17,Sweden,Western Europe,277,277,6441,1166,23.25,161
18,Israel,Middle East,275,275,9296,1299,33.8,167
19,Ukraine,Eastern Europe,252,252,1511,701,6.0,92
20,Belgium,Western Europe,240,240,5640,946,23.5,162
21,South Korea,Asiatic Region,229,228,3899,719,17.03,200
22,Brazil,Latin America,166,166,3228,861,19.45,126
23,Denmark,Western Europe,163,163,6301,676,38.66,170
24,Mexico,Latin America,161,161,2210,646,13.73,110
25,Belarus,Eastern Europe,160,160,633,239,3.96,65
26,Austria,Western Europe,159,159,4686,807,29.47,162
27,Finland,Western Europe,122,121,3426,573,28.08,130
28,Romania,Eastern Europe,114,114,975,249,8.55,86
29,Argentina,Latin America,105,105,1562,443,14.88,79
30,Bulgaria,Eastern Europe,98,98,1172,277,11.96,68
31,Greece,Western Europe,91,91,1174,318,12.9,112
32,Czech Republic,Eastern Europe,88,87,1565,387,17.78,106
33,Hong Kong,Asiatic Region,86,86,1463,129,17.01,143
34,Hungary,Eastern Europe,83,83,2296,597,27.66,99
35,Turkey,Middle East,74,74,1012,414,13.68,119
36,Egypt,Africa/Middle East,71,70,776,148,10.93,100
37,Uzbekistan,Asiatic Region,63,63,239,85,3.79,52
38,Singapore,Asiatic Region,61,60,662,40,10.85,173
39,Portugal,Western Europe,58,58,1070,144,18.45,106
40,New Zealand,Pacific Region,57,56,1672,156,29.33,104
41,Norway,Western Europe,57,57,1146,158,20.11,82
42,Ireland,Western Europe,53,53,947,134,17.87,116
43,Armenia,Eastern Europe,52,52,238,65,4.58,43
44,South Africa,Africa,39,39,619,99,15.87,108
45,Lithuania,Eastern Europe,33,33,355,97,10.76,65
46,Iran,Middle East,27,27,366,82,13.56,143
47,Slovenia,Eastern Europe,25,24,1858,124,74.32,66
48,Croatia,Eastern Europe,22,22,169,77,7.68,46
49,Georgia,Eastern Europe,22,22,136,10,6.18,31
50,Estonia,Eastern Europe,22,22,483,56,21.95,52
51,Algeria,Africa,21,21,279,46,13.29,62
52,Slovakia,Eastern Europe,21,21,220,19,10.48,62
53,Saudi Arabia,Middle East,21,21,170,38,8.1,126
54,Moldova,Eastern Europe,20,20,62,31,3.1,28
55,Venezuela,Latin America,18,18,454,36,25.22,40
56,Morocco,Africa,17,17,174,88,10.24,64
57,Colombia,Latin America,16,16,101,29,6.31,62
58,Chile,Latin America,16,16,271,49,16.94,62
59,Pakistan,Asiatic Region,15,15,109,19,7.27,100
60,Jordan,Middle East,15,15,258,25,17.2,45
61,Latvia,Eastern Europe,12,12,97,15,8.08,40
62,Bangladesh,Asiatic Region,12,12,161,9,13.42,65
63,Azerbaijan,Eastern Europe,12,12,39,11,3.25,27
64,Malaysia,Asiatic Region,11,11,106,28,9.64,111
65,Serbia,Eastern Europe,11,11,373,56,33.91,62
66,Kazakhstan,Asiatic Region,10,10,48,8,4.8,34
67,Kuwait,Middle East,9,9,195,77,21.67,40
68,Tunisia,Africa,8,8,116,30,14.5,62
69,Thailand,Asiatic Region,8,8,70,7,8.75,86
70,Cuba,Latin America,8,8,34,15,4.25,28
