Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,29848,29788,501119,286397,16.79,492
2,United States,Northern America,23208,22903,751774,258523,32.39,898
3,Germany,Western Europe,9919,9799,254566,70506,25.66,506
4,Japan,Asiatic Region,9868,9757,192563,51945,19.51,439
5,France,Western Europe,7096,7019,177805,41198,25.06,419
6,India,Asiatic Region,6546,6494,132357,52288,20.22,287
7,South Korea,Asiatic Region,6096,6048,132436,26952,21.73,335
8,United Kingdom,Western Europe,5578,5489,177117,35420,31.75,471
9,Russian Federation,Eastern Europe,5014,4999,60269,26189,12.02,262
10,Italy,Western Europe,3855,3808,95036,24278,24.65,336
11,Taiwan,Asiatic Region,3374,3362,55793,10910,16.54,243
12,Spain,Western Europe,3247,3215,87624,16978,26.99,323
13,Canada,Northern America,3155,3122,93846,15564,29.75,339
14,Iran,Middle East,2551,2534,57095,19039,22.38,195
15,Poland,Eastern Europe,2220,2198,33952,10904,15.29,181
16,Australia,Pacific Region,2012,1989,65294,11105,32.45,317
17,Brazil,Latin America,1977,1963,37201,9105,18.82,200
18,Switzerland,Western Europe,1688,1668,66782,8130,39.56,329
19,Netherlands,Western Europe,1634,1610,55517,8224,33.98,331
20,Sweden,Western Europe,1531,1508,41826,7666,27.32,269
21,Malaysia,Asiatic Region,1530,1528,22595,5915,14.77,154
22,Turkey,Middle East,1455,1435,29658,7237,20.38,181
23,Ukraine,Eastern Europe,1388,1381,15583,5579,11.23,137
24,Belgium,Western Europe,1341,1313,31994,5155,23.86,234
25,Mexico,Latin America,1103,1095,12730,2539,11.54,142
26,Singapore,Asiatic Region,1102,1096,40723,4265,36.95,268
27,Austria,Western Europe,1011,998,27118,4375,26.82,227
28,Czech Republic,Eastern Europe,1011,1004,18726,4681,18.52,170
29,Romania,Eastern Europe,948,945,14682,3789,15.49,136
30,Portugal,Western Europe,914,906,21056,3625,23.04,175
31,Hong Kong,Asiatic Region,883,877,26297,2702,29.78,244
32,Israel,Middle East,816,801,20581,3646,25.22,227
33,Finland,Western Europe,723,722,19047,3432,26.34,193
34,Saudi Arabia,Middle East,710,703,20877,3728,29.4,189
35,Greece,Western Europe,657,649,15751,2463,23.97,174
36,Denmark,Western Europe,654,650,20871,3231,31.91,223
37,Egypt,Africa/Middle East,654,652,13882,3710,21.23,135
38,Pakistan,Asiatic Region,533,533,9467,2657,17.76,140
39,Thailand,Asiatic Region,524,523,11752,1718,22.43,128
40,South Africa,Africa,516,511,7526,1519,14.59,143
41,Ireland,Western Europe,505,497,13947,1753,27.62,165
42,Argentina,Latin America,477,476,8734,1728,18.31,127
