Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3577,3535,109994,0,30.75,327
2,Germany,Western Europe,1613,1604,49827,0,30.89,221
3,Japan,Asiatic Region,1384,1377,47847,0,34.57,181
4,Russian Federation,Eastern Europe,1081,1079,31517,0,29.16,143
5,France,Western Europe,885,880,39017,0,44.09,199
6,Italy,Western Europe,834,831,34122,0,40.91,186
7,United Kingdom,Western Europe,825,813,44347,0,53.75,215
8,China,Asiatic Region,775,773,15307,0,19.75,223
9,India,Asiatic Region,392,391,25498,0,65.05,170
10,Switzerland,Western Europe,376,372,27357,0,72.76,174
11,Poland,Eastern Europe,371,370,8809,0,23.74,131
12,Canada,Northern America,356,353,25638,0,72.02,161
13,Spain,Western Europe,309,305,25498,0,82.52,161
14,South Korea,Asiatic Region,304,300,9586,0,31.53,161
15,Netherlands,Western Europe,277,274,25378,0,91.62,149
16,Ukraine,Eastern Europe,255,254,1329,0,5.21,77
17,Brazil,Latin America,238,238,4409,0,18.53,111
18,Australia,Pacific Region,223,219,5230,0,23.45,152
19,Austria,Western Europe,202,201,21038,0,104.15,101
20,Belgium,Western Europe,196,193,4187,0,21.36,127
21,Taiwan,Asiatic Region,185,184,5464,0,29.54,125
22,Sweden,Western Europe,178,177,5440,0,30.56,122
23,Mexico,Latin America,152,151,1320,0,8.68,89
24,Czech Republic,Eastern Europe,127,127,2997,0,23.6,112
25,Portugal,Western Europe,122,121,1865,0,15.29,101
26,Hungary,Eastern Europe,115,115,19882,0,172.89,80
27,Finland,Western Europe,108,106,19071,0,176.58,100
28,Singapore,Asiatic Region,107,105,2754,0,25.74,101
29,Greece,Western Europe,102,102,2204,0,21.61,96
30,Turkey,Middle East,98,98,1949,0,19.89,111
31,Israel,Middle East,97,97,3124,0,32.21,85
32,Denmark,Western Europe,92,92,5486,0,59.63,111
33,Slovenia,Eastern Europe,86,86,1079,0,12.55,72
34,Romania,Eastern Europe,77,77,1567,0,20.35,81
35,Hong Kong,Asiatic Region,76,76,1410,0,18.55,92
36,Malaysia,Asiatic Region,70,70,815,0,11.64,100
37,Egypt,Africa/Middle East,69,69,1384,0,20.06,89
38,Argentina,Latin America,67,67,1473,0,21.99,67
39,Belarus,Eastern Europe,63,63,699,0,11.1,62
40,Slovakia,Eastern Europe,59,59,652,0,11.05,63
41,Bulgaria,Eastern Europe,47,47,1336,0,28.43,68
42,Iran,Middle East,45,45,1448,0,32.18,110
43,Norway,Western Europe,43,43,746,0,17.35,77
44,Croatia,Eastern Europe,43,43,500,0,11.63,64
45,Ireland,Western Europe,41,41,1015,0,24.76,84
46,Armenia,Eastern Europe,37,37,1253,0,33.86,55
47,South Africa,Africa,36,35,381,0,10.58,75
48,New Zealand,Pacific Region,33,32,658,0,19.94,73
49,Venezuela,Latin America,31,31,382,0,12.32,34
50,Saudi Arabia,Middle East,30,30,333,0,11.1,89
51,Serbia,Eastern Europe,25,24,472,0,18.88,64
52,Morocco,Africa,23,23,246,0,10.7,47
53,Cuba,Latin America,23,23,238,0,10.35,32
54,Lithuania,Eastern Europe,22,22,319,0,14.5,62
55,Chile,Latin America,21,21,491,0,23.38,53
56,Algeria,Africa,16,16,218,0,13.63,56
57,Tunisia,Africa,15,15,162,0,10.8,53
58,Thailand,Asiatic Region,14,14,408,0,29.14,72
59,Azerbaijan,Eastern Europe,8,8,70,0,8.75,23
60,Nigeria,Africa,8,8,163,0,20.38,28
61,Jordan,Middle East,8,8,104,0,13.0,40
62,Uzbekistan,Asiatic Region,8,8,93,0,11.63,21
63,United Arab Emirates,Middle East,7,7,94,0,13.43,52
64,Georgia,Eastern Europe,7,7,68,0,9.71,44
65,Latvia,Eastern Europe,7,7,173,0,24.71,40
66,Viet Nam,Asiatic Region,6,6,147,0,24.5,67
67,Puerto Rico,Latin America,6,6,26,0,4.33,29
68,Colombia,Latin America,6,6,132,0,22.0,57
69,Kazakhstan,Asiatic Region,5,5,30,0,6.0,30
70,Indonesia,Asiatic Region,5,5,77,0,15.4,45
71,Pakistan,Asiatic Region,5,5,65,0,13.0,81
72,Estonia,Eastern Europe,5,5,103,0,20.6,54
73,Oman,Middle East,5,5,16,0,3.2,31
74,Philippines,Asiatic Region,4,4,56,0,14.0,27
75,Bosnia and Herzegovina,Eastern Europe,3,3,40,0,13.33,23
76,Moldova,Eastern Europe,3,3,78,0,26.0,40
77,Bangladesh,Asiatic Region,3,3,13,0,4.33,49
78,Montenegro,Eastern Europe,2,2,7,0,3.5,19
79,Cyprus,Western Europe,2,2,192,0,96.0,53
80,Syrian Arab Republic,Middle East,2,2,47,0,23.5,24
81,Luxembourg,Western Europe,2,2,43,0,21.5,28
82,Mauritius,Africa,2,2,17,0,8.5,9
83,Botswana,Africa,2,2,45,0,22.5,16
84,Qatar,Middle East,2,2,74,0,37.0,47
85,Brunei Darussalam,Asiatic Region,2,2,3,0,1.5,17
86,Uruguay,Latin America,2,2,71,0,35.5,23
87,Netherlands Antilles,Latin America,1,1,17,0,17.0,2
88,Zimbabwe,Africa,1,1,2,0,2.0,6
89,Macao,Asiatic Region,1,1,11,0,11.0,33
90,Lesotho,Africa,1,1,2,0,2.0,2
91,Sri Lanka,Asiatic Region,1,1,18,0,18.0,30
92,Liechtenstein,Western Europe,1,1,92,0,92.0,11
93,Lebanon,Middle East,1,1,5,0,5.0,34
94,Peru,Latin America,1,1,23,0,23.0,25
95,Palestine,Middle East,1,1,6,0,6.0,19
96,Kuwait,Middle East,1,1,0,0,0.0,28
97,Jamaica,Latin America,1,1,13,0,13.0,9
98,Iceland,Western Europe,1,1,10,0,10.0,22
99,Guatemala,Latin America,1,1,0,0,0.0,5
100,Solomon Islands,Pacific Region,1,1,7,0,7.0,2
101,Fiji,Pacific Region,1,1,33,0,33.0,11
102,Senegal,Africa,1,1,4,0,4.0,12
103,Cameroon,Africa,1,1,12,0,12.0,18
104,Congo,Africa,1,1,0,0,0.0,5
105,Trinidad and Tobago,Latin America,1,1,0,0,0.0,13
106,Bahrain,Middle East,1,1,10,0,10.0,15
107,Barbados,Latin America,1,1,1,0,1.0,6
108,Yemen,Middle East,1,1,19,0,19.0,20
