Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5980,5926,121370,54918,20.3,479
2,China,Asiatic Region,3755,3744,49878,25090,13.28,222
3,Germany,Western Europe,3265,3227,76222,26793,23.35,343
4,Russian Federation,Eastern Europe,2468,2410,39287,13021,15.92,277
5,Japan,Asiatic Region,2236,2228,42489,11510,19.0,271
6,Italy,Western Europe,2154,2113,49840,15306,23.14,284
7,United Kingdom,Western Europe,2041,2033,52802,14194,25.87,299
8,France,Western Europe,1982,1961,47685,12061,24.06,292
9,India,Asiatic Region,1835,1826,29452,8884,16.05,192
10,Switzerland,Western Europe,1556,1545,37850,9417,24.33,293
11,Spain,Western Europe,1399,1391,39771,8841,28.43,248
12,South Korea,Asiatic Region,1026,1023,23596,4392,23.0,181
13,Brazil,Latin America,851,846,20129,5222,23.65,173
14,Poland,Eastern Europe,847,840,21269,4778,25.11,222
15,Canada,Northern America,812,811,26570,3851,32.72,232
16,Sweden,Western Europe,608,605,18305,2571,30.11,182
17,Ukraine,Eastern Europe,592,591,7599,1853,12.84,133
18,Netherlands,Western Europe,555,552,22989,2960,41.42,211
19,Belgium,Western Europe,539,534,17800,2660,33.02,175
20,Czech Republic,Eastern Europe,516,515,13548,2723,26.26,159
21,Taiwan,Asiatic Region,513,500,11517,2076,22.45,155
22,Australia,Pacific Region,470,466,17498,2456,37.23,150
23,Iran,Middle East,468,467,6935,2147,14.82,105
24,Portugal,Western Europe,453,451,14576,2681,32.18,164
25,Austria,Western Europe,449,441,16501,2546,36.75,156
26,Turkey,Middle East,432,431,10166,2266,23.53,132
27,Hungary,Eastern Europe,405,402,11021,2009,27.21,158
28,Finland,Western Europe,357,354,16293,1825,45.64,161
29,Greece,Western Europe,350,347,12279,1968,35.08,158
30,Mexico,Latin America,347,344,12874,1927,37.1,142
31,Israel,Middle East,330,328,13445,1202,40.74,160
32,Romania,Eastern Europe,316,315,9938,1608,31.45,136
33,Denmark,Western Europe,305,303,13514,1567,44.31,158
34,Chile,Latin America,287,286,8862,1405,30.88,117
35,South Africa,Africa,269,267,7240,1276,26.91,121
36,Colombia,Latin America,263,262,8057,1484,30.63,120
37,Armenia,Eastern Europe,233,232,8567,1492,36.77,144
38,Norway,Western Europe,230,227,6980,1018,30.35,136
39,Argentina,Latin America,224,224,12865,932,57.43,132
40,Croatia,Eastern Europe,213,212,7236,1019,33.97,135
41,Malaysia,Asiatic Region,211,211,5886,905,27.9,83
42,Pakistan,Asiatic Region,210,210,6056,1284,28.84,103
43,Serbia,Eastern Europe,209,209,7982,1148,38.19,114
44,Belarus,Eastern Europe,201,201,5779,1121,28.75,111
45,Slovenia,Eastern Europe,201,199,6066,687,30.18,126
