Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,15354,15141,684233,252121,44.56,890
2,China,Asiatic Region,9162,9150,199902,106872,21.82,513
3,Japan,Asiatic Region,8003,7975,213789,68331,26.71,483
4,Germany,Western Europe,6055,6004,264093,72258,43.62,584
5,Russian Federation,Eastern Europe,4374,4359,90997,26082,20.8,364
6,France,Western Europe,4345,4279,179972,37145,41.42,473
7,United Kingdom,Western Europe,4226,4173,190002,36618,44.96,524
8,Italy,Western Europe,3324,3294,109783,25778,33.03,424
9,South Korea,Asiatic Region,2841,2827,73112,16591,25.73,353
10,India,Asiatic Region,2088,2065,47911,15458,22.95,281
11,Spain,Western Europe,2021,1996,84719,16254,41.92,397
12,Canada,Northern America,1810,1794,71047,11965,39.25,383
13,Poland,Eastern Europe,1645,1628,38548,8821,23.43,294
14,Taiwan,Asiatic Region,1443,1434,42935,8391,29.75,259
15,Switzerland,Western Europe,1300,1287,66257,10357,50.97,394
16,Brazil,Latin America,1278,1271,33287,7925,26.05,253
17,Netherlands,Western Europe,1134,1117,63984,6783,56.42,362
18,Australia,Pacific Region,949,938,41201,6501,43.42,335
19,Sweden,Western Europe,926,910,34287,5091,37.03,299
20,Mexico,Latin America,822,817,13467,2856,16.38,190
21,Ukraine,Eastern Europe,811,809,10350,2774,12.76,173
22,Belgium,Western Europe,811,801,26772,3986,33.01,271
23,Israel,Middle East,811,796,25786,3713,31.8,291
24,Czech Republic,Eastern Europe,737,731,18916,3542,25.67,215
25,Singapore,Asiatic Region,610,608,22467,2474,36.83,271
26,Greece,Western Europe,550,544,15958,2168,29.01,204
27,Austria,Western Europe,527,524,24622,3221,46.72,288
28,Hong Kong,Asiatic Region,500,500,19478,2129,38.96,248
29,Turkey,Middle East,490,488,9567,2669,19.52,184
30,Portugal,Western Europe,426,423,14897,2087,34.97,220
31,Finland,Western Europe,423,421,19379,2672,45.81,224
32,Iran,Middle East,405,405,8623,3254,21.29,160
33,Hungary,Eastern Europe,364,362,12611,1873,34.65,213
34,Denmark,Western Europe,360,352,20678,2076,57.44,262
35,Romania,Eastern Europe,337,334,8231,1380,24.42,165
36,Norway,Western Europe,314,306,14913,1663,47.49,199
37,Argentina,Latin America,308,306,6634,1333,21.54,163
38,Ireland,Western Europe,248,245,9805,1055,39.54,200
39,Egypt,Africa/Middle East,218,218,6952,1353,31.89,134
40,Bulgaria,Eastern Europe,217,217,7744,766,35.69,132
41,Slovakia,Eastern Europe,209,208,5394,578,25.81,151
42,Slovenia,Eastern Europe,194,192,10982,1110,56.61,175
43,Chile,Latin America,183,181,4123,820,22.53,147
44,South Africa,Africa,162,161,4385,551,27.07,164
45,New Zealand,Pacific Region,145,141,9743,763,67.19,153
46,Croatia,Eastern Europe,125,122,3756,503,30.05,146
47,Belarus,Eastern Europe,122,122,2197,380,18.01,129
48,Colombia,Latin America,121,121,2192,431,18.12,142
49,Serbia,Eastern Europe,100,99,2175,431,21.75,133
50,Algeria,Africa,99,99,2547,462,25.73,75
51,Armenia,Eastern Europe,89,88,4080,542,45.84,153
52,Lithuania,Eastern Europe,80,80,2126,457,26.58,108
53,Venezuela,Latin America,75,72,1050,129,14.0,78
54,Pakistan,Asiatic Region,74,74,2377,732,32.12,131
55,Saudi Arabia,Middle East,67,67,1361,160,20.31,175
56,Thailand,Asiatic Region,63,63,1717,302,27.25,111
57,Puerto Rico,Latin America,59,58,1873,148,31.75,90
58,Morocco,Africa,58,58,1932,449,33.31,116
59,Uzbekistan,Asiatic Region,58,58,537,101,9.26,49
60,Malaysia,Asiatic Region,57,56,1279,480,22.44,120
61,Cuba,Latin America,55,55,598,98,10.87,65
62,Georgia,Eastern Europe,53,53,768,154,14.49,127
63,Tunisia,Africa,41,41,998,182,24.34,67
64,Latvia,Eastern Europe,35,35,580,63,16.57,70
65,Cyprus,Western Europe,32,32,2343,142,73.22,105
66,Estonia,Eastern Europe,32,32,476,119,14.88,111
67,Moldova,Eastern Europe,32,32,708,159,22.13,52
68,Azerbaijan,Eastern Europe,30,30,377,78,12.57,98
69,Cameroon,Africa,30,30,508,66,16.93,50
70,Viet Nam,Asiatic Region,28,28,633,226,22.61,96
71,Bangladesh,Asiatic Region,25,25,181,37,7.24,56
72,Jordan,Middle East,23,23,1693,205,73.61,70
73,Indonesia,Asiatic Region,21,21,252,63,12.0,63
74,Kazakhstan,Asiatic Region,19,19,132,70,6.95,63
75,Ecuador,Latin America,19,19,698,87,36.74,79
76,Lebanon,Middle East,18,18,373,51,20.72,46
77,United Arab Emirates,Middle East,17,16,598,68,35.18,72
78,Philippines,Asiatic Region,16,16,122,20,7.63,54
79,Oman,Middle East,15,14,358,79,23.87,59
80,Iceland,Western Europe,14,14,6482,60,463.0,75
81,Iraq,Middle East,13,13,124,47,9.54,57
82,Macedonia,Eastern Europe,12,11,286,18,23.83,42
83,Nigeria,Africa,11,11,91,40,8.27,63
84,Peru,Latin America,10,10,376,7,37.6,72
85,Montenegro,Eastern Europe,10,10,743,47,74.3,39
86,Sri Lanka,Asiatic Region,9,9,340,28,37.78,61
87,Kuwait,Middle East,9,9,36,6,4.0,44
88,Uruguay,Latin America,9,9,183,31,20.33,56
89,Kyrgyzstan,Asiatic Region,8,8,32,1,4.0,17
90,Qatar,Middle East,8,8,220,22,27.5,72
91,Nepal,Asiatic Region,7,6,67,2,9.57,26
92,Luxembourg,Western Europe,7,7,104,37,14.86,72
93,Bahrain,Middle East,6,6,29,8,4.83,25
94,Palestine,Middle East,6,6,45,7,7.5,48
95,Syrian Arab Republic,Middle East,6,6,38,3,6.33,22
96,Bosnia and Herzegovina,Eastern Europe,5,5,112,33,22.4,37
97,Yemen,Middle East,5,5,207,10,41.4,33
98,Costa Rica,Latin America,5,5,408,64,81.6,35
99,Libya,Africa,4,4,84,2,21.0,23
100,Namibia,Africa,4,4,235,8,58.75,26
101,Botswana,Africa,4,4,32,1,8.0,20
102,Lesotho,Africa,3,3,57,0,19.0,10
103,Côte d’Ivoire,Africa,3,3,16,0,5.33,17
104,Macao,Asiatic Region,3,3,31,0,10.33,56
105,Ghana,Africa,3,3,5,0,1.67,36
106,Jamaica,Latin America,2,2,9,9,4.5,13
107,Albania,Eastern Europe,2,2,0,0,0.0,14
108,Senegal,Africa,2,2,16,7,8.0,28
109,Bolivia,Latin America,2,2,8,0,4.0,18
110,Trinidad and Tobago,Latin America,2,2,84,1,42.0,11
111,Tanzania,Africa,2,2,1,1,0.5,22
112,Cambodia,Asiatic Region,2,2,14,0,7.0,15
113,Tajikistan,Asiatic Region,2,2,7,6,3.5,18
114,Mongolia,Asiatic Region,1,1,2,2,2.0,39
