Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,3605,3597,16532,9260,4.59,118
2,United States,Northern America,2963,2836,33646,15316,11.36,299
3,India,Asiatic Region,1623,1612,12982,5652,8.0,105
4,Russian Federation,Eastern Europe,1239,1235,6077,3861,4.9,88
5,Germany,Western Europe,934,914,10183,3398,10.9,156
6,Japan,Asiatic Region,926,917,6825,2548,7.37,141
7,Ukraine,Eastern Europe,886,885,2719,2029,3.07,51
8,France,Western Europe,814,807,7551,2612,9.28,147
9,Canada,Northern America,783,760,6896,1839,8.81,167
10,United Kingdom,Western Europe,648,632,7587,1749,11.71,153
11,Italy,Western Europe,623,606,5486,1917,8.81,116
12,Spain,Western Europe,456,454,3476,1168,7.62,95
13,Australia,Pacific Region,347,339,2516,728,7.25,105
14,South Korea,Asiatic Region,340,337,4331,1252,12.74,98
15,Sweden,Western Europe,305,300,2837,620,9.3,101
16,Poland,Eastern Europe,250,249,2146,743,8.58,79
17,Netherlands,Western Europe,241,239,2654,597,11.01,141
18,Belgium,Western Europe,205,200,2008,375,9.8,99
19,Switzerland,Western Europe,201,196,2723,571,13.55,100
20,Taiwan,Asiatic Region,194,192,1471,287,7.58,92
21,Finland,Western Europe,192,192,1393,288,7.26,72
22,Brazil,Latin America,187,186,1884,672,10.07,70
23,Turkey,Middle East,186,184,1212,402,6.52,70
24,Saudi Arabia,Middle East,179,179,2049,434,11.45,65
25,Czech Republic,Eastern Europe,179,179,773,273,4.32,55
26,Iran,Middle East,177,176,1725,548,9.75,65
27,Egypt,Africa/Middle East,142,140,1699,478,11.96,58
28,Hong Kong,Asiatic Region,133,132,951,152,7.15,76
29,Malaysia,Asiatic Region,132,132,1087,341,8.23,55
30,Denmark,Western Europe,121,118,1546,288,12.78,91
31,Pakistan,Asiatic Region,114,112,1428,338,12.53,51
32,Romania,Eastern Europe,111,111,501,144,4.51,39
33,Austria,Western Europe,110,105,1236,261,11.24,82
34,Greece,Western Europe,101,101,1101,293,10.9,63
35,Mexico,Latin America,98,98,1043,205,10.64,44
36,Portugal,Western Europe,93,93,796,183,8.56,53
37,Israel,Middle East,90,88,616,141,6.84,60
38,Singapore,Asiatic Region,88,88,816,159,9.27,67
39,Thailand,Asiatic Region,79,79,411,132,5.2,42
40,Algeria,Africa,75,75,433,138,5.77,31
41,South Africa,Africa,71,70,1360,224,19.15,52
42,Serbia,Eastern Europe,65,64,277,69,4.26,40
43,Ireland,Western Europe,59,58,528,60,8.95,61
44,Indonesia,Asiatic Region,58,58,572,197,9.86,25
45,Hungary,Eastern Europe,56,55,384,85,6.86,57
46,Argentina,Latin America,44,44,435,135,9.89,46
47,New Zealand,Pacific Region,40,37,527,70,13.18,44
48,Slovakia,Eastern Europe,38,37,223,71,5.87,38
49,Bulgaria,Eastern Europe,36,36,310,104,8.61,34
50,United Arab Emirates,Middle East,36,36,367,46,10.19,21
51,Iceland,Western Europe,36,36,150,112,4.17,24
52,Norway,Western Europe,35,34,335,74,9.57,64
53,Colombia,Latin America,35,35,207,54,5.91,23
54,Tunisia,Africa,32,31,145,42,4.53,29
55,Belarus,Eastern Europe,31,31,108,26,3.48,34
56,Chile,Latin America,30,30,345,78,11.5,31
57,Viet Nam,Asiatic Region,27,27,129,35,4.78,28
58,Croatia,Eastern Europe,27,27,231,62,8.56,28
59,Macao,Asiatic Region,26,26,292,50,11.23,27
60,Kazakhstan,Asiatic Region,23,23,90,48,3.91,26
61,Latvia,Eastern Europe,23,23,135,51,5.87,26
62,Iraq,Middle East,22,22,116,36,5.27,20
63,Morocco,Africa,19,19,93,32,4.89,24
64,Lebanon,Middle East,18,18,189,33,10.5,26
65,Slovenia,Eastern Europe,18,18,175,48,9.72,39
66,Jordan,Middle East,17,17,54,15,3.18,32
67,Estonia,Eastern Europe,17,17,79,18,4.65,30
68,Bangladesh,Asiatic Region,15,15,155,36,10.33,25
69,Syrian Arab Republic,Middle East,14,14,59,24,4.21,23
70,Armenia,Eastern Europe,13,13,99,17,7.62,13
71,Cuba,Latin America,13,13,67,8,5.15,18
72,Kuwait,Middle East,13,13,78,9,6.0,22
73,Qatar,Middle East,11,11,130,13,11.82,12
74,Lithuania,Eastern Europe,10,10,61,27,6.1,35
75,Georgia,Eastern Europe,10,10,260,2,26.0,26
76,Nigeria,Africa,10,8,96,25,9.6,27
77,Brunei Darussalam,Asiatic Region,9,9,119,16,13.22,7
78,Oman,Middle East,9,9,79,10,8.78,10
79,Philippines,Asiatic Region,9,7,70,19,7.78,17
80,Ecuador,Latin America,9,9,130,24,14.44,9
81,Malta,Western Europe,8,7,12,1,1.5,9
82,Puerto Rico,Latin America,7,5,33,1,4.71,17
83,Cyprus,Western Europe,6,6,46,4,7.67,20
84,Uruguay,Latin America,5,5,28,7,5.6,16
85,Bosnia and Herzegovina,Eastern Europe,5,5,2,0,0.4,13
86,Peru,Latin America,5,5,11,3,2.2,12
87,Macedonia,Eastern Europe,5,5,23,11,4.6,16
88,Albania,Eastern Europe,4,4,12,4,3.0,6
89,Venezuela,Latin America,4,4,19,3,4.75,16
90,Azerbaijan,Eastern Europe,4,4,13,3,3.25,12
91,Luxembourg,Western Europe,4,4,21,1,5.25,15
92,Uzbekistan,Asiatic Region,4,4,4,2,1.0,8
93,Ghana,Africa,4,4,17,2,4.25,16
94,Palestine,Middle East,3,3,11,0,3.67,14
95,Costa Rica,Latin America,3,3,24,5,8.0,11
96,Monaco,Western Europe,3,3,41,2,13.67,17
97,Montenegro,Eastern Europe,3,3,14,3,4.67,6
98,Sri Lanka,Asiatic Region,3,2,63,4,21.0,9
99,Senegal,Africa,3,3,9,3,3.0,7
100,Tanzania,Africa,2,1,21,4,10.5,13
101,Cambodia,Asiatic Region,2,2,40,6,20.0,4
102,North Korea,Asiatic Region,2,2,3,0,1.5,2
103,Mongolia,Asiatic Region,2,2,4,1,2.0,7
104,Cameroon,Africa,2,2,0,0,0.0,9
105,Sudan,Africa,2,2,9,0,4.5,15
106,Kenya,Africa,2,2,28,3,14.0,13
107,Botswana,Africa,1,1,2,0,2.0,10
108,Congo,Africa,1,1,2,0,2.0,2
109,Rwanda,Africa,1,0,20,2,20.0,1
110,Togo,Africa,1,1,0,0,0.0,1
111,Bahrain,Middle East,1,1,102,6,102.0,2
112,Timor-Leste,Asiatic Region,1,1,30,0,30.0,1
113,Burkina Faso,Africa,1,1,11,3,11.0,4
114,Paraguay,Latin America,1,1,1,0,1.0,3
115,Dominican Republic,Latin America,1,1,1,0,1.0,3
116,Afghanistan,Asiatic Region,1,1,4,2,4.0,5
117,Nepal,Asiatic Region,1,1,6,1,6.0,3
118,Ethiopia,Africa,1,1,1,0,1.0,5
119,Nicaragua,Latin America,1,1,1,0,1.0,4
120,Jamaica,Latin America,1,1,3,1,3.0,3
121,Moldova,Eastern Europe,1,1,2,2,2.0,9
122,Saint Kitts and Nevis,Latin America,1,1,13,0,13.0,4
123,Yemen,Middle East,1,1,15,1,15.0,15
124,Bolivia,Latin America,1,1,9,4,9.0,5
