Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,2814,2802,88661,46659,31.51,249
2,United States,Northern America,2327,2307,74900,21533,32.19,373
3,Japan,Asiatic Region,1184,1162,20617,5436,17.41,219
4,Germany,Western Europe,1080,1070,28494,6695,26.38,236
5,France,Western Europe,816,807,25094,4979,30.75,222
6,United Kingdom,Western Europe,738,720,22543,3945,30.55,225
7,India,Asiatic Region,708,707,28208,9576,39.84,211
8,South Korea,Asiatic Region,662,658,19060,3299,28.79,166
9,Taiwan,Asiatic Region,490,489,10907,1854,22.26,122
10,Spain,Western Europe,381,375,14042,2387,36.86,160
11,Italy,Western Europe,374,372,14229,2520,38.05,148
12,Australia,Pacific Region,369,365,17701,2261,47.97,175
13,Canada,Northern America,355,351,19536,2116,55.03,181
14,Russian Federation,Eastern Europe,325,320,4955,2077,15.25,118
15,Poland,Eastern Europe,234,227,5809,1547,24.82,116
16,Iran,Middle East,233,233,8159,2239,35.02,116
17,Sweden,Western Europe,232,226,6975,1317,30.06,158
18,Brazil,Latin America,194,193,4289,1079,22.11,106
19,Switzerland,Western Europe,187,186,7615,937,40.72,152
20,Belgium,Western Europe,175,174,5807,630,33.18,125
21,Netherlands,Western Europe,168,165,7169,1062,42.67,157
22,Turkey,Middle East,161,161,4647,899,28.86,117
23,Singapore,Asiatic Region,150,150,5883,558,39.22,142
24,Portugal,Western Europe,146,142,6675,835,45.72,116
25,Czech Republic,Eastern Europe,128,128,3654,721,28.55,92
26,Romania,Eastern Europe,112,110,2229,585,19.9,78
27,Austria,Western Europe,108,108,2188,451,20.26,101
28,Ukraine,Eastern Europe,106,106,1425,469,13.44,80
29,Hong Kong,Asiatic Region,103,102,3641,247,35.35,105
30,Finland,Western Europe,99,98,3076,546,31.07,108
31,Mexico,Latin America,92,92,1923,291,20.9,88
32,Israel,Middle East,90,84,2978,360,33.09,128
33,Denmark,Western Europe,89,89,3123,458,35.09,94
34,Greece,Western Europe,87,85,2161,314,24.84,92
35,Argentina,Latin America,84,84,1795,342,21.37,74
36,Serbia,Eastern Europe,80,80,1355,288,16.94,57
37,Malaysia,Asiatic Region,74,72,2526,496,34.14,87
38,Bulgaria,Eastern Europe,64,63,1645,229,25.7,82
39,Saudi Arabia,Middle East,60,60,2095,361,34.92,82
40,Hungary,Eastern Europe,60,60,1318,191,21.97,77
41,Ireland,Western Europe,54,54,1223,229,22.65,71
42,Thailand,Asiatic Region,46,46,1999,161,43.46,66
43,Norway,Western Europe,46,46,917,115,19.93,71
44,Algeria,Africa,45,45,1002,158,22.27,59
45,Slovenia,Eastern Europe,42,41,1035,143,24.64,74
46,Egypt,Africa/Middle East,41,41,767,145,18.71,83
47,Colombia,Latin America,40,40,1365,138,34.13,54
48,Viet Nam,Asiatic Region,38,38,622,62,16.37,46
49,Lithuania,Eastern Europe,37,37,642,180,17.35,49
50,New Zealand,Pacific Region,37,37,840,83,22.7,65
51,Luxembourg,Western Europe,33,33,869,114,26.33,35
52,Tunisia,Africa,31,31,691,162,22.29,55
53,Moldova,Eastern Europe,31,31,276,80,8.9,35
54,Slovakia,Eastern Europe,31,31,710,171,22.9,55
55,Belarus,Eastern Europe,29,29,376,105,12.97,49
56,Pakistan,Asiatic Region,28,28,878,78,31.36,64
57,South Africa,Africa,22,22,568,66,25.82,64
58,Estonia,Eastern Europe,18,18,704,130,39.11,57
59,Morocco,Africa,18,18,278,58,15.44,61
60,Chile,Latin America,17,17,485,111,28.53,45
61,Croatia,Eastern Europe,12,12,135,32,11.25,39
62,Azerbaijan,Eastern Europe,11,11,48,24,4.36,14
63,Lebanon,Middle East,10,9,117,26,11.7,30
64,Bangladesh,Asiatic Region,10,10,216,46,21.6,35
65,Jordan,Middle East,9,9,65,8,7.22,34
66,Latvia,Eastern Europe,8,8,108,14,13.5,29
67,Indonesia,Asiatic Region,8,8,198,37,24.75,34
68,Cyprus,Western Europe,8,8,418,10,52.25,26
69,Uzbekistan,Asiatic Region,7,7,13,8,1.86,20
70,Palestine,Middle East,7,7,136,11,19.43,18
71,Cuba,Latin America,7,7,396,21,56.57,34
72,United Arab Emirates,Middle East,7,7,43,22,6.14,42
73,Nigeria,Africa,6,6,51,15,8.5,37
74,Oman,Middle East,6,6,282,21,47.0,25
75,Philippines,Asiatic Region,6,6,102,5,17.0,24
76,Iceland,Western Europe,5,5,108,25,21.6,22
77,Kazakhstan,Asiatic Region,5,5,137,24,27.4,33
78,Iraq,Middle East,5,5,103,21,20.6,30
79,Uruguay,Latin America,4,4,103,35,25.75,22
80,Syrian Arab Republic,Middle East,4,4,29,5,7.25,15
81,Puerto Rico,Latin America,4,4,210,13,52.5,25
82,Kuwait,Middle East,4,3,102,4,25.5,29
83,Liechtenstein,Western Europe,4,4,141,22,35.25,40
84,Senegal,Africa,3,3,49,4,16.33,11
85,Nepal,Asiatic Region,3,3,130,8,43.33,25
86,Yemen,Middle East,3,3,25,2,8.33,17
87,Macedonia,Eastern Europe,3,3,33,5,11.0,16
88,Armenia,Eastern Europe,2,2,5,2,2.5,17
89,Uganda,Africa,2,2,1,0,0.5,9
90,Costa Rica,Latin America,2,2,22,5,11.0,12
91,Georgia,Eastern Europe,2,2,37,0,18.5,15
92,Malta,Western Europe,2,2,4,4,2.0,15
93,Venezuela,Latin America,2,2,52,4,26.0,51
94,Congo,Africa,2,2,19,2,9.5,10
95,Ethiopia,Africa,2,2,7,4,3.5,17
96,Qatar,Middle East,2,2,41,16,20.5,35
97,Tanzania,Africa,1,1,0,0,0.0,8
98,Albania,Eastern Europe,1,1,3,0,3.0,6
99,Mozambique,Africa,1,1,0,0,0.0,2
100,Afghanistan,Asiatic Region,1,1,10,0,10.0,4
