Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,63299,62299,2247698,892107,35.51,1248
2,China,Asiatic Region,54287,54138,970327,546813,17.87,663
3,Germany,Western Europe,27487,27172,894892,263430,32.56,802
4,Japan,Asiatic Region,25579,25380,533094,156207,20.84,661
5,France,Western Europe,19053,18828,578843,149479,30.38,680
6,United Kingdom,Western Europe,17525,17186,622427,151574,35.52,768
7,Russian Federation,Eastern Europe,14138,14015,218407,80034,15.45,479
8,Italy,Western Europe,13081,12891,394205,107921,30.14,587
9,India,Asiatic Region,11908,11832,259336,93308,21.78,419
10,South Korea,Asiatic Region,11564,11495,304997,60454,26.37,482
11,Spain,Western Europe,9861,9768,322848,70374,32.74,555
12,Canada,Northern America,8602,8498,293817,51224,34.16,569
13,Taiwan,Asiatic Region,6871,6844,142153,28854,20.69,355
14,Switzerland,Western Europe,5972,5898,212335,37111,35.56,559
15,Poland,Eastern Europe,5815,5753,120726,33575,20.76,387
16,Australia,Pacific Region,5654,5557,206065,39766,36.45,509
17,Netherlands,Western Europe,5211,5110,216537,35557,41.55,540
18,Brazil,Latin America,5208,5165,98471,25777,18.91,353
19,Sweden,Western Europe,4002,3944,149873,23552,37.45,422
20,Iran,Middle East,3914,3905,91785,29855,23.45,236
21,Belgium,Western Europe,3733,3688,123128,19228,32.98,387
22,Ukraine,Eastern Europe,3137,3110,41571,11933,13.25,234
23,Turkey,Middle East,3091,3064,64406,15868,20.84,262
24,Mexico,Latin America,2814,2778,56775,10300,20.18,280
25,Austria,Western Europe,2751,2719,104375,14864,37.94,382
26,Czech Republic,Eastern Europe,2593,2572,63360,13782,24.44,289
27,Singapore,Asiatic Region,2564,2538,95378,9937,37.2,369
28,Israel,Middle East,2541,2513,90521,13521,35.62,389
29,Portugal,Western Europe,2472,2442,62778,12052,25.4,309
30,Malaysia,Asiatic Region,2348,2336,29351,8437,12.5,191
31,Romania,Eastern Europe,2321,2305,34758,9487,14.98,225
32,Finland,Western Europe,2125,2104,65976,10549,31.05,317
33,Denmark,Western Europe,2101,2083,88801,14155,42.27,378
34,Greece,Western Europe,2027,2004,59507,10186,29.36,284
35,Hong Kong,Asiatic Region,1869,1851,60791,6374,32.53,329
36,Argentina,Latin America,1454,1440,39553,7072,27.2,224
37,Hungary,Eastern Europe,1451,1430,42729,7716,29.45,302
38,Ireland,Western Europe,1426,1415,46404,5722,32.54,277
39,Chile,Latin America,1252,1237,42342,10029,33.82,274
40,Norway,Western Europe,1137,1125,35642,6086,31.35,267
41,Egypt,Africa/Middle East,1081,1075,23234,6331,21.49,187
42,South Africa,Africa,1036,1020,30717,5037,29.65,253
43,Bulgaria,Eastern Europe,1030,1022,22553,2927,21.9,184
44,Pakistan,Asiatic Region,946,942,19508,5783,20.62,187
45,Thailand,Asiatic Region,935,930,18949,3309,20.27,171
46,Slovakia,Eastern Europe,926,917,18891,4466,20.4,191
