Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,85251,81600,3187924,1449008,37.39,515
2,United Kingdom,Western Europe,23541,22488,819350,212546,34.81,286
3,Germany,Western Europe,15014,13752,345618,84590,23.02,207
4,Canada,Northern America,11875,11519,420475,64735,35.41,237
5,Australia,Pacific Region,10564,10192,353543,62427,33.47,213
6,Netherlands,Western Europe,8259,7921,404272,63634,48.95,237
7,France,Western Europe,7899,7635,106145,20006,13.44,124
8,Spain,Western Europe,6141,5990,134459,33016,21.9,138
9,Italy,Western Europe,5668,5108,119841,27172,21.14,132
10,China,Asiatic Region,5048,4991,98571,35226,19.53,121
11,Switzerland,Western Europe,3183,3029,85059,9521,26.72,124
12,Israel,Middle East,3143,3067,104757,11998,33.33,139
13,Sweden,Western Europe,3077,2967,95900,13572,31.17,133
14,Belgium,Western Europe,2634,2527,85513,9512,32.47,129
15,Ireland,Western Europe,2358,2105,34780,4211,14.75,77
16,New Zealand,Pacific Region,2111,2028,71666,5854,33.95,120
17,South Korea,Asiatic Region,2109,2083,54533,6115,25.86,99
18,Hong Kong,Asiatic Region,2091,2049,94586,8073,45.23,140
19,Norway,Western Europe,1905,1856,57205,6748,30.03,105
20,Austria,Western Europe,1895,1773,38048,4110,20.08,88
21,Finland,Western Europe,1850,1785,63297,8233,34.21,112
22,Portugal,Western Europe,1703,1658,32965,4814,19.36,77
23,Turkey,Middle East,1687,1664,26082,4080,15.46,73
24,Taiwan,Asiatic Region,1685,1659,51865,6552,30.78,103
25,Brazil,Latin America,1635,1593,29237,4477,17.88,69
26,Japan,Asiatic Region,1633,1579,42070,4450,25.76,87
27,Denmark,Western Europe,1582,1478,50976,5713,32.22,108
28,South Africa,Africa,1481,1434,28461,5050,19.22,71
29,India,Asiatic Region,1424,1385,30281,5345,21.26,76
30,Russian Federation,Eastern Europe,1293,1272,12822,1833,9.92,44
31,Singapore,Asiatic Region,1287,1257,45735,2471,35.54,105
32,Poland,Eastern Europe,1271,1235,18521,2632,14.57,59
33,Greece,Western Europe,893,868,24795,2337,27.77,75
34,Iran,Middle East,857,827,8257,1314,9.63,38
