Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2153,2078,206175,0,95.76,515
2,United Kingdom,Western Europe,577,551,35773,0,62.0,286
3,Germany,Western Europe,292,280,15714,0,53.82,207
4,Canada,Northern America,234,228,15401,0,65.82,237
5,France,Western Europe,208,203,1886,0,9.07,124
6,Australia,Pacific Region,169,164,13955,0,82.57,213
7,Netherlands,Western Europe,167,161,16548,0,99.09,237
8,Italy,Western Europe,99,90,4161,0,42.03,132
9,Sweden,Western Europe,67,62,5936,0,88.6,133
10,Israel,Middle East,66,66,5441,0,82.44,139
11,Spain,Western Europe,59,58,3121,0,52.9,138
12,Belgium,Western Europe,42,42,3323,0,79.12,129
13,Hong Kong,Asiatic Region,41,40,2789,0,68.02,140
14,Ireland,Western Europe,38,30,821,0,21.61,77
15,Switzerland,Western Europe,37,37,1607,0,43.43,124
16,Finland,Western Europe,37,37,2411,0,65.16,112
17,Japan,Asiatic Region,36,36,2498,0,69.39,87
18,New Zealand,Pacific Region,36,35,3766,0,104.61,120
19,South Korea,Asiatic Region,29,29,1747,0,60.24,99
20,Austria,Western Europe,28,27,649,0,23.18,88
21,Norway,Western Europe,28,26,1732,0,61.86,105
22,Denmark,Western Europe,24,24,1612,0,67.17,108
23,Taiwan,Asiatic Region,21,21,2747,0,130.81,103
24,Singapore,Asiatic Region,17,17,855,0,50.29,105
25,Turkey,Middle East,13,13,1210,0,93.08,73
26,Greece,Western Europe,11,11,911,0,82.82,75
27,China,Asiatic Region,11,11,562,0,51.09,121
28,Brazil,Latin America,11,9,336,0,30.55,69
29,Portugal,Western Europe,10,9,257,0,25.7,77
30,South Africa,Africa,9,9,206,0,22.89,71
31,Hungary,Eastern Europe,8,7,218,0,27.25,48
32,Poland,Eastern Europe,5,5,307,0,61.4,59
33,Malaysia,Asiatic Region,5,5,326,0,65.2,50
34,Russian Federation,Eastern Europe,4,4,88,0,22.0,44
35,Mexico,Latin America,4,4,190,0,47.5,43
36,Argentina,Latin America,3,3,10,0,3.33,26
37,Czech Republic,Eastern Europe,3,3,121,0,40.33,31
38,Indonesia,Asiatic Region,2,2,39,0,19.5,25
39,India,Asiatic Region,2,2,273,0,136.5,76
40,Iceland,Western Europe,2,1,129,0,64.5,33
41,Croatia,Eastern Europe,2,2,0,0,0.0,28
42,Ghana,Africa,2,2,11,0,5.5,21
43,Luxembourg,Western Europe,2,2,9,0,4.5,28
44,Nigeria,Africa,2,2,17,0,8.5,31
45,Egypt,Africa/Middle East,2,2,31,0,15.5,23
46,Philippines,Asiatic Region,2,2,503,0,251.5,26
47,Pakistan,Asiatic Region,2,2,290,0,145.0,39
48,Puerto Rico,Latin America,2,2,139,0,69.5,19
49,Thailand,Asiatic Region,2,2,114,0,57.0,35
50,Bulgaria,Eastern Europe,2,2,21,0,10.5,18
51,United Arab Emirates,Middle East,2,2,85,0,42.5,37
52,Lebanon,Middle East,1,1,82,0,82.0,32
53,Haïti,Latin America,1,1,3,0,3.0,3
54,Côte d’Ivoire,Africa,1,1,80,0,80.0,3
55,Georgia,Eastern Europe,1,1,5,0,5.0,17
56,Viet Nam,Asiatic Region,1,1,18,0,18.0,27
57,Cyprus,Western Europe,1,1,6,0,6.0,31
58,Serbia,Eastern Europe,1,1,7,0,7.0,23
59,Iran,Middle East,1,0,11,0,11.0,38
60,Saudi Arabia,Middle East,1,1,26,0,26.0,32
61,Sudan,Africa,1,1,33,0,33.0,2
62,Colombia,Latin America,1,1,29,0,29.0,38
63,Chile,Latin America,1,1,30,0,30.0,42
64,Latvia,Eastern Europe,1,1,2,0,2.0,5
65,Morocco,Africa,1,1,1,0,1.0,14
66,Malawi,Africa,1,1,4,0,4.0,11
67,Lithuania,Eastern Europe,1,1,1,0,1.0,24
68,Sri Lanka,Asiatic Region,1,1,24,0,24.0,17
69,Slovenia,Eastern Europe,1,0,0,0,0.0,36
70,Slovakia,Eastern Europe,1,1,14,0,14.0,19
71,Estonia,Eastern Europe,1,1,97,0,97.0,32
