Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3592,3376,116583,57863,32.46,515
2,United Kingdom,Western Europe,991,943,37835,10551,38.18,286
3,Germany,Western Europe,726,667,16854,4750,23.21,207
4,Canada,Northern America,518,504,19436,3501,37.52,237
5,Australia,Pacific Region,401,383,17399,3243,43.39,213
6,Netherlands,Western Europe,373,362,18344,3035,49.18,237
7,Spain,Western Europe,351,343,7270,2681,20.71,138
8,France,Western Europe,319,316,5196,1092,16.29,124
9,Italy,Western Europe,261,217,5960,1665,22.84,132
10,Israel,Middle East,149,143,3676,587,24.67,139
11,Switzerland,Western Europe,145,137,4348,566,29.99,124
12,Belgium,Western Europe,123,118,4388,487,35.67,129
13,China,Asiatic Region,116,115,5362,1567,46.22,121
14,Sweden,Western Europe,114,110,3333,566,29.24,133
15,Ireland,Western Europe,93,87,1900,205,20.43,77
16,Hong Kong,Asiatic Region,92,90,4659,343,50.64,140
17,Austria,Western Europe,88,85,2183,293,24.81,88
18,Finland,Western Europe,86,84,2586,329,30.07,112
19,New Zealand,Pacific Region,83,76,3566,266,42.96,120
20,South Africa,Africa,81,78,1795,464,22.16,71
21,Taiwan,Asiatic Region,80,80,2616,364,32.7,103
22,Norway,Western Europe,78,77,2157,365,27.65,105
23,South Korea,Asiatic Region,78,78,2853,289,36.58,99
24,Portugal,Western Europe,77,76,1550,298,20.13,77
25,Japan,Asiatic Region,67,62,1017,171,15.18,87
26,Turkey,Middle East,65,64,1192,197,18.34,73
27,Poland,Eastern Europe,63,61,853,216,13.54,59
28,Brazil,Latin America,62,62,1127,307,18.18,69
29,India,Asiatic Region,62,52,827,161,13.34,76
30,Denmark,Western Europe,58,55,2207,302,38.05,108
31,Singapore,Asiatic Region,54,53,1995,117,36.94,105
32,Greece,Western Europe,53,52,1718,170,32.42,75
33,Mexico,Latin America,31,31,295,37,9.52,43
34,Malaysia,Asiatic Region,30,30,835,136,27.83,50
35,Romania,Eastern Europe,22,21,472,43,21.45,39
36,Hungary,Eastern Europe,18,17,539,73,29.94,48
37,Croatia,Eastern Europe,17,17,125,22,7.35,28
38,Russian Federation,Eastern Europe,16,16,328,41,20.5,44
39,Slovenia,Eastern Europe,13,13,387,15,29.77,36
40,Argentina,Latin America,13,13,322,42,24.77,26
41,Luxembourg,Western Europe,13,13,407,26,31.31,28
42,Colombia,Latin America,13,13,185,12,14.23,38
43,Pakistan,Asiatic Region,12,12,213,55,17.75,39
44,Iran,Middle East,12,12,207,31,17.25,38
45,Chile,Latin America,11,11,165,23,15.0,42
46,Macao,Asiatic Region,10,10,186,25,18.6,34
47,Iceland,Western Europe,9,9,187,11,20.78,33
48,Estonia,Eastern Europe,8,8,254,11,31.75,32
49,United Arab Emirates,Middle East,7,7,195,4,27.86,37
50,Nigeria,Africa,7,7,146,25,20.86,31
