Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3938,3759,204525,0,51.94,486
2,United Kingdom,Western Europe,980,880,34251,0,34.95,279
3,Germany,Western Europe,505,485,12339,0,24.43,188
4,Canada,Northern America,410,386,26688,0,65.09,249
5,France,Western Europe,400,387,2716,0,6.79,113
6,Italy,Western Europe,282,255,7815,0,27.71,147
7,Australia,Pacific Region,253,242,14035,0,55.47,213
8,Netherlands,Western Europe,177,167,10712,0,60.52,205
9,Switzerland,Western Europe,159,145,3658,0,23.01,129
10,Spain,Western Europe,140,130,3588,0,25.63,135
11,Sweden,Western Europe,107,93,4468,0,41.76,141
12,Israel,Middle East,104,100,3011,0,28.95,115
13,Japan,Asiatic Region,73,68,1692,0,23.18,97
14,Belgium,Western Europe,71,66,2397,0,33.76,130
15,Iran,Middle East,64,59,712,0,11.13,65
16,Austria,Western Europe,59,56,762,0,12.92,75
17,Norway,Western Europe,58,56,2681,0,46.22,112
18,Mexico,Latin America,53,52,988,0,18.64,61
19,Poland,Eastern Europe,47,45,428,0,9.11,70
20,Finland,Western Europe,40,40,1223,0,30.58,95
21,Brazil,Latin America,39,33,928,0,23.79,96
22,New Zealand,Pacific Region,36,33,2124,0,59.0,100
23,Turkey,Middle East,34,33,1467,0,43.15,76
24,Denmark,Western Europe,34,33,1697,0,49.91,96
25,Hong Kong,Asiatic Region,30,29,1189,0,39.63,88
26,India,Asiatic Region,22,22,583,0,26.5,70
27,Greece,Western Europe,21,20,1160,0,55.24,68
28,Hungary,Eastern Europe,18,16,521,0,28.94,66
29,Argentina,Latin America,18,18,254,0,14.11,51
30,South Africa,Africa,16,15,832,0,52.0,76
31,South Korea,Asiatic Region,12,12,622,0,51.83,83
32,Russian Federation,Eastern Europe,12,12,202,0,16.83,39
33,Ireland,Western Europe,11,11,236,0,21.45,84
34,Croatia,Eastern Europe,10,10,185,0,18.5,31
35,Portugal,Western Europe,9,8,202,0,22.44,79
36,China,Asiatic Region,9,9,245,0,27.22,108
37,Singapore,Asiatic Region,8,7,135,0,16.88,58
38,Slovenia,Eastern Europe,8,7,48,0,6.0,31
39,Colombia,Latin America,5,4,92,0,18.4,42
40,Taiwan,Asiatic Region,5,5,126,0,25.2,74
41,Serbia,Eastern Europe,4,4,181,0,45.25,26
42,Belarus,Eastern Europe,4,4,37,0,9.25,13
43,Estonia,Eastern Europe,4,4,53,0,13.25,26
44,Venezuela,Latin America,4,4,94,0,23.5,15
45,Iceland,Western Europe,4,4,42,0,10.5,37
46,Kuwait,Middle East,3,3,48,0,16.0,26
47,Bosnia and Herzegovina,Eastern Europe,3,3,414,0,138.0,15
48,Ukraine,Eastern Europe,3,3,168,0,56.0,24
49,Nigeria,Africa,3,3,53,0,17.67,35
50,Slovakia,Eastern Europe,3,3,155,0,51.67,22
51,Thailand,Asiatic Region,3,3,36,0,12.0,40
52,Romania,Eastern Europe,2,2,38,0,19.0,52
53,United Arab Emirates,Middle East,2,2,30,0,15.0,26
54,Czech Republic,Eastern Europe,2,2,28,0,14.0,37
55,Saudi Arabia,Middle East,2,2,53,0,26.5,37
56,Peru,Latin America,2,1,0,0,0.0,24
57,Bulgaria,Eastern Europe,2,2,86,0,43.0,27
58,Pakistan,Asiatic Region,2,2,84,0,42.0,32
59,Antigua and Barbuda,Latin America,1,1,4,0,4.0,2
60,Guadeloupe,Latin America,1,1,0,0,0.0,1
61,Laos,Asiatic Region,1,1,16,0,16.0,3
62,Lebanon,Middle East,1,1,9,0,9.0,37
63,Luxembourg,Western Europe,1,1,1,0,1.0,31
64,Latvia,Eastern Europe,1,1,6,0,6.0,13
65,Morocco,Africa,1,0,0,0,0.0,6
66,Egypt,Africa/Middle East,1,0,30,0,30.0,32
67,Malaysia,Asiatic Region,1,1,0,0,0.0,34
68,Philippines,Asiatic Region,1,1,26,0,26.0,23
69,Chile,Latin America,1,1,2,0,2.0,49
70,Puerto Rico,Latin America,1,1,15,0,15.0,30
71,Sudan,Africa,1,1,33,0,33.0,10
72,Bahamas,Latin America,1,1,24,0,24.0,3
73,Trinidad and Tobago,Latin America,1,1,14,0,14.0,7
74,Uganda,Africa,1,1,1,0,1.0,22
75,Jamaica,Latin America,1,1,28,0,28.0,14
