Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5932,5674,302197,167462,50.94,592
2,United Kingdom,Western Europe,1452,1330,67669,18063,46.6,347
3,Canada,Northern America,827,797,38384,6693,46.41,287
4,Germany,Western Europe,679,657,44284,10696,65.22,246
5,Australia,Pacific Region,578,545,23111,5037,39.98,226
6,France,Western Europe,564,543,12399,2484,21.98,156
7,Netherlands,Western Europe,512,496,29914,5398,58.43,252
8,Italy,Western Europe,290,278,10928,2721,37.68,153
9,Spain,Western Europe,277,267,8357,2620,30.17,136
10,Belgium,Western Europe,212,206,12423,1911,58.6,158
11,Israel,Middle East,209,202,9720,1507,46.51,160
12,China,Asiatic Region,187,186,5578,1334,29.83,123
13,Sweden,Western Europe,170,167,8712,1459,51.25,146
14,Japan,Asiatic Region,168,166,3764,666,22.4,101
15,Switzerland,Western Europe,156,150,7715,953,49.46,136
16,Norway,Western Europe,154,148,7367,1177,47.84,129
17,Taiwan,Asiatic Region,137,136,5241,1099,38.26,102
18,New Zealand,Pacific Region,123,120,5076,625,41.27,134
19,Finland,Western Europe,121,117,6021,914,49.76,135
20,Hong Kong,Asiatic Region,114,111,4807,736,42.17,138
21,Turkey,Middle East,82,76,1554,337,18.95,73
22,Russian Federation,Eastern Europe,74,74,861,72,11.64,51
23,Austria,Western Europe,70,66,2089,291,29.84,93
24,South Korea,Asiatic Region,67,65,2632,276,39.28,103
25,Ireland,Western Europe,61,58,2253,214,36.93,87
26,Denmark,Western Europe,60,56,2886,490,48.1,107
27,Greece,Western Europe,55,54,1603,291,29.15,82
28,Singapore,Asiatic Region,44,42,2312,141,52.55,90
29,South Africa,Africa,43,41,700,211,16.28,74
30,Brazil,Latin America,39,38,1150,219,29.49,72
31,Portugal,Western Europe,37,37,1995,276,53.92,78
32,Mexico,Latin America,30,29,521,153,17.37,55
33,India,Asiatic Region,28,25,920,102,32.86,62
34,Croatia,Eastern Europe,24,24,105,25,4.38,33
35,Poland,Eastern Europe,23,23,454,80,19.74,62
36,Iran,Middle East,20,20,505,116,25.25,49
37,Malaysia,Asiatic Region,20,20,426,53,21.3,40
38,Hungary,Eastern Europe,18,18,487,98,27.06,63
39,Argentina,Latin America,17,16,315,34,18.53,42
40,Cyprus,Western Europe,17,17,693,83,40.76,58
41,Iceland,Western Europe,14,13,1060,88,75.71,52
42,Romania,Eastern Europe,13,13,61,34,4.69,47
43,Chile,Latin America,13,13,503,101,38.69,54
44,Nigeria,Africa,10,9,38,17,3.8,25
45,Estonia,Eastern Europe,10,9,235,42,23.5,38
46,Slovenia,Eastern Europe,10,10,202,34,20.2,36
47,Lebanon,Middle East,9,8,414,28,46.0,35
48,Egypt,Africa/Middle East,9,9,261,8,29.0,24
49,Colombia,Latin America,8,8,626,37,78.25,46
50,Thailand,Asiatic Region,8,8,210,39,26.25,34
51,Philippines,Asiatic Region,8,7,302,7,37.75,32
52,United Arab Emirates,Middle East,6,6,41,0,6.83,35
53,Lithuania,Eastern Europe,6,6,124,9,20.67,28
54,Venezuela,Latin America,6,6,44,2,7.33,19
55,Saudi Arabia,Middle East,6,5,80,10,13.33,49
56,Serbia,Eastern Europe,6,6,42,3,7.0,27
57,Indonesia,Asiatic Region,5,5,76,12,15.2,28
58,Uganda,Africa,4,4,159,37,39.75,24
59,Bulgaria,Eastern Europe,4,3,14,4,3.5,19
60,Bosnia and Herzegovina,Eastern Europe,4,4,14,1,3.5,13
61,Kenya,Africa,4,4,59,7,14.75,34
62,Luxembourg,Western Europe,4,4,100,21,25.0,34
63,Georgia,Eastern Europe,4,3,93,0,23.25,21
64,Macao,Asiatic Region,4,4,58,9,14.5,30
65,Malta,Western Europe,4,4,22,6,5.5,17
66,Pakistan,Asiatic Region,4,4,306,17,76.5,32
67,Jamaica,Latin America,3,3,134,27,44.67,20
68,Puerto Rico,Latin America,3,3,73,2,24.33,35
69,Kuwait,Middle East,3,3,58,6,19.33,20
70,Cameroon,Africa,3,3,97,0,32.33,14
71,Fiji,Pacific Region,3,3,154,4,51.33,18
72,Viet Nam,Asiatic Region,2,2,56,12,28.0,19
73,Cuba,Latin America,2,2,46,1,23.0,19
74,Ukraine,Eastern Europe,2,2,9,1,4.5,12
75,Tanzania,Africa,2,2,36,1,18.0,15
76,Costa Rica,Latin America,2,2,63,2,31.5,25
77,Trinidad and Tobago,Latin America,2,2,87,7,43.5,10
78,Tunisia,Africa,2,2,48,3,24.0,17
79,Botswana,Africa,2,2,16,0,8.0,12
80,Slovakia,Eastern Europe,2,2,40,2,20.0,22
81,Morocco,Africa,2,2,80,0,40.0,8
82,Macedonia,Eastern Europe,2,2,5,0,2.5,12
83,Czech Republic,Eastern Europe,2,2,75,36,37.5,44
84,Central African Republic,Africa,2,2,49,0,24.5,1
85,Kyrgyzstan,Asiatic Region,2,2,192,1,96.0,6
86,Peru,Latin America,2,2,61,0,30.5,25
87,Zimbabwe,Africa,1,1,5,0,5.0,14
88,Algeria,Africa,1,1,4,0,4.0,9
89,Dominica,Latin America,1,1,7,0,7.0,8
90,Jordan,Middle East,1,1,7,1,7.0,33
91,Liberia,Africa,1,1,4,0,4.0,4
92,Latvia,Eastern Europe,1,1,2,0,2.0,12
93,Congo,Africa,1,1,4,0,4.0,7
94,Nepal,Asiatic Region,1,1,34,1,34.0,13
95,Oman,Middle East,1,1,9,1,9.0,21
