Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,76895,73906,3130470,1414024,40.71,502
2,United Kingdom,Western Europe,29183,27806,1145895,299766,39.27,335
3,Germany,Western Europe,16882,16367,597208,154415,35.38,249
4,Canada,Northern America,15593,15101,554842,99614,35.58,254
5,Australia,Pacific Region,10403,10074,297878,58251,28.63,181
6,Netherlands,Western Europe,10383,9969,410922,70337,39.58,227
7,Italy,Western Europe,8533,8209,220159,54794,25.8,160
8,France,Western Europe,7938,7676,263070,52747,33.14,181
9,Spain,Western Europe,6170,6007,136734,34336,22.16,138
10,Japan,Asiatic Region,5089,4992,96834,18933,19.03,110
11,China,Asiatic Region,4811,4756,67418,23791,14.01,91
12,Belgium,Western Europe,4538,4372,163513,25466,36.03,157
13,Switzerland,Western Europe,3585,3464,115786,16169,32.3,131
14,Israel,Middle East,3477,3377,112446,17586,32.34,139
15,Sweden,Western Europe,2483,2389,81373,11596,32.77,120
16,Brazil,Latin America,1997,1963,39380,9330,19.72,78
17,New Zealand,Pacific Region,1988,1919,54137,6721,27.23,97
18,Austria,Western Europe,1603,1533,50625,5993,31.58,100
19,Norway,Western Europe,1550,1479,37798,5119,24.39,84
20,Hong Kong,Asiatic Region,1488,1451,34124,5256,22.93,82
21,Denmark,Western Europe,1452,1383,45234,6041,31.15,99
22,Finland,Western Europe,1420,1375,42124,5709,29.66,99
23,Taiwan,Asiatic Region,1315,1290,19773,2996,15.04,59
24,Portugal,Western Europe,1205,1182,22896,4446,19.0,63
25,Poland,Eastern Europe,1202,1150,22036,3259,18.33,60
26,South Korea,Asiatic Region,1099,1092,19515,1983,17.76,61
27,Turkey,Middle East,994,978,16411,2952,16.51,55
28,Mexico,Latin America,928,906,11508,2422,12.4,51
29,Ireland,Western Europe,882,855,22052,2786,25.0,74
30,India,Asiatic Region,857,834,11701,2760,13.65,50
31,Hungary,Eastern Europe,835,806,22004,3021,26.35,66
32,Singapore,Asiatic Region,832,807,18655,1749,22.42,58
33,Iran,Middle East,820,815,9088,2771,11.08,41
34,South Africa,Africa,802,773,11696,1939,14.58,48
35,Greece,Western Europe,797,784,12992,1832,16.3,50
36,Russian Federation,Eastern Europe,775,763,9935,1955,12.82,46
37,Argentina,Latin America,638,631,12131,2716,19.01,53
38,Chile,Latin America,480,464,7122,1281,14.84,43
39,Romania,Eastern Europe,478,468,4931,826,10.32,35
40,Czech Republic,Eastern Europe,380,369,7456,849,19.62,40
41,Colombia,Latin America,319,308,4168,864,13.07,33
42,Estonia,Eastern Europe,283,270,4580,594,16.18,30
43,Ukraine,Eastern Europe,270,270,656,191,2.43,10
44,Malaysia,Asiatic Region,240,238,4976,538,20.73,33
45,Serbia,Eastern Europe,237,222,2642,273,11.15,27
46,Cyprus,Western Europe,225,219,3877,744,17.23,34
47,United Arab Emirates,Middle East,194,190,3209,407,16.54,31
48,Iceland,Western Europe,194,188,4252,714,21.92,34
49,Saudi Arabia,Middle East,187,182,2895,272,15.48,25
50,Croatia,Eastern Europe,160,155,1597,168,9.98,23
51,Luxembourg,Western Europe,144,139,2132,364,14.81,27
52,Indonesia,Asiatic Region,131,128,929,182,7.09,17
53,Slovenia,Eastern Europe,123,121,2138,229,17.38,27
54,Bulgaria,Eastern Europe,109,107,3030,157,27.8,22
55,Slovakia,Eastern Europe,106,106,1972,238,18.6,24
56,Nigeria,Africa,101,98,945,280,9.36,19
57,Thailand,Asiatic Region,99,98,1438,126,14.53,20
58,Lithuania,Eastern Europe,96,92,862,102,8.98,18
59,Macao,Asiatic Region,87,86,824,88,9.47,14
60,Pakistan,Asiatic Region,81,78,1046,131,12.91,18
61,Egypt,Africa/Middle East,80,80,1491,112,18.64,20
62,Jordan,Middle East,70,69,904,135,12.91,16
63,Tunisia,Africa,69,68,1045,193,15.14,16
64,Peru,Latin America,67,67,1851,108,27.63,15
65,Macedonia,Eastern Europe,66,66,457,29,6.92,9
66,Lebanon,Middle East,63,62,2613,115,41.48,22
67,Qatar,Middle East,59,58,842,98,14.27,15
68,Uruguay,Latin America,55,55,907,140,16.49,17
69,Philippines,Asiatic Region,48,46,717,64,14.94,13
70,Venezuela,Latin America,47,47,1061,56,22.57,15
71,Viet Nam,Asiatic Region,45,45,345,178,7.67,8
72,Cuba,Latin America,45,45,1441,131,32.02,21
73,Georgia,Eastern Europe,45,44,761,33,16.91,12
74,Kenya,Africa,42,42,570,62,13.57,10
75,Malta,Western Europe,42,42,681,69,16.21,16
76,Morocco,Africa,40,36,616,35,15.4,15
77,Ecuador,Latin America,38,37,422,43,11.11,9
