Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3621,3417,31521,14653,8.71,502
2,United Kingdom,Western Europe,1501,1437,16338,4359,10.88,335
3,Germany,Western Europe,1120,1091,9026,3091,8.06,249
4,Canada,Northern America,712,688,7707,1349,10.82,254
5,Netherlands,Western Europe,650,626,8255,1364,12.7,227
6,Australia,Pacific Region,612,596,7698,1364,12.58,181
7,China,Asiatic Region,535,529,6017,1781,11.25,91
8,Italy,Western Europe,532,515,4484,1417,8.43,160
9,Spain,Western Europe,430,410,3276,933,7.62,138
10,France,Western Europe,387,371,3343,774,8.64,181
11,Belgium,Western Europe,259,249,2584,510,9.98,157
12,Japan,Asiatic Region,240,228,1140,273,4.75,110
13,Switzerland,Western Europe,223,219,2356,428,10.57,131
14,Israel,Middle East,210,206,1324,310,6.3,139
15,Sweden,Western Europe,151,146,1429,202,9.46,120
16,Brazil,Latin America,142,142,3192,361,22.48,78
17,Norway,Western Europe,124,122,1095,174,8.83,84
18,Austria,Western Europe,121,116,1459,207,12.06,100
19,Poland,Eastern Europe,119,118,3180,239,26.72,60
20,Hong Kong,Asiatic Region,115,109,799,179,6.95,82
21,Portugal,Western Europe,111,110,586,168,5.28,63
22,Iran,Middle East,107,107,601,239,5.62,41
23,Denmark,Western Europe,106,98,1149,171,10.84,99
24,New Zealand,Pacific Region,95,92,868,153,9.14,97
25,South Africa,Africa,92,89,550,164,5.98,48
26,India,Asiatic Region,88,85,672,187,7.64,50
27,Russian Federation,Eastern Europe,84,80,641,172,7.63,46
28,Chile,Latin America,83,80,516,83,6.22,43
29,Turkey,Middle East,78,76,392,67,5.03,55
30,Mexico,Latin America,78,75,418,55,5.36,51
31,Finland,Western Europe,75,72,556,79,7.41,99
32,Ukraine,Eastern Europe,74,74,93,61,1.26,10
33,Ireland,Western Europe,73,70,530,63,7.26,74
34,South Korea,Asiatic Region,73,73,387,53,5.3,61
35,Singapore,Asiatic Region,68,68,537,88,7.9,58
36,Taiwan,Asiatic Region,57,51,347,72,6.09,59
37,Hungary,Eastern Europe,56,49,422,72,7.54,66
38,Argentina,Latin America,55,55,271,68,4.93,53
39,Greece,Western Europe,29,28,208,50,7.17,50
40,Colombia,Latin America,26,24,179,86,6.88,33
41,Romania,Eastern Europe,26,26,106,14,4.08,35
42,Estonia,Eastern Europe,26,23,119,25,4.58,30
43,Czech Republic,Eastern Europe,24,23,205,23,8.54,40
44,Serbia,Eastern Europe,22,20,200,18,9.09,27
45,Luxembourg,Western Europe,21,21,121,18,5.76,27
46,Iceland,Western Europe,20,20,158,44,7.9,34
47,Cyprus,Western Europe,20,18,102,24,5.1,34
48,Saudi Arabia,Middle East,20,20,210,54,10.5,25
49,Malaysia,Asiatic Region,17,15,173,46,10.18,33
50,United Arab Emirates,Middle East,16,15,242,15,15.13,31
51,Macao,Asiatic Region,12,12,54,8,4.5,14
52,Lithuania,Eastern Europe,12,11,48,11,4.0,18
53,Slovenia,Eastern Europe,11,10,111,10,10.09,27
54,Pakistan,Asiatic Region,11,10,259,66,23.55,18
55,Nigeria,Africa,9,9,81,61,9.0,19
56,Egypt,Africa/Middle East,9,9,87,10,9.67,20
57,Malta,Western Europe,8,8,55,12,6.88,16
58,Philippines,Asiatic Region,8,8,119,14,14.88,13
59,Croatia,Eastern Europe,8,8,97,4,12.13,23
60,Thailand,Asiatic Region,7,7,70,11,10.0,20
61,Viet Nam,Asiatic Region,7,7,61,25,8.71,8
62,Kazakhstan,Asiatic Region,7,7,11,0,1.57,4
63,Indonesia,Asiatic Region,7,7,40,19,5.71,17
64,Ghana,Africa,7,6,58,13,8.29,8
65,Jordan,Middle East,7,7,27,10,3.86,16
66,Slovakia,Eastern Europe,6,6,83,15,13.83,24
67,Peru,Latin America,6,6,49,1,8.17,15
68,Ecuador,Latin America,6,6,193,11,32.17,9
69,Lebanon,Middle East,5,5,23,4,4.6,22
70,Qatar,Middle East,5,5,29,3,5.8,15
71,Bulgaria,Eastern Europe,5,5,76,4,15.2,22
72,Uruguay,Latin America,5,5,27,5,5.4,17
73,Bosnia and Herzegovina,Eastern Europe,5,5,36,3,7.2,11
74,Georgia,Eastern Europe,4,4,26,0,6.5,12
75,Tunisia,Africa,4,4,49,15,12.25,16
76,Kuwait,Middle East,4,4,23,0,5.75,13
77,Cuba,Latin America,4,4,18,1,4.5,21
78,Morocco,Africa,3,3,16,1,5.33,15
79,Palestine,Middle East,3,3,21,2,7.0,5
80,Sri Lanka,Asiatic Region,3,3,7,1,2.33,8
81,Ethiopia,Africa,3,3,30,5,10.0,9
82,Dominican Republic,Latin America,3,3,40,2,13.33,6
83,Macedonia,Eastern Europe,3,3,4,1,1.33,9
84,Panama,Latin America,2,2,157,3,78.5,9
85,Guatemala,Latin America,2,2,9,1,4.5,1
86,Iraq,Middle East,2,2,36,8,18.0,10
87,Tanzania,Africa,2,2,38,2,19.0,9
88,Bahamas,Latin America,1,1,0,0,0.0,3
89,Liechtenstein,Western Europe,1,1,4,2,4.0,3
90,Sudan,Africa,1,1,3,0,3.0,6
91,Kenya,Africa,1,1,2,1,2.0,10
92,Belarus,Eastern Europe,1,1,2,0,2.0,5
93,Benin,Africa,1,1,2,0,2.0,1
94,Trinidad and Tobago,Latin America,1,1,20,0,20.0,5
95,Bahrain,Middle East,1,1,1,0,1.0,7
96,Malawi,Africa,1,1,1,0,1.0,2
97,Venezuela,Latin America,1,1,0,0,0.0,15
98,Uganda,Africa,1,1,8,4,8.0,11
99,Bangladesh,Asiatic Region,1,1,1,1,1.0,8
100,Côte d’Ivoire,Africa,1,1,8,0,8.0,8
101,Fiji,Pacific Region,1,1,2,2,2.0,6
102,Nepal,Asiatic Region,1,1,1,0,1.0,5
103,Botswana,Africa,1,1,7,0,7.0,5
