Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1216,1151,80043,0,65.82,427
2,United Kingdom,Western Europe,339,321,27753,0,81.87,293
3,Canada,Northern America,200,190,9808,0,49.04,210
4,Germany,Western Europe,199,193,9235,0,46.41,220
5,France,Western Europe,158,153,8522,0,53.94,159
6,Italy,Western Europe,140,137,6664,0,47.6,143
7,Netherlands,Western Europe,102,94,9023,0,88.46,187
8,Japan,Asiatic Region,92,90,2398,0,26.07,89
9,Australia,Pacific Region,89,83,4130,0,46.4,156
10,Belgium,Western Europe,56,53,3389,0,60.52,116
11,Spain,Western Europe,42,42,1478,0,35.19,112
12,Finland,Western Europe,39,39,1588,0,40.72,79
13,Sweden,Western Europe,37,37,1603,0,43.32,103
14,Israel,Middle East,33,31,1081,0,32.76,107
15,Switzerland,Western Europe,27,27,2417,0,89.52,120
16,New Zealand,Pacific Region,25,25,1130,0,45.2,71
17,Norway,Western Europe,22,22,1469,0,66.77,74
18,Austria,Western Europe,14,13,473,0,33.79,86
19,Russian Federation,Eastern Europe,14,13,514,0,36.71,50
20,Brazil,Latin America,10,10,211,0,21.1,75
21,Mexico,Latin America,10,10,340,0,34.0,48
22,Hong Kong,Asiatic Region,9,9,525,0,58.33,52
23,Taiwan,Asiatic Region,9,9,441,0,49.0,51
24,South Korea,Asiatic Region,9,9,517,0,57.44,55
25,Turkey,Middle East,8,8,761,0,95.13,52
26,Hungary,Eastern Europe,8,8,956,0,119.5,57
27,Ireland,Western Europe,8,8,258,0,32.25,63
28,China,Asiatic Region,7,7,261,0,37.29,83
29,Denmark,Western Europe,6,6,875,0,145.83,71
30,Poland,Eastern Europe,5,5,103,0,20.6,52
31,Greece,Western Europe,5,5,139,0,27.8,46
32,South Africa,Africa,3,3,234,0,78.0,42
33,Chile,Latin America,3,3,97,0,32.33,41
34,India,Asiatic Region,3,3,172,0,57.33,45
35,Portugal,Western Europe,3,3,68,0,22.67,50
36,Cuba,Latin America,3,3,77,0,25.67,21
37,Singapore,Asiatic Region,2,2,22,0,11.0,45
38,Czech Republic,Eastern Europe,2,2,248,0,124.0,36
39,Iran,Middle East,2,2,4,0,2.0,33
40,Puerto Rico,Latin America,1,1,17,0,17.0,17
41,Romania,Eastern Europe,1,1,0,0,0.0,19
42,Serbia,Eastern Europe,1,1,7,0,7.0,14
43,Latvia,Eastern Europe,1,1,12,0,12.0,5
44,Laos,Asiatic Region,1,1,16,0,16.0,2
45,Argentina,Latin America,1,1,1,0,1.0,50
46,Thailand,Asiatic Region,1,1,55,0,55.0,20
47,Georgia,Eastern Europe,1,1,0,0,0.0,13
48,Gabon,Africa,1,1,54,0,54.0,1
49,Tanzania,Africa,1,1,21,0,21.0,7
50,Colombia,Latin America,1,1,23,0,23.0,30
51,Bulgaria,Eastern Europe,1,1,11,0,11.0,21
