Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1405,1212,81287,38440,57.86,427
2,United Kingdom,Western Europe,473,398,28826,6956,60.94,293
3,Germany,Western Europe,274,254,15638,3951,57.07,220
4,France,Western Europe,230,210,5688,1183,24.73,159
5,Canada,Northern America,228,206,9562,1743,41.94,210
6,Australia,Pacific Region,186,165,9584,1888,51.53,156
7,Italy,Western Europe,178,166,7118,1809,39.99,143
8,Netherlands,Western Europe,136,124,6832,1233,50.24,187
9,Spain,Western Europe,117,114,5595,1391,47.82,112
10,Japan,Asiatic Region,96,93,2933,568,30.55,89
11,Belgium,Western Europe,88,77,6070,792,68.98,116
12,Switzerland,Western Europe,87,80,5797,817,66.63,120
13,Mexico,Latin America,64,56,535,92,8.36,48
14,Israel,Middle East,57,48,3074,438,53.93,107
15,Poland,Eastern Europe,52,50,920,153,17.69,52
16,Hungary,Eastern Europe,50,50,2083,383,41.66,57
17,Brazil,Latin America,42,42,2116,370,50.38,75
18,China,Asiatic Region,40,36,1706,429,42.65,83
19,Sweden,Western Europe,31,28,1760,190,56.77,103
20,South Korea,Asiatic Region,28,26,1016,104,36.29,55
21,New Zealand,Pacific Region,26,23,825,111,31.73,71
22,Denmark,Western Europe,23,22,1752,232,76.17,71
23,Finland,Western Europe,23,22,1250,148,54.35,79
24,Austria,Western Europe,23,20,1478,146,64.26,86
25,Norway,Western Europe,18,18,1085,115,60.28,74
26,Turkey,Middle East,15,15,462,56,30.8,52
27,Taiwan,Asiatic Region,15,13,371,67,24.73,51
28,Russian Federation,Eastern Europe,15,13,283,65,18.87,50
29,Ireland,Western Europe,14,12,1710,55,122.14,63
30,Hong Kong,Asiatic Region,13,13,439,59,33.77,52
31,Portugal,Western Europe,10,10,294,91,29.4,50
32,Argentina,Latin America,10,10,386,105,38.6,50
33,Singapore,Asiatic Region,9,8,513,53,57.0,45
34,Cuba,Latin America,8,8,166,6,20.75,21
35,Greece,Western Europe,7,7,344,100,49.14,46
36,Bulgaria,Eastern Europe,7,6,72,15,10.29,21
37,Estonia,Eastern Europe,5,3,112,29,22.4,26
38,Chile,Latin America,5,5,200,55,40.0,41
39,India,Asiatic Region,4,4,199,34,49.75,45
40,Czech Republic,Eastern Europe,4,4,38,13,9.5,36
41,Iran,Middle East,3,3,170,39,56.67,33
42,Romania,Eastern Europe,3,3,17,1,5.67,19
43,Croatia,Eastern Europe,2,2,89,11,44.5,17
44,Colombia,Latin America,2,2,4,0,2.0,30
45,Georgia,Eastern Europe,2,2,16,0,8.0,13
46,Thailand,Asiatic Region,2,2,66,3,33.0,20
47,Puerto Rico,Latin America,2,2,607,9,303.5,17
48,Serbia,Eastern Europe,2,2,92,9,46.0,14
49,South Africa,Africa,1,0,4,2,4.0,42
50,Egypt,Africa/Middle East,1,1,14,8,14.0,15
51,Iraq,Middle East,1,1,47,1,47.0,6
52,Cyprus,Western Europe,1,1,21,0,21.0,19
53,Costa Rica,Latin America,1,1,4,0,4.0,4
54,Kuwait,Middle East,1,1,13,1,13.0,9
55,Luxembourg,Western Europe,1,1,28,5,28.0,18
56,Nigeria,Africa,1,1,1,0,1.0,10
57,Benin,Africa,1,1,0,0,0.0,2
58,Slovakia,Eastern Europe,1,1,8,6,8.0,19
59,Ethiopia,Africa,1,1,22,0,22.0,9
