Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5729,5349,55248,30030,9.64,535
2,United Kingdom,Western Europe,1458,1356,18841,5889,12.92,263
3,Canada,Northern America,841,793,8844,1861,10.52,248
4,Germany,Western Europe,753,698,8188,2375,10.87,225
5,Australia,Pacific Region,690,655,8021,1906,11.62,193
6,China,Asiatic Region,537,523,4390,1892,8.18,94
7,Netherlands,Western Europe,506,478,6827,1167,13.49,219
8,Spain,Western Europe,400,393,3122,1105,7.81,121
9,France,Western Europe,400,378,1888,367,4.72,107
10,Italy,Western Europe,394,358,3765,1358,9.56,133
11,Russian Federation,Eastern Europe,257,256,798,386,3.11,52
12,Switzerland,Western Europe,242,232,2841,500,11.74,127
13,Israel,Middle East,214,204,1657,447,7.74,146
14,South Africa,Africa,203,197,1362,510,6.71,86
15,Brazil,Latin America,197,190,630,222,3.2,66
16,Japan,Asiatic Region,197,190,1651,261,8.38,103
17,Sweden,Western Europe,189,185,1965,378,10.4,114
18,Belgium,Western Europe,188,177,2743,438,14.59,128
19,South Korea,Asiatic Region,178,176,1388,170,7.8,90
20,Portugal,Western Europe,167,154,1239,237,7.42,74
21,Hong Kong,Asiatic Region,157,151,1449,309,9.23,105
22,Poland,Eastern Europe,150,144,1076,312,7.17,74
23,Norway,Western Europe,140,130,1527,247,10.91,98
24,Finland,Western Europe,138,128,1606,315,11.64,96
25,Denmark,Western Europe,137,128,1257,234,9.18,79
26,Turkey,Middle East,128,126,926,234,7.23,72
27,Iran,Middle East,127,127,577,206,4.54,40
28,New Zealand,Pacific Region,125,117,3653,320,29.22,118
29,Austria,Western Europe,119,115,805,129,6.76,75
30,India,Asiatic Region,116,112,578,159,4.98,64
31,Ireland,Western Europe,103,96,1144,172,11.11,71
32,Singapore,Asiatic Region,87,81,914,110,10.51,81
33,Taiwan,Asiatic Region,84,80,580,89,6.9,87
34,Mexico,Latin America,80,79,477,65,5.96,49
35,Colombia,Latin America,73,70,262,63,3.59,33
36,Chile,Latin America,73,72,624,117,8.55,51
37,Malaysia,Asiatic Region,72,70,771,218,10.71,55
38,Romania,Eastern Europe,63,63,244,34,3.87,35
39,Greece,Western Europe,51,47,452,68,8.86,58
40,Cyprus,Western Europe,49,49,447,90,9.12,31
41,Indonesia,Asiatic Region,48,48,215,86,4.48,35
42,Peru,Latin America,45,45,117,31,2.6,36
43,Kenya,Africa,41,40,341,74,8.32,45
44,Croatia,Eastern Europe,38,38,180,27,4.74,41
45,Thailand,Asiatic Region,38,38,217,37,5.71,46
46,Uganda,Africa,34,34,304,103,8.94,55
47,Argentina,Latin America,34,33,180,28,5.29,40
48,United Arab Emirates,Middle East,33,31,300,31,9.09,33
49,Czech Republic,Eastern Europe,33,32,359,42,10.88,47
50,Bangladesh,Asiatic Region,29,29,155,49,5.34,26
51,Hungary,Eastern Europe,27,25,297,41,11.0,43
52,Pakistan,Asiatic Region,25,24,229,68,9.16,31
53,Slovenia,Eastern Europe,23,23,109,32,4.74,25
54,Ghana,Africa,21,21,174,51,8.29,27
55,Nigeria,Africa,21,21,176,43,8.38,36
56,Estonia,Eastern Europe,21,20,263,33,12.52,51
57,Serbia,Eastern Europe,19,18,111,21,5.84,28
58,Macao,Asiatic Region,19,18,190,14,10.0,29
59,Ethiopia,Africa,19,19,115,29,6.05,20
60,Viet Nam,Asiatic Region,18,17,139,54,7.72,28
61,Tanzania,Africa,18,17,125,38,6.94,40
62,Philippines,Asiatic Region,17,17,63,17,3.71,41
63,Malawi,Africa,16,16,108,18,6.75,27
64,Luxembourg,Western Europe,14,14,95,3,6.79,27
65,Saudi Arabia,Middle East,13,12,122,17,9.38,25
66,Ukraine,Eastern Europe,13,13,116,17,8.92,23
67,Zimbabwe,Africa,12,12,97,19,8.08,36
68,Qatar,Middle East,11,11,100,18,9.09,16
69,Lebanon,Middle East,11,11,97,11,8.82,36
70,Georgia,Eastern Europe,11,11,85,21,7.73,23
71,Egypt,Africa/Middle East,11,11,51,10,4.64,26
72,Lithuania,Eastern Europe,10,9,72,3,7.2,23
73,Puerto Rico,Latin America,10,10,58,6,5.8,32
74,Jordan,Middle East,10,10,76,13,7.6,19
75,Mozambique,Africa,9,9,54,11,6.0,13
76,Ecuador,Latin America,9,9,36,13,4.0,17
77,Zambia,Africa,8,8,64,12,8.0,24
78,Bosnia and Herzegovina,Eastern Europe,8,8,33,8,4.13,13
79,Bulgaria,Eastern Europe,8,7,47,5,5.88,23
80,Iceland,Western Europe,8,7,146,7,18.25,34
81,Latvia,Eastern Europe,7,7,47,2,6.71,14
82,Jamaica,Latin America,7,7,37,4,5.29,13
83,Kazakhstan,Asiatic Region,6,6,38,13,6.33,11
84,Uruguay,Latin America,6,6,5,1,0.83,11
85,Macedonia,Eastern Europe,6,6,5,0,0.83,9
86,Malta,Western Europe,6,6,81,28,13.5,21
87,Sri Lanka,Asiatic Region,6,5,19,6,3.17,13
88,Nepal,Asiatic Region,5,5,25,4,5.0,18
89,Tunisia,Africa,5,5,17,3,3.4,10
90,Botswana,Africa,5,5,31,3,6.2,27
91,Costa Rica,Latin America,4,4,39,0,9.75,24
92,Iraq,Middle East,4,4,15,0,3.75,10
93,Namibia,Africa,4,4,17,1,4.25,13
94,Guatemala,Latin America,4,4,15,4,3.75,11
95,Algeria,Africa,4,4,45,4,11.25,10
96,Trinidad and Tobago,Latin America,3,3,29,1,9.67,18
97,Togo,Africa,3,3,24,0,8.0,6
98,Oman,Middle East,3,3,16,8,5.33,12
99,Venezuela,Latin America,3,3,6,0,2.0,16
100,Haïti,Latin America,3,3,34,2,11.33,10
101,Kuwait,Middle East,3,3,11,0,3.67,24
102,Senegal,Africa,3,3,39,7,13.0,12
103,Belarus,Eastern Europe,3,3,4,0,1.33,8
104,Azerbaijan,Eastern Europe,3,3,31,1,10.33,4
105,Slovakia,Eastern Europe,3,3,6,5,2.0,31
106,Barbados,Latin America,3,3,27,2,9.0,7
107,Palestine,Middle East,2,2,11,0,5.5,13
108,Panama,Latin America,2,2,30,1,15.0,9
109,Albania,Eastern Europe,2,2,42,0,21.0,5
110,Cuba,Latin America,2,2,4,0,2.0,9
111,Mauritius,Africa,2,2,17,0,8.5,11
112,Cameroon,Africa,2,2,9,3,4.5,11
113,Paraguay,Latin America,2,2,2,0,1.0,5
114,Myanmar,Asiatic Region,2,2,10,3,5.0,6
115,Côte d’Ivoire,Africa,2,2,8,2,4.0,7
116,Rwanda,Africa,2,2,10,3,5.0,18
117,Bhutan,Asiatic Region,2,2,10,0,5.0,2
118,Bolivia,Latin America,2,1,9,6,4.5,10
119,Brunei Darussalam,Asiatic Region,2,2,15,9,7.5,7
120,Sierra Leone,Africa,2,2,55,1,27.5,3
121,Benin,Africa,2,2,0,0,0.0,9
122,Burkina Faso,Africa,2,2,6,0,3.0,16
123,Uzbekistan,Asiatic Region,2,2,3,0,1.5,7
124,Armenia,Eastern Europe,2,2,8,0,4.0,7
125,El Salvador,Latin America,1,1,4,1,4.0,7
126,Nicaragua,Latin America,1,1,17,4,17.0,6
127,Angola,Africa,1,1,4,2,4.0,4
128,Monaco,Western Europe,1,1,37,0,37.0,1
129,Bahrain,Middle East,1,1,5,0,5.0,10
