Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,19661,18730,1008491,533715,51.29,998
2,United Kingdom,Western Europe,5303,4886,245568,65406,46.31,547
3,Canada,Northern America,2872,2753,138107,24663,48.09,473
4,Germany,Western Europe,2714,2581,131833,33428,48.58,410
5,Australia,Pacific Region,2120,2020,91891,19201,43.34,356
6,France,Western Europe,2110,2026,41378,8436,19.61,261
7,Netherlands,Western Europe,1839,1782,110949,19104,60.33,422
8,Spain,Western Europe,1367,1330,40796,11924,29.84,247
9,Italy,Western Europe,1320,1262,43498,9846,32.95,263
10,Japan,Asiatic Region,797,783,21659,3471,27.18,186
11,Switzerland,Western Europe,748,713,33133,4187,44.3,247
12,Belgium,Western Europe,744,717,41418,5566,55.67,258
13,Brazil,Latin America,702,690,10939,3590,15.58,151
14,Turkey,Middle East,676,669,8994,1729,13.3,134
15,Israel,Middle East,655,631,28259,4317,43.14,263
16,Sweden,Western Europe,550,530,26470,3808,48.13,231
17,China,Asiatic Region,519,513,19012,5559,36.63,199
18,Norway,Western Europe,436,425,23039,2805,52.84,192
19,New Zealand,Pacific Region,424,411,17789,1801,41.96,217
20,Taiwan,Asiatic Region,396,392,16152,2622,40.79,165
21,Finland,Western Europe,363,350,16496,2351,45.44,192
22,Hong Kong,Asiatic Region,355,349,16689,2399,47.01,209
23,Austria,Western Europe,301,280,9838,1114,32.68,171
24,Poland,Eastern Europe,291,283,5158,841,17.73,127
25,South Africa,Africa,282,273,5586,1690,19.81,138
26,South Korea,Asiatic Region,278,271,12547,1228,45.13,170
27,Mexico,Latin America,262,249,3523,726,13.45,99
28,Denmark,Western Europe,260,249,11911,1552,45.81,181
29,Ireland,Western Europe,251,231,9756,997,38.87,140
30,Portugal,Western Europe,232,230,9560,1553,41.21,138
31,India,Asiatic Region,199,188,4947,1097,24.86,127
32,Singapore,Asiatic Region,185,179,10976,654,59.33,160
33,Greece,Western Europe,182,176,5386,848,29.59,124
34,Russian Federation,Eastern Europe,163,159,1535,268,9.42,92
