Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1360,1337,69219,37728,50.9,349
2,United Kingdom,Western Europe,234,228,8219,2550,35.12,180
3,Australia,Pacific Region,98,97,1480,457,15.1,116
4,Canada,Northern America,95,92,4128,671,43.45,152
5,Japan,Asiatic Region,80,80,1528,347,19.1,77
6,Croatia,Eastern Europe,77,77,532,189,6.91,49
7,France,Western Europe,76,76,2141,434,28.17,108
8,Germany,Western Europe,69,68,1989,332,28.83,120
9,Netherlands,Western Europe,48,47,4805,442,100.1,127
10,Spain,Western Europe,45,43,781,211,17.36,97
11,Italy,Western Europe,38,37,852,146,22.42,90
12,South Africa,Africa,34,32,781,206,22.97,87
13,India,Asiatic Region,32,29,792,257,24.75,60
14,Norway,Western Europe,26,26,486,73,18.69,67
15,Israel,Middle East,26,26,726,297,27.92,82
16,Brazil,Latin America,21,21,2220,175,105.71,72
17,Denmark,Western Europe,19,19,303,65,15.95,72
18,New Zealand,Pacific Region,17,15,357,54,21.0,66
19,Switzerland,Western Europe,17,17,315,25,18.53,75
20,Austria,Western Europe,15,15,384,43,25.6,60
21,Belgium,Western Europe,13,13,3851,207,296.23,70
22,Mexico,Latin America,13,12,301,32,23.15,58
23,Sweden,Western Europe,12,11,97,20,8.08,68
24,Russian Federation,Eastern Europe,11,10,93,41,8.45,45
25,China,Asiatic Region,11,11,342,71,31.09,73
26,Poland,Eastern Europe,10,10,108,20,10.8,42
27,Hong Kong,Asiatic Region,10,10,400,65,40.0,74
28,Finland,Western Europe,9,9,367,59,40.78,56
29,Argentina,Latin America,5,5,61,9,12.2,45
30,Slovenia,Eastern Europe,5,5,12,3,2.4,35
31,Ireland,Western Europe,5,5,337,13,67.4,39
32,Singapore,Asiatic Region,5,5,91,19,18.2,61
33,Zimbabwe,Africa,4,4,528,4,132.0,20
34,Hungary,Eastern Europe,4,4,26,8,6.5,38
35,Philippines,Asiatic Region,4,4,288,10,72.0,32
36,Portugal,Western Europe,4,3,18,4,4.5,55
37,Turkey,Middle East,3,3,123,36,41.0,54
38,Kenya,Africa,3,3,118,10,39.33,37
39,Chile,Latin America,3,2,39,16,13.0,43
40,Estonia,Eastern Europe,3,3,13,5,4.33,32
41,Czech Republic,Eastern Europe,3,3,141,4,47.0,40
42,Fiji,Pacific Region,2,2,21,7,10.5,12
43,Tanzania,Africa,2,2,73,17,36.5,23
44,Bolivia,Latin America,2,2,245,11,122.5,33
45,Venezuela,Latin America,2,2,48,0,24.0,22
46,Bulgaria,Eastern Europe,2,2,0,0,0.0,24
47,Nigeria,Africa,2,2,212,5,106.0,24
48,Namibia,Africa,2,0,8,0,4.0,10
49,Botswana,Africa,2,2,49,10,24.5,16
50,Zambia,Africa,2,2,21,8,10.5,7
51,Iceland,Western Europe,2,2,16,2,8.0,24
52,New Caledonia,Pacific Region,1,1,19,7,19.0,5
53,Nepal,Asiatic Region,1,1,7,0,7.0,19
54,Colombia,Latin America,1,1,7,1,7.0,34
55,Peru,Latin America,1,1,2,1,2.0,32
56,Cameroon,Africa,1,1,74,3,74.0,16
57,Puerto Rico,Latin America,1,1,10,1,10.0,20
58,Rwanda,Africa,1,1,9,0,9.0,13
59,Saudi Arabia,Middle East,1,1,1,1,1.0,23
60,Solomon Islands,Pacific Region,1,1,9,2,9.0,5
61,Côte d’Ivoire,Africa,1,1,7,2,7.0,8
62,Belarus,Eastern Europe,1,1,1,0,1.0,8
63,Senegal,Africa,1,1,45,3,45.0,13
64,Thailand,Asiatic Region,1,1,32,9,32.0,28
65,Taiwan,Asiatic Region,1,1,58,2,58.0,39
66,Vanuatu,Pacific Region,1,1,18,1,18.0,7
67,Guam,Pacific Region,1,0,22,0,22.0,6
68,Guatemala,Latin America,1,1,41,0,41.0,13
69,Indonesia,Asiatic Region,1,0,19,0,19.0,46
70,Brunei Darussalam,Asiatic Region,1,1,23,8,23.0,10
71,Greece,Western Europe,1,1,159,0,159.0,51
72,Greenland,Western Europe,1,1,1,1,1.0,9
73,Ghana,Africa,1,1,5,1,5.0,21
74,Georgia,Eastern Europe,1,1,0,0,0.0,26
75,Jamaica,Latin America,1,1,10,3,10.0,11
76,Cambodia,Asiatic Region,1,1,2,0,2.0,13
77,South Korea,Asiatic Region,1,1,13,0,13.0,59
78,Kazakhstan,Asiatic Region,1,1,7,1,7.0,11
79,Sri Lanka,Asiatic Region,1,1,8,3,8.0,13
80,Lithuania,Eastern Europe,1,1,0,0,0.0,17
81,Madagascar,Africa,1,1,35,6,35.0,21
82,Martinique,Latin America,1,1,2,0,2.0,2
83,Egypt,Africa/Middle East,1,1,5,0,5.0,24
84,Malaysia,Asiatic Region,1,1,6,0,6.0,34
