Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,974,877,22812,10497,23.42,199
2,United Kingdom,Western Europe,774,710,18031,6303,23.3,186
3,France,Western Europe,420,407,6149,1654,14.64,122
4,Germany,Western Europe,274,268,6313,1797,23.04,135
5,Spain,Western Europe,235,234,4831,2310,20.56,94
6,Italy,Western Europe,213,206,3445,1407,16.17,84
7,Australia,Pacific Region,176,161,4611,1726,26.2,104
8,Canada,Northern America,175,152,4288,986,24.5,112
9,Israel,Middle East,122,117,3008,1094,24.66,79
10,Romania,Eastern Europe,103,102,268,183,2.6,34
11,Belgium,Western Europe,102,100,2108,383,20.67,74
12,Turkey,Middle East,83,82,796,256,9.59,40
13,Sweden,Western Europe,79,76,1584,332,20.05,87
14,Netherlands,Western Europe,75,72,1692,308,22.56,90
15,South Africa,Africa,74,66,1909,919,25.8,88
16,Argentina,Latin America,71,65,1411,755,19.87,48
17,Greece,Western Europe,64,61,1575,305,24.61,58
18,Poland,Eastern Europe,62,59,768,198,12.39,48
19,China,Asiatic Region,60,59,3448,2088,57.47,94
20,Czech Republic,Eastern Europe,59,55,546,243,9.25,39
21,Switzerland,Western Europe,58,57,2623,397,45.22,88
22,Russian Federation,Eastern Europe,55,54,1994,631,36.25,70
23,Norway,Western Europe,49,48,1880,409,38.37,92
24,Hungary,Eastern Europe,46,46,393,127,8.54,33
25,Austria,Western Europe,44,41,1080,128,24.55,50
26,Chile,Latin America,42,38,675,457,16.07,43
27,Denmark,Western Europe,41,40,1468,217,35.8,82
28,New Zealand,Pacific Region,40,40,1516,320,37.9,65
29,Ireland,Western Europe,38,38,540,85,14.21,46
30,Brazil,Latin America,37,35,379,167,10.24,43
31,Japan,Asiatic Region,31,31,460,83,14.84,57
32,Finland,Western Europe,25,24,497,144,19.88,47
33,Portugal,Western Europe,24,20,400,69,16.67,47
34,Croatia,Eastern Europe,23,23,177,77,7.7,19
35,Slovenia,Eastern Europe,22,22,295,61,13.41,23
36,Egypt,Africa/Middle East,21,20,367,63,17.48,23
37,Jordan,Middle East,19,19,225,43,11.84,22
38,Bulgaria,Eastern Europe,19,19,439,11,23.11,23
39,Mexico,Latin America,15,15,322,82,21.47,41
40,India,Asiatic Region,15,14,309,136,20.6,44
41,Peru,Latin America,14,14,259,34,18.5,26
42,Serbia,Eastern Europe,13,13,487,163,37.46,25
43,Iran,Middle East,13,13,161,68,12.38,22
44,Estonia,Eastern Europe,11,11,203,38,18.45,26
45,South Korea,Asiatic Region,10,10,172,75,17.2,28
46,Saudi Arabia,Middle East,9,9,259,56,28.78,20
47,Philippines,Asiatic Region,8,8,384,41,48.0,21
48,Indonesia,Asiatic Region,8,7,123,21,15.38,23
49,Qatar,Middle East,7,7,153,19,21.86,22
50,Ukraine,Eastern Europe,7,7,70,24,10.0,19
51,Slovakia,Eastern Europe,6,6,70,13,11.67,17
52,Oman,Middle East,6,6,20,4,3.33,9
53,Georgia,Eastern Europe,5,5,205,41,41.0,20
54,Thailand,Asiatic Region,5,5,103,11,20.6,18
55,Taiwan,Asiatic Region,5,4,39,20,7.8,29
56,United Arab Emirates,Middle East,5,5,42,11,8.4,15
57,Uruguay,Latin America,5,5,150,23,30.0,12
58,Morocco,Africa,5,5,241,25,48.2,21
59,Tanzania,Africa,4,4,54,16,13.5,21
60,Hong Kong,Asiatic Region,4,4,202,1,50.5,25
61,Viet Nam,Asiatic Region,4,4,53,17,13.25,19
62,Lebanon,Middle East,4,4,12,3,3.0,15
63,Cyprus,Western Europe,4,4,50,20,12.5,26
64,Colombia,Latin America,4,4,151,45,37.75,22
65,Syrian Arab Republic,Middle East,4,4,7,1,1.75,12
66,Ethiopia,Africa,4,4,75,14,18.75,19
67,Armenia,Eastern Europe,4,4,169,36,42.25,16
68,Papua New Guinea,Pacific Region,3,3,84,13,28.0,10
69,Bermuda,Latin America,3,3,7,0,2.33,3
70,Bolivia,Latin America,3,3,49,4,16.33,13
71,Ecuador,Latin America,3,2,36,5,12.0,13
72,Ghana,Africa,3,2,15,5,5.0,9
