Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2681,2560,67796,35651,25.29,334
2,United Kingdom,Western Europe,652,599,13565,3443,20.81,183
3,Australia,Pacific Region,364,342,6272,1471,17.23,121
4,Spain,Western Europe,255,252,3963,1565,15.54,98
5,France,Western Europe,209,184,2642,482,12.64,77
6,Canada,Northern America,205,198,5296,759,25.83,119
7,Netherlands,Western Europe,185,175,6263,1060,33.85,140
8,China,Asiatic Region,173,170,1415,364,8.18,82
9,Germany,Western Europe,168,162,4733,950,28.17,125
10,Brazil,Latin America,139,131,838,531,6.03,40
11,Italy,Western Europe,87,78,1220,265,14.02,80
12,Belgium,Western Europe,84,82,2099,196,24.99,85
13,Taiwan,Asiatic Region,83,80,1498,214,18.05,88
14,Sweden,Western Europe,76,72,2262,310,29.76,87
15,South Korea,Asiatic Region,70,69,1933,212,27.61,95
16,Japan,Asiatic Region,70,70,1036,162,14.8,69
17,Hong Kong,Asiatic Region,68,67,1123,207,16.51,78
18,New Zealand,Pacific Region,66,62,1224,153,18.55,67
19,South Africa,Africa,66,63,652,280,9.88,48
20,Finland,Western Europe,65,63,2748,304,42.28,72
21,Israel,Middle East,58,57,1981,217,34.16,80
22,Switzerland,Western Europe,55,55,1039,136,18.89,79
23,Denmark,Western Europe,50,49,1203,217,24.06,73
24,Norway,Western Europe,45,43,1042,160,23.16,68
25,Austria,Western Europe,40,39,1218,146,30.45,70
26,India,Asiatic Region,39,39,206,77,5.28,62
27,Singapore,Asiatic Region,35,35,1748,178,49.94,75
28,Turkey,Middle East,29,29,949,115,32.72,49
29,Ireland,Western Europe,24,23,291,38,12.13,43
30,Greece,Western Europe,23,20,371,69,16.13,46
31,Portugal,Western Europe,22,21,271,63,12.32,41
32,Poland,Eastern Europe,21,21,118,40,5.62,34
33,Argentina,Latin America,18,17,309,25,17.17,24
34,Malaysia,Asiatic Region,17,17,256,46,15.06,49
35,Slovenia,Eastern Europe,17,17,123,38,7.24,26
36,Hungary,Eastern Europe,17,16,113,26,6.65,29
37,Mexico,Latin America,14,14,525,41,37.5,35
38,Chile,Latin America,13,13,330,30,25.38,45
39,Estonia,Eastern Europe,13,13,190,56,14.62,27
40,Russian Federation,Eastern Europe,12,10,197,12,16.42,29
41,Iran,Middle East,9,9,98,34,10.89,36
42,Nigeria,Africa,9,9,26,4,2.89,21
43,Cyprus,Western Europe,8,8,171,10,21.38,24
44,Lithuania,Eastern Europe,8,8,56,18,7.0,17
45,United Arab Emirates,Middle East,7,7,74,4,10.57,36
46,Czech Republic,Eastern Europe,7,7,53,19,7.57,28
47,Egypt,Africa/Middle East,7,7,226,8,32.29,25
48,Macao,Asiatic Region,6,5,59,0,9.83,17
49,Fiji,Pacific Region,6,6,23,9,3.83,9
50,Croatia,Eastern Europe,5,4,81,24,16.2,20
51,Pakistan,Asiatic Region,5,5,125,2,25.0,29
52,Bangladesh,Asiatic Region,5,5,16,2,3.2,15
53,Kazakhstan,Asiatic Region,5,0,0,0,0.0,9
54,Venezuela,Latin America,5,4,32,2,6.4,8
55,Kuwait,Middle East,5,5,60,18,12.0,19
56,Morocco,Africa,4,4,15,7,3.75,19
57,Tunisia,Africa,4,4,19,0,4.75,17
58,Thailand,Asiatic Region,4,4,19,5,4.75,25
59,Colombia,Latin America,4,4,70,3,17.5,28
60,Uganda,Africa,3,3,187,6,62.33,12
61,Romania,Eastern Europe,3,3,177,4,59.0,26
62,Jordan,Middle East,3,2,45,5,15.0,20
63,Serbia,Eastern Europe,3,3,80,9,26.67,17
64,Lebanon,Middle East,3,3,5,0,1.67,19
65,Bulgaria,Eastern Europe,3,3,2,0,0.67,10
66,Kenya,Africa,3,3,16,2,5.33,18
67,Indonesia,Asiatic Region,2,2,166,2,83.0,21
68,Saudi Arabia,Middle East,2,2,34,0,17.0,27
69,Cook Islands,Pacific Region,2,2,2,0,1.0,1
70,Slovakia,Eastern Europe,2,2,21,17,10.5,14
71,Georgia,Eastern Europe,2,2,58,0,29.0,9
72,Costa Rica,Latin America,2,2,8,1,4.0,8
73,Uruguay,Latin America,2,2,10,0,5.0,6
74,Oman,Middle East,2,2,10,0,5.0,14
75,Papua New Guinea,Pacific Region,2,1,2,0,1.0,4
76,Luxembourg,Western Europe,2,2,9,0,4.5,20
77,Zimbabwe,Africa,2,2,12,4,6.0,9
78,Latvia,Eastern Europe,2,2,13,1,6.5,10
79,Sudan,Africa,1,1,32,0,32.0,6
80,Kyrgyzstan,Asiatic Region,1,0,0,0,0.0,4
81,Laos,Asiatic Region,1,1,5,0,5.0,3
82,Sri Lanka,Asiatic Region,1,1,50,3,50.0,9
83,Ghana,Africa,1,1,2,0,2.0,17
84,Libya,Africa,1,1,32,0,32.0,4
85,Mauritius,Africa,1,1,31,8,31.0,4
86,French Guiana,Latin America,1,1,14,0,14.0,1
87,Ethiopia,Africa,1,1,0,0,0.0,12
88,Algeria,Africa,1,1,2,0,2.0,17
89,Dominican Republic,Latin America,1,1,29,0,29.0,4
90,Philippines,Asiatic Region,1,1,5,2,5.0,19
91,Cuba,Latin America,1,1,10,0,10.0,9
92,Puerto Rico,Latin America,1,1,32,7,32.0,11
93,Palestine,Middle East,1,1,3,0,3.0,7
94,Qatar,Middle East,1,1,39,0,39.0,26
95,Iraq,Middle East,1,1,1,0,1.0,8
96,Cameroon,Africa,1,1,0,0,0.0,4
97,Botswana,Africa,1,1,3,0,3.0,7
98,El Salvador,Latin America,1,1,2,0,2.0,2
99,Tajikistan,Asiatic Region,1,0,0,0,0.0,1
100,Bahrain,Middle East,1,1,0,0,0.0,10
101,Trinidad and Tobago,Latin America,1,1,16,0,16.0,7
102,Burkina Faso,Africa,1,1,0,0,0.0,3
103,Uzbekistan,Asiatic Region,1,1,0,0,0.0,2
104,Viet Nam,Asiatic Region,1,1,6,2,6.0,21
105,Vanuatu,Pacific Region,1,1,0,0,0.0,1
106,Samoa,Pacific Region,1,1,3,1,3.0,2
107,Zambia,Africa,1,1,3,2,3.0,6
