Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1025,979,16910,9499,16.5,242
2,United Kingdom,Western Europe,361,316,4875,1719,13.5,160
3,Australia,Pacific Region,170,101,1004,230,5.91,112
4,Canada,Northern America,103,98,1099,229,10.67,118
5,France,Western Europe,81,80,147,36,1.81,61
6,Israel,Middle East,68,66,436,129,6.41,69
7,Germany,Western Europe,63,62,359,38,5.7,86
8,Spain,Western Europe,59,59,145,44,2.46,70
9,India,Asiatic Region,49,35,106,40,2.16,56
10,Italy,Western Europe,39,39,96,14,2.46,64
11,Netherlands,Western Europe,36,36,1010,86,28.06,108
12,South Africa,Africa,25,23,225,107,9.0,56
13,New Zealand,Pacific Region,21,19,280,39,13.33,62
14,Japan,Asiatic Region,18,17,181,33,10.06,54
15,Switzerland,Western Europe,14,13,147,11,10.5,55
16,Norway,Western Europe,14,14,150,26,10.71,59
17,Russian Federation,Eastern Europe,14,13,67,22,4.79,37
18,Hungary,Eastern Europe,13,13,5,2,0.38,31
19,Poland,Eastern Europe,13,13,57,28,4.38,39
20,Hong Kong,Asiatic Region,13,13,367,110,28.23,55
21,Brazil,Latin America,10,6,191,42,19.1,61
22,Denmark,Western Europe,10,10,358,20,35.8,61
23,Sweden,Western Europe,10,10,93,50,9.3,59
24,Turkey,Middle East,10,10,153,31,15.3,49
25,Belgium,Western Europe,9,9,49,9,5.44,61
26,China,Asiatic Region,9,9,14,6,1.56,58
27,Mexico,Latin America,9,8,27,4,3.0,43
28,Brunei Darussalam,Asiatic Region,9,8,55,9,6.11,11
29,Ireland,Western Europe,9,8,51,10,5.67,42
30,Singapore,Asiatic Region,8,5,77,11,9.63,55
31,Finland,Western Europe,6,5,82,14,13.67,53
32,Malaysia,Asiatic Region,6,6,63,11,10.5,39
33,South Korea,Asiatic Region,5,4,22,8,4.4,48
34,Nigeria,Africa,5,5,32,11,6.4,26
35,Argentina,Latin America,5,5,20,0,4.0,31
36,Greece,Western Europe,4,4,16,0,4.0,28
37,Romania,Eastern Europe,4,4,18,3,4.5,22
38,Philippines,Asiatic Region,4,4,16,3,4.0,24
39,Slovenia,Eastern Europe,3,3,7,0,2.33,20
40,Indonesia,Asiatic Region,3,3,47,2,15.67,32
41,Austria,Western Europe,2,2,10,0,5.0,39
42,Taiwan,Asiatic Region,2,2,54,19,27.0,34
43,Thailand,Asiatic Region,2,1,2,0,1.0,29
44,Slovakia,Eastern Europe,2,2,0,0,0.0,16
45,Saudi Arabia,Middle East,2,2,19,0,9.5,22
46,Bangladesh,Asiatic Region,2,2,2,0,1.0,22
47,Estonia,Eastern Europe,2,2,56,29,28.0,37
48,Lebanon,Middle East,2,2,7,1,3.5,23
49,Sri Lanka,Asiatic Region,2,2,1,0,0.5,13
50,Bulgaria,Eastern Europe,2,2,7,0,3.5,19
51,Zimbabwe,Africa,1,1,1,0,1.0,18
52,Botswana,Africa,1,1,33,7,33.0,17
53,Belarus,Eastern Europe,1,1,2,0,2.0,10
54,Central African Republic,Africa,1,1,0,0,0.0,1
55,Chile,Latin America,1,1,24,2,24.0,35
56,Colombia,Latin America,1,1,0,0,0.0,25
57,Costa Rica,Latin America,1,1,3,0,3.0,12
58,Cuba,Latin America,1,1,1,0,1.0,8
59,Czech Republic,Eastern Europe,1,1,1,0,1.0,26
60,Ethiopia,Africa,1,1,17,1,17.0,39
61,Croatia,Eastern Europe,1,1,0,0,0.0,19
62,Iran,Middle East,1,1,0,0,0.0,21
63,Iceland,Western Europe,1,1,3,0,3.0,17
64,Jamaica,Latin America,1,1,13,3,13.0,9
65,Morocco,Africa,1,1,5,0,5.0,16
66,Myanmar,Asiatic Region,1,0,0,0,0.0,7
67,Mozambique,Africa,1,1,73,7,73.0,9
68,Nicaragua,Latin America,1,1,119,0,119.0,3
69,Nepal,Asiatic Region,1,1,8,0,8.0,27
70,Peru,Latin America,1,1,0,0,0.0,20
71,Puerto Rico,Latin America,1,1,13,1,13.0,12
72,Palestine,Middle East,1,1,1,0,1.0,9
73,Portugal,Western Europe,1,1,0,0,0.0,35
74,Qatar,Middle East,1,1,2,0,2.0,15
75,Tanzania,Africa,1,1,2,0,2.0,21
76,Uzbekistan,Asiatic Region,1,1,0,0,0.0,10
