Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1195,1172,50243,17789,42.04,316
2,United Kingdom,Western Europe,675,669,30251,8064,44.82,260
3,Australia,Pacific Region,181,180,7770,1325,42.93,170
4,India,Asiatic Region,176,176,2186,679,12.42,94
5,Canada,Northern America,139,136,4972,670,35.77,154
6,South Africa,Africa,93,93,1955,663,21.02,97
7,Netherlands,Western Europe,91,90,4767,519,52.38,147
8,Germany,Western Europe,80,80,1363,214,17.04,134
9,France,Western Europe,64,64,1283,129,20.05,114
10,Japan,Asiatic Region,61,61,871,118,14.28,75
11,Pakistan,Asiatic Region,54,54,655,186,12.13,60
12,Norway,Western Europe,47,47,1592,188,33.87,105
13,Hong Kong,Asiatic Region,46,46,2088,390,45.39,120
14,Italy,Western Europe,42,37,572,106,13.62,116
15,Sweden,Western Europe,40,40,2434,268,60.85,107
16,New Zealand,Pacific Region,38,38,2143,173,56.39,101
17,Switzerland,Western Europe,37,37,1369,59,37.0,103
18,Denmark,Western Europe,35,35,1096,109,31.31,97
19,Singapore,Asiatic Region,35,35,880,131,25.14,75
20,Taiwan,Asiatic Region,29,29,514,99,17.72,103
21,Israel,Middle East,28,27,1334,178,47.64,82
22,Nigeria,Africa,27,27,246,54,9.11,44
23,Belgium,Western Europe,27,26,1205,77,44.63,98
24,Mexico,Latin America,24,24,894,88,37.25,75
25,Thailand,Asiatic Region,24,24,255,67,10.63,57
26,China,Asiatic Region,22,22,958,403,43.55,139
27,Austria,Western Europe,21,21,529,43,25.19,82
28,Ireland,Western Europe,21,21,574,39,27.33,56
29,Spain,Western Europe,20,20,685,212,34.25,136
30,Finland,Western Europe,20,20,448,44,22.4,75
31,Chile,Latin America,20,20,632,32,31.6,58
32,Bangladesh,Asiatic Region,20,20,252,63,12.6,49
33,Brazil,Latin America,19,19,255,77,13.42,73
34,Turkey,Middle East,19,19,1351,224,71.11,89
35,Malaysia,Asiatic Region,18,18,330,112,18.33,64
36,Indonesia,Asiatic Region,16,16,630,63,39.38,60
37,Kenya,Africa,15,15,196,17,13.07,75
38,Russian Federation,Eastern Europe,15,15,113,20,7.53,42
39,South Korea,Asiatic Region,13,13,640,62,49.23,101
40,Philippines,Asiatic Region,13,13,208,26,16.0,44
41,Greece,Western Europe,12,12,600,78,50.0,63
42,Nepal,Asiatic Region,9,9,102,12,11.33,41
43,Sri Lanka,Asiatic Region,9,9,33,4,3.67,40
44,Ethiopia,Africa,9,9,517,58,57.44,68
45,Peru,Latin America,9,9,342,24,38.0,41
46,Argentina,Latin America,9,8,339,73,37.67,41
47,Ghana,Africa,8,8,166,16,20.75,56
48,Botswana,Africa,7,7,157,22,22.43,32
