Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,747,710,17259,6019,23.1,198
2,United Kingdom,Western Europe,420,398,7556,1430,17.99,126
3,Taiwan,Asiatic Region,220,219,8834,2502,40.15,137
4,Australia,Pacific Region,205,189,2960,690,14.44,106
5,Canada,Northern America,193,183,5756,597,29.82,105
6,Spain,Western Europe,175,165,2939,760,16.79,90
7,Germany,Western Europe,147,144,1550,428,10.54,78
8,Japan,Asiatic Region,145,143,1399,439,9.65,44
9,Turkey,Middle East,106,105,2760,392,26.04,74
10,France,Western Europe,105,105,1435,241,13.67,51
11,Greece,Western Europe,100,99,2004,246,20.04,73
12,Netherlands,Western Europe,99,97,2402,396,24.26,95
13,Italy,Western Europe,99,94,783,187,7.91,62
14,China,Asiatic Region,70,68,1337,220,19.1,72
15,Malaysia,Asiatic Region,56,54,1023,204,18.27,59
16,Sweden,Western Europe,48,47,566,85,11.79,56
17,South Korea,Asiatic Region,47,46,1536,136,32.68,70
18,South Africa,Africa,46,44,608,142,13.22,46
19,Ireland,Western Europe,46,43,472,75,10.26,45
20,Hong Kong,Asiatic Region,45,43,1767,184,39.27,68
21,Denmark,Western Europe,44,43,282,63,6.41,43
22,Singapore,Asiatic Region,44,43,1905,190,43.3,69
23,Portugal,Western Europe,43,42,494,52,11.49,38
24,New Zealand,Pacific Region,43,42,1359,66,31.6,57
25,Belgium,Western Europe,40,39,865,74,21.63,65
26,Austria,Western Europe,37,37,479,64,12.95,38
27,Finland,Western Europe,36,36,410,56,11.39,55
28,Israel,Middle East,31,29,404,50,13.03,52
29,India,Asiatic Region,26,26,119,20,4.58,40
30,Thailand,Asiatic Region,25,25,248,23,9.92,33
31,Brazil,Latin America,24,24,226,32,9.42,35
32,Norway,Western Europe,20,18,296,61,14.8,53
33,Jordan,Middle East,19,19,278,31,14.63,30
34,Nigeria,Africa,18,18,77,10,4.28,26
35,Saudi Arabia,Middle East,16,16,107,28,6.69,39
36,Iran,Middle East,16,16,351,38,21.94,32
37,Cyprus,Western Europe,16,16,260,20,16.25,32
38,Czech Republic,Eastern Europe,15,15,152,36,10.13,19
39,Switzerland,Western Europe,15,15,285,18,19.0,44
40,Chile,Latin America,15,15,706,55,47.07,41
41,Mexico,Latin America,14,13,311,42,22.21,35
42,Romania,Eastern Europe,14,13,89,16,6.36,16
43,Slovenia,Eastern Europe,14,13,50,10,3.57,21
44,United Arab Emirates,Middle East,12,12,138,10,11.5,35
45,Serbia,Eastern Europe,11,9,497,40,45.18,33
46,Slovakia,Eastern Europe,11,10,86,54,7.82,16
47,Russian Federation,Eastern Europe,10,9,170,15,17.0,23
48,Ghana,Africa,8,8,113,21,14.13,21
49,Botswana,Africa,8,8,119,16,14.88,14
50,Egypt,Africa/Middle East,7,7,145,4,20.71,24
51,Colombia,Latin America,7,7,30,2,4.29,26
52,Estonia,Eastern Europe,7,7,65,10,9.29,25
53,Argentina,Latin America,7,7,168,5,24.0,22
54,Pakistan,Asiatic Region,7,7,39,13,5.57,31
55,Bangladesh,Asiatic Region,7,7,77,10,11.0,16
56,Oman,Middle East,6,6,62,21,10.33,26
57,Viet Nam,Asiatic Region,6,6,89,15,14.83,19
58,Latvia,Eastern Europe,6,5,33,8,5.5,8
59,Algeria,Africa,5,5,16,3,3.2,13
60,Hungary,Eastern Europe,5,5,18,5,3.6,14
61,Croatia,Eastern Europe,5,5,230,13,46.0,19
62,Kuwait,Middle East,5,5,107,3,21.4,18
63,Uganda,Africa,5,5,48,6,9.6,11
64,Bulgaria,Eastern Europe,5,4,1,1,0.2,12
65,Philippines,Asiatic Region,5,5,51,14,10.2,20
66,Tunisia,Africa,4,3,37,26,9.25,15
67,Sri Lanka,Asiatic Region,4,4,18,1,4.5,13
68,Tanzania,Africa,4,4,24,7,6.0,20
69,Lesotho,Africa,4,3,23,1,5.75,5
70,Kenya,Africa,3,3,530,5,176.67,18
71,Ethiopia,Africa,3,3,23,0,7.67,11
72,Lebanon,Middle East,3,3,55,10,18.33,14
73,Luxembourg,Western Europe,3,3,6,3,2.0,12
74,Poland,Eastern Europe,3,3,3,3,1.0,22
75,Qatar,Middle East,3,3,165,12,55.0,21
76,Lithuania,Eastern Europe,2,2,42,18,21.0,8
77,Ecuador,Latin America,2,2,2,0,1.0,18
78,Bhutan,Asiatic Region,2,2,4,1,2.0,4
79,Trinidad and Tobago,Latin America,2,2,29,0,14.5,7
80,Zimbabwe,Africa,2,2,0,0,0.0,6
81,Benin,Africa,2,2,1,0,0.5,5
82,Ukraine,Eastern Europe,2,1,4,2,2.0,11
83,Morocco,Africa,2,2,1,0,0.5,19
84,Palestine,Middle East,2,2,4,0,2.0,12
85,Iceland,Western Europe,2,2,11,2,5.5,9
86,Burkina Faso,Africa,2,2,22,0,11.0,5
87,Mozambique,Africa,2,2,14,0,7.0,5
88,Indonesia,Asiatic Region,2,2,37,1,18.5,30
89,Cameroon,Africa,1,1,5,2,5.0,5
90,Belarus,Eastern Europe,1,1,5,1,5.0,1
91,Brunei Darussalam,Asiatic Region,1,1,7,1,7.0,9
92,Burundi,Africa,1,1,6,0,6.0,1
93,Bahrain,Middle East,1,1,7,0,7.0,13
94,Uruguay,Latin America,1,1,17,4,17.0,11
95,Mali,Africa,1,1,2,0,2.0,2
96,Macao,Asiatic Region,1,1,26,3,26.0,25
97,Macedonia,Eastern Europe,1,1,0,0,0.0,7
98,Papua New Guinea,Pacific Region,1,1,13,1,13.0,1
99,Moldova,Eastern Europe,1,1,1,0,1.0,1
100,Armenia,Eastern Europe,1,1,0,0,0.0,2
101,Kazakhstan,Asiatic Region,1,1,98,4,98.0,15
102,Jamaica,Latin America,1,1,0,0,0.0,12
103,Fiji,Pacific Region,1,1,11,4,11.0,11
104,Cape Verde,Africa,1,1,9,0,9.0,1
105,Cuba,Latin America,1,1,0,0,0.0,6
106,Senegal,Africa,1,1,10,0,10.0,5
107,Syrian Arab Republic,Middle East,1,1,124,0,124.0,3
108,Swaziland,Africa,1,1,6,0,6.0,3
