Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,11451,10718,315392,170147,27.54,570
2,United Kingdom,Western Europe,3448,3212,95829,28785,27.79,320
3,Australia,Pacific Region,1428,1343,40443,10155,28.32,246
4,Canada,Northern America,1236,1162,41536,7430,33.61,289
5,Germany,Western Europe,810,763,20838,5457,25.73,208
6,Spain,Western Europe,549,516,10465,2880,19.06,159
7,Netherlands,Western Europe,527,486,24482,4541,46.46,237
8,China,Asiatic Region,482,475,5088,1789,10.56,140
9,Brazil,Latin America,441,424,3465,2006,7.86,82
10,France,Western Europe,439,424,5536,1072,12.61,132
11,Turkey,Middle East,338,329,6510,1646,19.26,111
12,New Zealand,Pacific Region,336,322,11932,1041,35.51,144
13,Israel,Middle East,317,309,11193,1857,35.31,150
14,Japan,Asiatic Region,312,295,3275,585,10.5,108
15,Hong Kong,Asiatic Region,282,268,9623,1709,34.12,163
16,Sweden,Western Europe,271,258,8869,1339,32.73,131
17,Taiwan,Asiatic Region,255,252,8684,1628,34.05,161
18,Italy,Western Europe,253,237,6187,982,24.45,131
19,Finland,Western Europe,244,240,9141,1246,37.46,138
20,Mexico,Latin America,238,236,1382,356,5.81,61
21,Norway,Western Europe,208,198,6551,929,31.5,122
22,South Africa,Africa,204,198,4754,1481,23.3,104
23,Greece,Western Europe,189,186,5380,651,28.47,107
24,Belgium,Western Europe,182,167,5622,650,30.89,137
25,Singapore,Asiatic Region,168,164,5772,475,34.36,124
26,Ireland,Western Europe,164,160,3757,487,22.91,107
27,Switzerland,Western Europe,157,143,4040,398,25.73,128
28,Malaysia,Asiatic Region,156,156,1964,412,12.59,90
29,Russian Federation,Eastern Europe,140,140,376,70,2.69,56
30,Portugal,Western Europe,123,116,2311,416,18.79,87
31,South Korea,Asiatic Region,121,119,2734,242,22.6,119
32,India,Asiatic Region,112,107,1970,530,17.59,96
33,Denmark,Western Europe,107,98,3005,343,28.08,99
34,Austria,Western Europe,74,71,1846,119,24.95,96
35,Chile,Latin America,64,60,1142,248,17.84,65
36,Cyprus,Western Europe,63,63,2025,193,32.14,82
37,Argentina,Latin America,60,59,1389,110,23.15,51
38,Poland,Eastern Europe,57,54,1162,180,20.39,67
39,Hungary,Eastern Europe,54,51,485,45,8.98,56
40,Croatia,Eastern Europe,53,49,142,23,2.68,52
41,Nigeria,Africa,52,52,578,121,11.12,42
42,Iran,Middle East,48,48,1126,269,23.46,71
43,Estonia,Eastern Europe,47,47,554,85,11.79,46
44,Colombia,Latin America,41,41,425,43,10.37,45
45,Bulgaria,Eastern Europe,41,39,75,32,1.83,25
46,United Arab Emirates,Middle East,40,36,1096,37,27.4,62
47,Czech Republic,Eastern Europe,37,37,308,41,8.32,54
48,Slovakia,Eastern Europe,35,31,787,89,22.49,41
49,Thailand,Asiatic Region,33,32,536,38,16.24,62
50,Slovenia,Eastern Europe,33,30,422,68,12.79,47
51,Venezuela,Latin America,33,33,148,19,4.48,32
52,Pakistan,Asiatic Region,29,28,830,60,28.62,52
53,Cuba,Latin America,28,28,124,22,4.43,19
54,Romania,Eastern Europe,27,25,508,55,18.81,48
55,Philippines,Asiatic Region,24,23,563,77,23.46,42
56,Indonesia,Asiatic Region,20,20,495,117,24.75,58
57,Kenya,Africa,18,17,491,257,27.28,44
58,Egypt,Africa/Middle East,17,16,175,9,10.29,49
59,Lithuania,Eastern Europe,17,16,509,29,29.94,34
60,Iceland,Western Europe,16,16,1056,48,66.0,41
61,Lebanon,Middle East,16,15,261,21,16.31,47
62,Ukraine,Eastern Europe,15,15,129,9,8.6,29
63,Serbia,Eastern Europe,15,14,124,24,8.27,45
64,Jordan,Middle East,14,14,194,23,13.86,46
65,Macedonia,Eastern Europe,13,11,30,5,2.31,16
66,Botswana,Africa,13,13,325,18,25.0,29
67,Viet Nam,Asiatic Region,12,12,410,80,34.17,46
68,Saudi Arabia,Middle East,12,12,105,8,8.75,71
69,Latvia,Eastern Europe,12,12,106,10,8.83,24
70,Ghana,Africa,11,11,104,20,9.45,36
71,Uganda,Africa,11,11,175,11,15.91,32
72,Puerto Rico,Latin America,11,11,105,12,9.55,24
73,Kuwait,Middle East,10,10,172,20,17.2,28
74,Uruguay,Latin America,10,8,80,10,8.0,24
75,Oman,Middle East,9,8,93,8,10.33,39
76,Malta,Western Europe,8,8,156,10,19.5,34
77,Bangladesh,Asiatic Region,8,7,44,16,5.5,38
78,Fiji,Pacific Region,8,8,278,23,34.75,25
79,Peru,Latin America,7,6,44,9,6.29,29
80,Tunisia,Africa,7,7,12,0,1.71,28
81,Trinidad and Tobago,Latin America,7,7,163,4,23.29,24
82,Zimbabwe,Africa,6,6,60,8,10.0,22
83,Brunei Darussalam,Asiatic Region,6,6,124,4,20.67,29
84,Ethiopia,Africa,6,6,53,11,8.83,30
85,Jamaica,Latin America,6,6,36,6,6.0,25
86,Sri Lanka,Asiatic Region,6,6,112,0,18.67,34
87,Tanzania,Africa,6,6,117,24,19.5,33
88,Qatar,Middle East,5,5,54,1,10.8,38
89,Costa Rica,Latin America,5,5,39,2,7.8,25
90,Morocco,Africa,5,5,9,0,1.8,27
91,Bolivia,Latin America,5,5,65,3,13.0,16
92,Malawi,Africa,5,4,57,7,11.4,24
93,Bahrain,Middle East,5,5,25,4,5.0,25
94,Nepal,Asiatic Region,5,5,310,27,62.0,26
95,Algeria,Africa,4,4,6,5,1.5,32
96,Mongolia,Asiatic Region,4,4,41,1,10.25,8
97,Kazakhstan,Asiatic Region,4,4,3,0,0.75,23
98,Sudan,Africa,3,3,54,5,18.0,16
99,Namibia,Africa,3,3,14,0,4.67,17
100,Cambodia,Asiatic Region,3,3,42,10,14.0,15
101,Guatemala,Latin America,3,3,20,7,6.67,13
102,Georgia,Eastern Europe,3,3,247,2,82.33,29
103,Barbados,Latin America,3,3,19,0,6.33,16
104,Bosnia and Herzegovina,Eastern Europe,3,3,9,0,3.0,21
105,Armenia,Eastern Europe,3,3,3,0,1.0,17
106,Cameroon,Africa,3,3,1,0,0.33,15
107,Belarus,Eastern Europe,2,2,0,0,0.0,12
108,Syrian Arab Republic,Middle East,2,2,63,4,31.5,15
109,Luxembourg,Western Europe,2,2,4,2,2.0,40
110,Mali,Africa,2,2,7,1,3.5,9
111,Zambia,Africa,2,2,40,6,20.0,17
112,Benin,Africa,2,2,5,0,2.5,9
113,Laos,Asiatic Region,2,2,16,2,8.0,8
114,Eritrea,Africa,2,2,8,0,4.0,7
115,Papua New Guinea,Pacific Region,2,2,44,0,22.0,12
116,Bahamas,Latin America,2,2,21,5,10.5,8
117,Mauritania,Africa,1,1,1,0,1.0,2
118,Macao,Asiatic Region,1,1,2,2,2.0,47
119,Mozambique,Africa,1,1,5,1,5.0,15
120,Niger,Africa,1,1,3,0,3.0,6
121,Nicaragua,Latin America,1,1,5,1,5.0,8
122,Monaco,Western Europe,1,1,0,0,0.0,2
123,Lesotho,Africa,1,1,49,0,49.0,12
124,Saint Lucia,Latin America,1,1,0,0,0.0,3
125,Palestine,Middle East,1,1,3,0,3.0,26
126,Paraguay,Latin America,1,1,1,1,1.0,10
127,Reunion,Africa,1,1,0,0,0.0,2
128,Grenada,Latin America,1,1,120,0,120.0,13
129,Côte d’Ivoire,Africa,1,1,0,0,0.0,8
130,Congo,Africa,1,1,161,13,161.0,9
131,Democratic Republic Congo,Africa,1,1,3,0,3.0,5
132,Senegal,Africa,1,1,20,0,20.0,12
133,El Salvador,Latin America,1,1,3,0,3.0,6
134,Tajikistan,Asiatic Region,1,1,0,0,0.0,6
135,Bhutan,Asiatic Region,1,1,14,0,14.0,10
136,Antigua and Barbuda,Latin America,1,1,7,0,7.0,2
137,Burkina Faso,Africa,1,1,1,0,1.0,10
138,Azerbaijan,Eastern Europe,1,1,10,0,10.0,10
139,Netherlands Antilles,Latin America,1,0,0,0,0.0,3
140,Samoa,Pacific Region,1,1,0,0,0.0,6
141,Mayotte,Africa,1,1,0,0,0.0,1
