Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2103,2083,53528,21018,25.45,386
2,United Kingdom,Western Europe,1506,1472,40981,13236,27.21,348
3,Australia,Pacific Region,473,447,7941,2296,16.79,210
4,Canada,Northern America,410,403,8480,2000,20.68,229
5,Germany,Western Europe,332,331,4003,834,12.06,221
6,France,Western Europe,324,324,2217,516,6.84,161
7,Netherlands,Western Europe,205,205,6284,896,30.65,225
8,India,Asiatic Region,191,185,1831,770,9.59,125
9,China,Asiatic Region,173,173,2031,1100,11.74,196
10,South Africa,Africa,148,147,2152,921,14.54,131
11,Sweden,Western Europe,130,130,3499,750,26.92,187
12,Japan,Asiatic Region,125,123,757,158,6.06,128
13,Hong Kong,Asiatic Region,100,99,2530,467,25.3,131
14,Italy,Western Europe,97,97,2055,249,21.19,169
15,Spain,Western Europe,97,97,1650,404,17.01,155
16,New Zealand,Pacific Region,84,84,1733,403,20.63,135
17,Switzerland,Western Europe,84,83,1645,219,19.58,161
18,Russian Federation,Eastern Europe,82,82,1481,255,18.06,66
19,Norway,Western Europe,80,80,1718,352,21.48,152
20,Belgium,Western Europe,70,67,1634,173,23.34,149
21,Israel,Middle East,68,68,2348,388,34.53,103
22,Poland,Eastern Europe,68,67,254,78,3.74,78
23,Finland,Western Europe,64,63,1970,297,30.78,121
24,Denmark,Western Europe,53,53,1985,166,37.45,135
25,Singapore,Asiatic Region,52,52,1249,240,24.02,104
26,Hungary,Eastern Europe,49,49,129,65,2.63,67
27,Czech Republic,Eastern Europe,46,46,237,123,5.15,72
28,Austria,Western Europe,43,43,1390,127,32.33,138
29,South Korea,Asiatic Region,40,39,420,68,10.5,104
30,Slovenia,Eastern Europe,38,38,134,78,3.53,53
31,Mexico,Latin America,38,37,928,158,24.42,85
32,Brazil,Latin America,37,37,392,104,10.59,103
33,Nigeria,Africa,30,29,263,123,8.77,60
34,Taiwan,Asiatic Region,30,30,390,126,13.0,94
35,Ireland,Western Europe,29,29,477,56,16.45,98
36,Turkey,Middle East,29,29,471,133,16.24,103
37,Venezuela,Latin America,29,29,124,67,4.28,31
38,Kenya,Africa,27,27,284,46,10.52,82
39,Croatia,Eastern Europe,26,26,59,29,2.27,35
