Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4784,4391,104328,61658,21.81,376
2,United Kingdom,Western Europe,1495,1394,31993,11076,21.4,241
3,Canada,Northern America,820,783,18896,4978,23.04,190
4,Australia,Pacific Region,781,713,17406,5294,22.29,172
5,France,Western Europe,493,462,3924,818,7.96,91
6,Brazil,Latin America,482,463,3633,2063,7.54,76
7,Germany,Western Europe,414,387,8329,1829,20.12,138
8,China,Asiatic Region,407,400,4235,1927,10.41,88
9,Netherlands,Western Europe,396,357,10821,1825,27.33,148
10,Spain,Western Europe,277,261,4264,1191,15.39,94
11,Italy,Western Europe,264,253,4812,1282,18.23,102
12,Sweden,Western Europe,254,245,4749,923,18.7,120
13,Taiwan,Asiatic Region,237,232,1438,234,6.07,59
14,Japan,Asiatic Region,234,210,4164,1296,17.79,95
15,Malaysia,Asiatic Region,191,190,1011,416,5.29,44
16,Switzerland,Western Europe,170,152,4720,564,27.76,116
17,Norway,Western Europe,163,161,3511,656,21.54,94
18,India,Asiatic Region,162,155,2160,744,13.33,82
19,Belgium,Western Europe,160,151,3852,475,24.08,86
20,South Africa,Africa,154,148,4038,1472,26.22,99
21,Denmark,Western Europe,148,140,2799,469,18.91,85
22,South Korea,Asiatic Region,141,140,2674,383,18.96,69
23,Russian Federation,Eastern Europe,133,132,1033,364,7.77,44
24,New Zealand,Pacific Region,133,121,2858,514,21.49,93
25,Romania,Eastern Europe,129,126,414,215,3.21,34
26,Thailand,Asiatic Region,109,107,748,211,6.86,55
27,Finland,Western Europe,105,102,2016,323,19.2,91
28,Hong Kong,Asiatic Region,95,94,2006,405,21.12,77
29,Israel,Middle East,92,86,1672,314,18.17,83
30,Ireland,Western Europe,84,82,1660,246,19.76,80
31,Iran,Middle East,83,77,1076,413,12.96,48
32,Portugal,Western Europe,73,71,1083,175,14.84,55
33,Austria,Western Europe,72,70,1374,151,19.08,65
34,Mexico,Latin America,60,60,1122,347,18.7,58
35,Jordan,Middle East,55,55,121,30,2.2,25
36,Colombia,Latin America,54,50,419,93,7.76,43
37,Turkey,Middle East,51,47,837,135,16.41,55
38,Poland,Eastern Europe,47,46,1145,167,24.36,56
39,Croatia,Eastern Europe,46,46,192,62,4.17,32
40,Pakistan,Asiatic Region,45,44,803,440,17.84,46
41,Kenya,Africa,41,39,945,212,23.05,63
42,Nigeria,Africa,40,38,478,124,11.95,48
43,Singapore,Asiatic Region,38,37,873,152,22.97,56
44,Greece,Western Europe,37,35,741,107,20.03,57
45,Uganda,Africa,30,27,809,196,26.97,57
46,Saudi Arabia,Middle East,30,29,269,75,8.97,35
47,Czech Republic,Eastern Europe,30,29,617,66,20.57,45
48,Hungary,Eastern Europe,29,29,464,43,16.0,43
49,Chile,Latin America,29,28,393,68,13.55,39
50,Argentina,Latin America,25,25,271,64,10.84,39
51,Slovakia,Eastern Europe,24,24,253,127,10.54,31
52,Egypt,Africa/Middle East,23,19,222,34,9.65,41
53,Tanzania,Africa,20,18,317,51,15.85,53
54,Viet Nam,Asiatic Region,19,19,461,104,24.26,44
55,Ethiopia,Africa,19,19,762,368,40.11,51
56,Ghana,Africa,18,18,414,102,23.0,43
57,Indonesia,Asiatic Region,18,16,413,107,22.94,40
58,Greenland,Western Europe,17,17,196,45,11.53,18
59,Bangladesh,Asiatic Region,16,15,271,83,16.94,47
60,Zimbabwe,Africa,15,15,413,63,27.53,41
61,Serbia,Eastern Europe,13,13,321,51,24.69,31
62,Nepal,Asiatic Region,13,12,389,115,29.92,39
63,Laos,Asiatic Region,12,12,308,64,25.67,18
64,Congo,Africa,12,9,143,19,11.92,24
65,Philippines,Asiatic Region,12,11,357,26,29.75,32
66,Algeria,Africa,11,11,28,13,2.55,13
67,Zambia,Africa,10,8,297,47,29.7,32
68,Puerto Rico,Latin America,10,10,128,23,12.8,39
69,Sudan,Africa,9,9,149,19,16.56,16
70,Lithuania,Eastern Europe,9,9,241,22,26.78,27
71,Estonia,Eastern Europe,9,9,299,19,33.22,31
72,Botswana,Africa,8,7,134,17,16.75,27
73,Peru,Latin America,8,8,105,15,13.13,27
74,Mozambique,Africa,8,6,221,22,27.63,24
75,Cameroon,Africa,8,8,111,16,13.88,29
76,Lebanon,Middle East,7,7,167,51,23.86,39
77,Slovenia,Eastern Europe,7,7,106,10,15.14,23
78,Tunisia,Africa,7,7,100,21,14.29,17
79,Palestine,Middle East,7,7,54,12,7.71,18
80,Trinidad and Tobago,Latin America,7,7,118,7,16.86,24
81,Ecuador,Latin America,5,4,169,29,33.8,24
82,Cyprus,Western Europe,5,5,165,34,33.0,27
83,United Arab Emirates,Middle East,5,5,138,0,27.6,29
84,Haïti,Latin America,5,3,48,1,9.6,16
85,Iceland,Western Europe,5,5,23,0,4.6,30
86,Kazakhstan,Asiatic Region,5,5,47,8,9.4,13
87,Morocco,Africa,5,5,162,23,32.4,19
88,Macao,Asiatic Region,5,4,75,12,15.0,22
89,Malta,Western Europe,5,5,30,7,6.0,17
90,Malawi,Africa,5,4,289,79,57.8,32
91,Ukraine,Eastern Europe,5,5,51,14,10.2,25
92,Georgia,Eastern Europe,4,4,69,2,17.25,37
93,Rwanda,Africa,4,4,48,13,12.0,21
94,Sri Lanka,Asiatic Region,4,4,86,12,21.5,25
95,Namibia,Africa,4,3,75,12,18.75,19
96,Kuwait,Middle East,4,4,44,1,11.0,25
97,Cambodia,Asiatic Region,4,4,76,17,19.0,18
98,Burkina Faso,Africa,4,4,53,5,13.25,27
99,Bolivia,Latin America,4,4,54,6,13.5,22
100,Syrian Arab Republic,Middle East,4,4,98,13,24.5,19
101,Bosnia and Herzegovina,Eastern Europe,3,3,8,0,2.67,13
102,Mongolia,Asiatic Region,3,3,54,29,18.0,12
103,Yemen,Middle East,3,3,16,0,5.33,14
104,Macedonia,Eastern Europe,3,3,76,3,25.33,9
105,Benin,Africa,3,3,41,9,13.67,19
106,Barbados,Latin America,3,3,25,0,8.33,8
107,Guatemala,Latin America,3,3,53,5,17.67,19
108,Senegal,Africa,3,3,44,5,14.67,22
109,Iraq,Middle East,3,3,46,9,15.33,21
110,Belarus,Eastern Europe,3,3,35,1,11.67,14
111,Costa Rica,Latin America,3,3,11,2,3.67,20
112,Bulgaria,Eastern Europe,3,3,119,10,39.67,28
