Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,659,644,6959,2445,10.56,223
2,China,Asiatic Region,255,255,3142,1691,12.32,96
3,United Kingdom,Western Europe,236,232,2015,480,8.54,152
4,Australia,Pacific Region,202,197,2000,539,9.9,108
5,Canada,Northern America,170,167,1334,256,7.85,111
6,South Korea,Asiatic Region,163,163,1175,185,7.21,81
7,Germany,Western Europe,114,114,1199,296,10.52,90
8,France,Western Europe,112,110,765,122,6.83,84
9,Japan,Asiatic Region,98,98,579,109,5.91,77
10,India,Asiatic Region,97,93,1183,276,12.2,51
11,Netherlands,Western Europe,87,85,1065,154,12.24,99
12,Spain,Western Europe,87,87,981,133,11.28,68
13,Sweden,Western Europe,86,83,903,172,10.5,90
14,Italy,Western Europe,61,60,681,161,11.16,76
15,Iran,Middle East,55,55,672,107,12.22,40
16,Turkey,Middle East,47,47,637,68,13.55,52
17,Norway,Western Europe,45,43,437,116,9.71,63
18,Taiwan,Asiatic Region,45,44,415,49,9.22,72
19,Brazil,Latin America,43,43,467,129,10.86,42
20,Mexico,Latin America,42,42,140,32,3.33,28
21,Finland,Western Europe,38,36,514,104,13.53,67
22,Hong Kong,Asiatic Region,37,37,364,70,9.84,72
23,South Africa,Africa,31,30,409,117,13.19,36
24,Switzerland,Western Europe,31,28,301,38,9.71,53
25,Malaysia,Asiatic Region,31,31,696,172,22.45,41
26,Denmark,Western Europe,28,27,286,36,10.21,58
27,Belgium,Western Europe,28,28,318,32,11.36,51
28,Ireland,Western Europe,24,24,205,34,8.54,41
29,Saudi Arabia,Middle East,22,22,403,68,18.32,33
30,Portugal,Western Europe,22,22,226,28,10.27,38
31,Israel,Middle East,20,20,155,29,7.75,58
32,New Zealand,Pacific Region,18,18,121,13,6.72,64
33,Pakistan,Asiatic Region,17,17,461,58,27.12,29
34,Singapore,Asiatic Region,15,15,278,16,18.53,58
35,Bangladesh,Asiatic Region,15,15,258,33,17.2,15
36,Austria,Western Europe,14,14,249,19,17.79,41
37,Greece,Western Europe,14,14,302,20,21.57,50
38,Peru,Latin America,13,13,23,11,1.77,9
39,Viet Nam,Asiatic Region,13,13,285,40,21.92,19
40,Ghana,Africa,13,13,157,46,12.08,17
41,Poland,Eastern Europe,13,13,74,14,5.69,28
42,Slovenia,Eastern Europe,12,12,150,23,12.5,25
43,Nigeria,Africa,12,12,53,14,4.42,15
44,Serbia,Eastern Europe,12,12,106,8,8.83,17
45,Colombia,Latin America,11,11,106,19,9.64,19
46,Indonesia,Asiatic Region,11,11,75,27,6.82,26
47,Chile,Latin America,10,10,74,12,7.4,25
48,Thailand,Asiatic Region,9,9,301,27,33.44,31
49,Czech Republic,Eastern Europe,8,8,66,11,8.25,22
50,Qatar,Middle East,7,7,95,38,13.57,14
51,Russian Federation,Eastern Europe,7,6,73,21,10.43,19
52,Jordan,Middle East,7,7,114,29,16.29,16
53,United Arab Emirates,Middle East,6,6,87,8,14.5,25
54,Argentina,Latin America,6,6,24,1,4.0,19
55,Algeria,Africa,6,6,37,2,6.17,6
56,Croatia,Eastern Europe,6,5,73,6,12.17,17
57,Lebanon,Middle East,5,5,31,4,6.2,13
58,Estonia,Eastern Europe,4,4,27,5,6.75,12
59,Uruguay,Latin America,4,4,34,1,8.5,6
60,Ecuador,Latin America,3,3,31,7,10.33,8
61,Morocco,Africa,3,3,50,7,16.67,5
62,Romania,Eastern Europe,3,3,18,4,6.0,20
63,Sri Lanka,Asiatic Region,3,3,7,2,2.33,9
64,Tunisia,Africa,3,3,15,6,5.0,12
65,Cyprus,Western Europe,3,3,11,6,3.67,16
