Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,6902,6370,64299,32688,9.32,318
2,United Kingdom,Western Europe,2977,2691,29456,8873,9.89,205
3,Australia,Pacific Region,1365,1268,14976,4126,10.97,164
4,Germany,Western Europe,1163,1063,7979,1738,6.86,129
5,Italy,Western Europe,1075,943,6636,1796,6.17,110
6,France,Western Europe,1029,922,4536,730,4.41,110
7,Spain,Western Europe,993,925,7378,1935,7.43,118
8,Canada,Northern America,972,868,10222,2332,10.52,170
9,Netherlands,Western Europe,777,702,9611,1493,12.37,133
10,China,Asiatic Region,618,587,11000,5424,17.8,115
11,India,Asiatic Region,586,576,4325,1458,7.38,82
12,Russian Federation,Eastern Europe,485,457,1624,930,3.35,44
13,Belgium,Western Europe,444,397,3176,470,7.15,86
14,Brazil,Latin America,408,393,1730,568,4.24,58
15,South Africa,Africa,396,372,1867,467,4.71,78
16,Switzerland,Western Europe,357,316,2824,394,7.91,96
17,Sweden,Western Europe,259,241,3413,616,13.18,100
18,Chile,Latin America,238,225,1211,397,5.09,45
19,South Korea,Asiatic Region,234,221,3329,445,14.23,93
20,Indonesia,Asiatic Region,223,220,913,520,4.09,36
21,Norway,Western Europe,220,201,3454,582,15.7,99
22,Hong Kong,Asiatic Region,213,202,2084,332,9.78,85
23,Japan,Asiatic Region,210,189,1217,229,5.8,71
24,Austria,Western Europe,203,197,1089,115,5.36,69
25,Israel,Middle East,197,189,1743,280,8.85,85
26,Denmark,Western Europe,194,180,2610,334,13.45,85
27,Finland,Western Europe,192,176,2512,306,13.08,85
28,Poland,Eastern Europe,180,158,1301,305,7.23,56
29,Colombia,Latin America,164,147,770,214,4.7,35
30,Czech Republic,Eastern Europe,160,151,814,155,5.09,37
31,New Zealand,Pacific Region,156,143,1708,224,10.95,84
32,Malaysia,Asiatic Region,155,152,2679,527,17.28,66
33,Taiwan,Asiatic Region,154,143,2268,241,14.73,102
34,Ukraine,Eastern Europe,154,153,639,432,4.15,28
35,Turkey,Middle East,151,134,1738,345,11.51,80
36,Portugal,Western Europe,151,147,1627,265,10.77,72
37,Singapore,Asiatic Region,150,136,2201,158,14.67,64
38,Mexico,Latin America,150,146,625,114,4.17,52
39,Iran,Middle East,133,132,1408,362,10.59,47
40,Kazakhstan,Asiatic Region,124,124,325,134,2.62,19
41,Ireland,Western Europe,120,114,1459,158,12.16,70
42,Hungary,Eastern Europe,118,105,306,73,2.59,35
43,Greece,Western Europe,115,108,2172,246,18.89,74
44,Nigeria,Africa,89,88,385,139,4.33,33
45,Saudi Arabia,Middle East,89,84,1093,143,12.28,49
46,Croatia,Eastern Europe,86,77,246,60,2.86,33
47,Slovenia,Eastern Europe,86,82,366,65,4.26,34
48,Luxembourg,Western Europe,80,73,341,23,4.26,32
49,Argentina,Latin America,77,74,320,69,4.16,37
50,Slovakia,Eastern Europe,59,58,211,85,3.58,19
51,United Arab Emirates,Middle East,50,50,439,54,8.78,41
52,Pakistan,Asiatic Region,46,45,1061,144,23.07,53
53,Serbia,Eastern Europe,45,42,207,22,4.6,26
54,Lithuania,Eastern Europe,44,43,287,25,6.52,21
55,Egypt,Africa/Middle East,44,44,273,60,6.2,36
56,Thailand,Asiatic Region,43,42,630,62,14.65,42
57,Romania,Eastern Europe,37,28,194,44,5.24,28
58,Bangladesh,Asiatic Region,36,36,452,100,12.56,27
59,Estonia,Eastern Europe,32,30,239,50,7.47,29
60,Peru,Latin America,26,25,237,31,9.12,20
61,Tunisia,Africa,24,24,547,47,22.79,30
62,Philippines,Asiatic Region,23,22,289,49,12.57,29
63,Macao,Asiatic Region,21,20,133,25,6.33,25
64,Kenya,Africa,21,18,185,7,8.81,26
65,Qatar,Middle East,18,17,303,35,16.83,25
66,Ecuador,Latin America,18,18,106,31,5.89,16
67,Ethiopia,Africa,17,14,79,9,4.65,14
68,Ghana,Africa,17,17,125,32,7.35,33
69,Jordan,Middle East,17,17,735,51,43.24,28
70,Cyprus,Western Europe,16,16,83,10,5.19,23
71,Venezuela,Latin America,15,15,34,8,2.27,13
72,Macedonia,Eastern Europe,15,15,23,0,1.53,18
73,Bulgaria,Eastern Europe,14,14,72,2,5.14,18
74,Lebanon,Middle East,13,13,505,48,38.85,33
75,Cuba,Latin America,13,13,17,8,1.31,10
76,Sri Lanka,Asiatic Region,13,13,94,4,7.23,17
77,Viet Nam,Asiatic Region,12,11,80,12,6.67,37
78,Uganda,Africa,12,12,31,3,2.58,19
79,Cameroon,Africa,11,11,17,3,1.55,12
80,Latvia,Eastern Europe,10,10,20,3,2.0,15
81,Montenegro,Eastern Europe,10,9,16,0,1.6,7
82,Malta,Western Europe,10,10,108,10,10.8,15
83,Iceland,Western Europe,9,7,91,21,10.11,37
84,Tanzania,Africa,9,9,116,20,12.89,22
85,Kuwait,Middle East,9,9,97,12,10.78,20
86,Algeria,Africa,9,9,47,17,5.22,14
87,Mauritius,Africa,9,8,210,13,23.33,19
88,Bosnia and Herzegovina,Eastern Europe,8,8,64,0,8.0,13
89,Fiji,Pacific Region,8,8,167,15,20.88,21
90,Morocco,Africa,8,8,68,4,8.5,16
91,Côte d’Ivoire,Africa,8,8,14,0,1.75,5
92,Costa Rica,Latin America,8,7,13,3,1.63,19
93,Democratic Republic Congo,Africa,8,1,4,1,0.5,2
94,Oman,Middle East,7,7,119,26,17.0,20
95,Albania,Eastern Europe,7,6,7,2,1.0,4
96,Georgia,Eastern Europe,7,7,78,0,11.14,13
97,Malawi,Africa,6,6,11,1,1.83,9
98,Iraq,Middle East,6,5,21,4,3.5,17
99,Nepal,Asiatic Region,5,5,26,2,5.2,14
100,Syrian Arab Republic,Middle East,5,5,12,5,2.4,5
101,Uruguay,Latin America,5,5,7,2,1.4,14
102,Bahrain,Middle East,5,4,16,9,3.2,11
103,Zimbabwe,Africa,4,4,13,1,3.25,11
104,Armenia,Eastern Europe,4,4,2,0,0.5,6
105,Azerbaijan,Eastern Europe,4,4,16,2,4.0,7
106,Congo,Africa,4,4,13,2,3.25,4
107,Jamaica,Latin America,4,4,39,3,9.75,16
108,Libya,Africa,4,4,52,4,13.0,10
109,Puerto Rico,Latin America,4,3,48,0,12.0,10
110,Sudan,Africa,4,4,17,0,4.25,15
111,Mongolia,Asiatic Region,3,3,27,3,9.0,5
112,Afghanistan,Asiatic Region,3,3,1,0,0.33,8
113,Botswana,Africa,3,3,10,0,3.33,11
114,Trinidad and Tobago,Latin America,3,3,9,2,3.0,17
115,Brunei Darussalam,Asiatic Region,3,3,4,2,1.33,8
116,Liberia,Africa,3,3,24,2,8.0,3
117,Senegal,Africa,3,3,29,10,9.67,11
118,Burkina Faso,Africa,3,3,15,1,5.0,5
119,Uzbekistan,Asiatic Region,3,3,6,1,2.0,7
120,Barbados,Latin America,3,3,21,2,7.0,17
121,Madagascar,Africa,3,3,20,0,6.67,5
122,Rwanda,Africa,3,3,13,2,4.33,8
123,Gambia,Africa,2,2,8,5,4.0,3
124,Honduras,Latin America,2,2,5,0,2.5,5
125,Zambia,Africa,2,2,8,0,4.0,7
126,Togo,Africa,2,2,0,0,0.0,3
127,Sierra Leone,Africa,2,2,16,0,8.0,7
128,Palestine,Middle East,2,2,1,0,0.5,11
129,Eritrea,Africa,2,2,6,0,3.0,3
130,Lesotho,Africa,2,2,1,0,0.5,4
131,Niger,Africa,2,2,7,0,3.5,5
132,Monaco,Western Europe,2,2,30,0,15.0,4
133,Bolivia,Latin America,2,2,0,0,0.0,5
134,Namibia,Africa,2,2,8,5,4.0,7
135,Sao Tome and Principe,Africa,1,1,0,0,0.0,0
136,El Salvador,Latin America,1,1,8,0,8.0,7
137,Cape Verde,Africa,1,1,0,0,0.0,2
138,Swaziland,Africa,1,1,0,0,0.0,6
139,Chad,Africa,1,1,0,0,0.0,0
140,Belize,Latin America,1,1,31,5,31.0,4
141,Tajikistan,Asiatic Region,1,1,8,0,8.0,2
142,Timor-Leste,Asiatic Region,1,1,29,9,29.0,4
143,Belarus,Eastern Europe,1,1,13,0,13.0,14
144,Bermuda,Latin America,1,1,17,0,17.0,2
145,Benin,Africa,1,1,0,0,0.0,4
146,Burundi,Africa,1,1,0,0,0.0,2
