Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3851,3573,60729,24228,15.77,391
2,China,Asiatic Region,1181,1157,13848,6180,11.73,139
3,United Kingdom,Western Europe,765,675,14089,2850,18.42,214
4,Spain,Western Europe,519,504,7453,2020,14.36,120
5,Germany,Western Europe,507,484,8510,2348,16.79,152
6,Canada,Northern America,492,456,7605,1239,15.46,167
7,Australia,Pacific Region,394,362,6590,1132,16.73,129
8,France,Western Europe,336,315,3756,731,11.18,121
9,India,Asiatic Region,311,283,2963,931,9.53,95
10,Netherlands,Western Europe,219,204,7136,927,32.58,151
11,Taiwan,Asiatic Region,217,213,3851,633,17.75,110
12,Italy,Western Europe,201,193,3385,808,16.84,123
13,Brazil,Latin America,187,178,1371,415,7.33,66
14,South Korea,Asiatic Region,186,183,5570,626,29.95,101
15,Singapore,Asiatic Region,142,132,4354,407,30.66,95
16,Switzerland,Western Europe,132,130,4710,531,35.68,132
17,Sweden,Western Europe,123,119,2415,356,19.63,105
18,Israel,Middle East,121,108,2848,503,23.54,104
19,Japan,Asiatic Region,113,112,1550,394,13.72,89
20,Hong Kong,Asiatic Region,102,101,3162,329,31.0,108
21,Iran,Middle East,102,102,833,163,8.17,61
22,Nigeria,Africa,99,99,713,260,7.2,36
23,Belgium,Western Europe,96,90,1706,221,17.77,90
24,Austria,Western Europe,95,83,1283,160,13.51,74
25,Finland,Western Europe,88,86,3098,413,35.2,110
26,New Zealand,Pacific Region,79,70,614,53,7.77,65
27,Poland,Eastern Europe,76,73,824,306,10.84,50
28,Denmark,Western Europe,72,71,1649,232,22.9,92
29,Malaysia,Asiatic Region,72,72,1469,255,20.4,60
30,Croatia,Eastern Europe,71,70,346,78,4.87,36
31,Ireland,Western Europe,69,68,1244,84,18.03,73
32,South Africa,Africa,69,65,714,165,10.35,57
33,Greece,Western Europe,67,67,1185,170,17.69,67
34,Mexico,Latin America,64,61,913,110,14.27,51
35,Portugal,Western Europe,63,63,821,152,13.03,58
36,Norway,Western Europe,57,56,1388,156,24.35,82
37,Pakistan,Asiatic Region,57,57,881,233,15.46,48
38,Turkey,Middle East,56,56,607,99,10.84,61
39,Czech Republic,Eastern Europe,55,53,567,104,10.31,47
40,Cuba,Latin America,44,41,196,71,4.45,28
41,Argentina,Latin America,33,33,316,81,9.58,34
42,Saudi Arabia,Middle East,33,33,447,73,13.55,53
43,Hungary,Eastern Europe,32,28,561,58,17.53,69
44,Colombia,Latin America,30,29,278,57,9.27,32
45,Slovenia,Eastern Europe,28,27,633,101,22.61,54
46,Thailand,Asiatic Region,27,26,491,61,18.19,41
47,Estonia,Eastern Europe,26,26,265,28,10.19,37
48,United Arab Emirates,Middle East,20,19,265,9,13.25,40
49,Russian Federation,Eastern Europe,19,19,619,81,32.58,63
50,Tunisia,Africa,18,17,274,39,15.22,23
51,Chile,Latin America,17,15,208,74,12.24,33
52,Jamaica,Latin America,17,17,47,10,2.76,14
53,Egypt,Africa/Middle East,16,16,231,19,14.44,33
54,Romania,Eastern Europe,15,15,219,41,14.6,35
55,Bangladesh,Asiatic Region,12,12,283,19,23.58,27
56,Qatar,Middle East,11,11,75,3,6.82,33
57,Kuwait,Middle East,11,11,169,22,15.36,30
58,Serbia,Eastern Europe,10,10,93,50,9.3,30
59,Tanzania,Africa,10,10,120,23,12.0,20
60,Macao,Asiatic Region,10,10,451,10,45.1,20
