Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1139,1088,27719,15227,24.34,295
2,United Kingdom,Western Europe,318,274,6110,1817,19.21,145
3,Australia,Pacific Region,201,181,4754,1314,23.65,115
4,Canada,Northern America,189,181,4530,1083,23.97,146
5,Netherlands,Western Europe,119,118,3531,564,29.67,110
6,Germany,Western Europe,91,89,2352,516,25.85,103
7,Sweden,Western Europe,71,68,1304,282,18.37,68
8,Finland,Western Europe,64,62,1222,282,19.09,65
9,Italy,Western Europe,60,60,1405,444,23.42,63
10,Brazil,Latin America,55,54,366,215,6.65,32
11,China,Asiatic Region,51,50,1319,490,25.86,62
12,Belgium,Western Europe,43,42,1659,262,38.58,68
13,Switzerland,Western Europe,40,37,1145,173,28.63,58
14,Israel,Middle East,35,34,464,156,13.26,63
15,Spain,Western Europe,35,34,795,283,22.71,45
16,Norway,Western Europe,34,34,526,99,15.47,43
17,New Zealand,Pacific Region,34,33,627,126,18.44,59
18,Hong Kong,Asiatic Region,31,31,876,176,28.26,68
19,South Africa,Africa,28,28,334,107,11.93,40
20,France,Western Europe,27,27,565,79,20.93,54
21,Romania,Eastern Europe,27,25,150,31,5.56,13
22,Japan,Asiatic Region,26,26,276,68,10.62,41
23,Portugal,Western Europe,24,24,712,139,29.67,39
24,Denmark,Western Europe,22,22,448,63,20.36,44
25,South Korea,Asiatic Region,22,22,240,41,10.91,37
26,Turkey,Middle East,17,17,207,44,12.18,25
27,Ireland,Western Europe,17,17,522,88,30.71,36
28,Singapore,Asiatic Region,16,16,477,37,29.81,36
29,India,Asiatic Region,13,13,186,83,14.31,29
30,Malaysia,Asiatic Region,12,12,585,23,48.75,28
31,Greece,Western Europe,9,9,240,39,26.67,24
32,Saudi Arabia,Middle East,8,8,292,8,36.5,19
33,Russian Federation,Eastern Europe,8,8,42,5,5.25,16
34,Mexico,Latin America,8,8,217,14,27.13,20
35,Iran,Middle East,7,7,74,20,10.57,13
36,Luxembourg,Western Europe,7,6,77,5,11.0,12
37,Colombia,Latin America,7,7,130,18,18.57,18
38,Taiwan,Asiatic Region,7,7,78,11,11.14,31
39,Austria,Western Europe,6,6,134,14,22.33,33
40,Czech Republic,Eastern Europe,6,6,260,26,43.33,22
41,Chile,Latin America,6,6,212,48,35.33,17
42,Poland,Eastern Europe,5,5,117,22,23.4,21
43,Viet Nam,Asiatic Region,5,5,56,12,11.2,12
44,Estonia,Eastern Europe,5,5,162,3,32.4,15
45,Philippines,Asiatic Region,4,4,109,8,27.25,16
46,Macao,Asiatic Region,4,4,128,4,32.0,15
47,Thailand,Asiatic Region,4,4,23,10,5.75,18
48,Cyprus,Western Europe,4,4,93,17,23.25,16
49,Iceland,Western Europe,4,4,107,10,26.75,15
50,Kenya,Africa,4,4,64,6,16.0,20
51,United Arab Emirates,Middle East,3,3,77,11,25.67,14
52,Croatia,Eastern Europe,3,3,11,0,3.67,14
53,Hungary,Eastern Europe,3,3,49,9,16.33,19
54,Lithuania,Eastern Europe,3,3,38,4,12.67,13
55,Nigeria,Africa,3,3,38,4,12.67,15
56,Oman,Middle East,3,3,37,13,12.33,6
57,Tanzania,Africa,3,3,132,4,44.0,8
58,Indonesia,Asiatic Region,2,2,28,7,14.0,17
59,Ghana,Africa,2,2,40,12,20.0,15
60,Ethiopia,Africa,2,2,43,4,21.5,6
61,Uganda,Africa,2,2,61,0,30.5,11
62,Egypt,Africa/Middle East,2,2,23,0,11.5,10
63,Malta,Western Europe,2,2,10,2,5.0,7
64,Costa Rica,Latin America,2,2,13,2,6.5,9
65,Argentina,Latin America,2,2,5,1,2.5,11
66,Haïti,Latin America,1,1,6,1,6.0,1
67,Serbia,Eastern Europe,1,1,5,0,5.0,9
68,Ecuador,Latin America,1,1,36,1,36.0,4
69,Slovenia,Eastern Europe,1,1,3,2,3.0,13
70,Slovakia,Eastern Europe,1,1,10,1,10.0,9
71,El Salvador,Latin America,1,1,2,2,2.0,2
72,Syrian Arab Republic,Middle East,1,1,21,1,21.0,3
73,Tunisia,Africa,1,1,4,3,4.0,2
74,Brunei Darussalam,Asiatic Region,1,1,8,4,8.0,3
75,Bahrain,Middle East,1,1,2,0,2.0,4
76,Zimbabwe,Africa,1,1,14,1,14.0,7
77,Bulgaria,Eastern Europe,1,1,0,0,0.0,3
78,Mozambique,Africa,1,1,4,1,4.0,3
79,Bangladesh,Asiatic Region,1,1,6,0,6.0,14
80,Namibia,Africa,1,1,15,0,15.0,1
81,Moldova,Eastern Europe,1,1,0,0,0.0,2
82,Latvia,Eastern Europe,1,1,12,3,12.0,5
83,Lebanon,Middle East,1,1,25,4,25.0,10
84,Peru,Latin America,1,1,31,1,31.0,9
85,Cambodia,Asiatic Region,1,1,15,3,15.0,2
86,Pakistan,Asiatic Region,1,1,4,1,4.0,15
87,Jordan,Middle East,1,1,14,2,14.0,11
