Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4245,4052,123467,58790,29.09,425
2,United Kingdom,Western Europe,1541,1475,39560,9963,25.67,265
3,Germany,Western Europe,1034,1003,15687,4106,15.17,182
4,Canada,Northern America,636,611,16079,2847,25.28,209
5,France,Western Europe,635,619,8014,2156,12.62,150
6,Spain,Western Europe,617,600,10297,2752,16.69,136
7,Australia,Pacific Region,576,542,13856,3265,24.06,147
8,Netherlands,Western Europe,489,438,9722,1769,19.88,173
9,Japan,Asiatic Region,442,434,7860,1828,17.78,131
10,Italy,Western Europe,376,358,6640,1462,17.66,135
11,China,Asiatic Region,307,301,5021,1555,16.36,140
12,Belgium,Western Europe,282,276,5241,870,18.59,106
13,Hong Kong,Asiatic Region,199,194,4246,688,21.34,121
14,Sweden,Western Europe,196,185,5415,765,27.63,102
15,South Africa,Africa,194,189,2114,579,10.9,55
16,Israel,Middle East,185,182,3264,694,17.64,129
17,Taiwan,Asiatic Region,181,180,2189,452,12.09,82
18,Switzerland,Western Europe,160,152,3919,695,24.49,96
19,Brazil,Latin America,156,148,1566,510,10.04,52
20,Finland,Western Europe,123,119,2582,463,20.99,91
21,India,Asiatic Region,116,114,1655,558,14.27,66
22,Ireland,Western Europe,112,104,1570,257,14.02,69
23,Denmark,Western Europe,110,103,3207,507,29.15,82
24,New Zealand,Pacific Region,107,100,2856,336,26.69,105
25,South Korea,Asiatic Region,103,98,2864,264,27.81,76
26,Poland,Eastern Europe,102,102,726,168,7.12,57
27,Norway,Western Europe,101,94,1479,258,14.64,66
28,Singapore,Asiatic Region,100,92,2568,321,25.68,104
29,Iran,Middle East,88,87,763,319,8.67,54
30,Hungary,Eastern Europe,84,81,639,85,7.61,58
31,Portugal,Western Europe,81,80,1211,324,14.95,53
32,Greece,Western Europe,79,74,929,161,11.76,60
33,Austria,Western Europe,77,76,1227,101,15.94,80
34,Czech Republic,Eastern Europe,74,71,1716,248,23.19,59
35,Russian Federation,Eastern Europe,73,71,448,80,6.14,41
36,Turkey,Middle East,61,57,1811,223,29.69,68
37,Chile,Latin America,57,55,587,256,10.3,42
38,Estonia,Eastern Europe,55,53,892,225,16.22,31
39,Argentina,Latin America,36,35,288,35,8.0,41
40,Malaysia,Asiatic Region,36,36,437,188,12.14,50
41,Slovenia,Eastern Europe,34,34,204,55,6.0,33
42,Thailand,Asiatic Region,34,33,706,122,20.76,39
43,Mexico,Latin America,30,28,361,25,12.03,47
44,Croatia,Eastern Europe,18,18,92,17,5.11,24
45,Viet Nam,Asiatic Region,16,16,249,96,15.56,28
46,Romania,Eastern Europe,15,15,115,15,7.67,30
47,Philippines,Asiatic Region,15,15,97,16,6.47,19
48,Nigeria,Africa,15,14,71,18,4.73,25
49,Botswana,Africa,14,14,122,20,8.71,12
50,Cyprus,Western Europe,13,12,372,39,28.62,34
51,Venezuela,Latin America,13,11,36,4,2.77,18
52,Zimbabwe,Africa,13,13,12,6,0.92,10
53,United Arab Emirates,Middle East,13,13,259,11,19.92,41
