Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2292,2079,59671,27134,26.03,334
2,United Kingdom,Western Europe,1206,1098,32012,10119,26.54,189
3,France,Western Europe,377,360,2979,529,7.9,78
4,Germany,Western Europe,372,352,8116,1472,21.82,133
5,Canada,Northern America,279,256,5569,1012,19.96,123
6,Australia,Pacific Region,244,202,4564,1122,18.7,105
7,Netherlands,Western Europe,194,186,5276,818,27.2,115
8,India,Asiatic Region,157,145,914,270,5.82,69
9,Italy,Western Europe,144,135,2767,436,19.22,86
10,Japan,Asiatic Region,111,92,957,230,8.62,53
11,Switzerland,Western Europe,110,97,1557,222,14.15,97
12,Israel,Middle East,90,87,1136,283,12.62,77
13,Belgium,Western Europe,87,83,1210,112,13.91,78
14,Norway,Western Europe,86,82,1757,225,20.43,103
15,South Africa,Africa,85,84,930,240,10.94,58
16,China,Asiatic Region,82,75,718,133,8.76,65
17,Denmark,Western Europe,76,70,1883,239,24.78,88
18,Sweden,Western Europe,70,68,2166,246,30.94,96
19,South Korea,Asiatic Region,68,65,807,86,11.87,46
20,Ireland,Western Europe,67,58,1270,156,18.96,59
21,Russian Federation,Eastern Europe,67,66,294,63,4.39,48
22,Singapore,Asiatic Region,63,59,702,88,11.14,57
23,Turkey,Middle East,61,52,470,161,7.7,60
24,Spain,Western Europe,61,60,1046,200,17.15,68
25,Brazil,Latin America,58,58,384,192,6.62,42
26,Mexico,Latin America,49,46,619,77,12.63,40
27,Hong Kong,Asiatic Region,47,41,524,116,11.15,56
28,New Zealand,Pacific Region,47,46,517,78,11.0,53
29,Portugal,Western Europe,42,42,399,128,9.5,40
30,Taiwan,Asiatic Region,33,33,226,50,6.85,32
31,Austria,Western Europe,31,31,570,51,18.39,57
32,Finland,Western Europe,28,26,518,118,18.5,61
33,Greece,Western Europe,28,26,614,51,21.93,41
34,Lithuania,Eastern Europe,24,21,157,109,6.54,22
35,Poland,Eastern Europe,23,20,189,30,8.22,35
36,Argentina,Latin America,20,20,214,47,10.7,27
37,Chile,Latin America,17,16,150,45,8.82,29
38,Malaysia,Asiatic Region,16,16,300,72,18.75,37
39,Colombia,Latin America,15,15,79,21,5.27,30
40,Egypt,Africa/Middle East,14,13,257,2,18.36,24
41,Nigeria,Africa,14,14,127,33,9.07,26
42,Iran,Middle East,12,11,72,6,6.0,18
43,Hungary,Eastern Europe,11,10,209,29,19.0,44
44,Slovenia,Eastern Europe,10,10,171,20,17.1,20
45,Indonesia,Asiatic Region,9,9,183,70,20.33,26
46,Pakistan,Asiatic Region,9,9,73,11,8.11,24
47,Kenya,Africa,9,8,82,6,9.11,22
48,Croatia,Eastern Europe,9,9,81,68,9.0,18
49,Lebanon,Middle East,8,6,68,11,8.5,22
50,Thailand,Asiatic Region,8,8,91,17,11.38,25
51,Estonia,Eastern Europe,8,8,177,36,22.13,29
52,Cameroon,Africa,7,7,32,4,4.57,11
53,Kuwait,Middle East,7,7,38,8,5.43,12
54,Peru,Latin America,7,7,35,3,5.0,13
55,Ukraine,Eastern Europe,6,6,45,1,7.5,24
56,Myanmar,Asiatic Region,6,6,60,17,10.0,7
57,Czech Republic,Eastern Europe,6,6,50,8,8.33,32
58,Afghanistan,Asiatic Region,6,6,4,0,0.67,7
59,Tanzania,Africa,5,5,31,1,6.2,15
60,Saudi Arabia,Middle East,5,5,86,15,17.2,13
61,Uganda,Africa,5,5,63,9,12.6,17
62,Uruguay,Latin America,5,5,16,4,3.2,13
63,Jordan,Middle East,5,5,15,3,3.0,14
64,Viet Nam,Asiatic Region,5,5,47,17,9.4,25
65,Sri Lanka,Asiatic Region,5,5,62,0,12.4,21
66,United Arab Emirates,Middle East,5,5,73,25,14.6,24
67,Ethiopia,Africa,5,5,21,11,4.2,16
68,Bulgaria,Eastern Europe,4,4,6,2,1.5,11
69,Iceland,Western Europe,4,3,6,1,1.5,20
70,Philippines,Asiatic Region,4,4,71,8,17.75,26
71,Ghana,Africa,4,4,24,4,6.0,22
72,Kazakhstan,Asiatic Region,4,4,60,0,15.0,20
73,Senegal,Africa,4,4,57,0,14.25,10
74,Algeria,Africa,4,4,13,0,3.25,7
75,Zimbabwe,Africa,3,3,64,12,21.33,15
76,Cyprus,Western Europe,3,3,161,26,53.67,26
