Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3990,3635,2224,924,0.56,334
2,United Kingdom,Western Europe,2847,2494,2003,683,0.7,189
3,Russian Federation,Eastern Europe,1491,1446,212,105,0.14,48
4,Germany,Western Europe,1324,1069,945,283,0.71,133
5,India,Asiatic Region,1250,1068,408,178,0.33,69
6,China,Asiatic Region,859,813,690,445,0.8,65
7,Australia,Pacific Region,848,766,501,175,0.59,105
8,Italy,Western Europe,755,650,501,167,0.66,86
9,Netherlands,Western Europe,679,614,536,115,0.79,115
10,Spain,Western Europe,672,595,268,79,0.4,68
11,Canada,Northern America,663,578,422,94,0.64,123
12,France,Western Europe,420,378,151,43,0.36,78
13,Switzerland,Western Europe,411,366,449,120,1.09,97
14,Sweden,Western Europe,397,358,363,108,0.91,96
15,Turkey,Middle East,391,375,231,71,0.59,60
16,South Africa,Africa,370,269,148,52,0.4,58
17,Brazil,Latin America,354,317,82,17,0.23,42
18,Belgium,Western Europe,341,299,272,53,0.8,78
19,Japan,Asiatic Region,334,296,129,48,0.39,53
20,Indonesia,Asiatic Region,322,307,106,56,0.33,26
21,Iraq,Middle East,322,322,2,1,0.01,10
22,Poland,Eastern Europe,319,294,145,38,0.45,35
23,Norway,Western Europe,308,281,223,42,0.72,103
24,Israel,Middle East,299,287,129,36,0.43,77
25,Denmark,Western Europe,297,278,276,56,0.93,88
26,South Korea,Asiatic Region,284,263,92,16,0.32,46
27,Czech Republic,Eastern Europe,260,246,99,45,0.38,32
28,Malaysia,Asiatic Region,240,220,193,93,0.8,37
29,Portugal,Western Europe,235,189,71,25,0.3,40
30,Austria,Western Europe,231,189,158,20,0.68,57
31,Ukraine,Eastern Europe,216,210,60,25,0.28,24
32,Mexico,Latin America,205,192,33,14,0.16,40
33,Finland,Western Europe,202,156,110,30,0.54,61
34,Ireland,Western Europe,190,174,118,16,0.62,59
35,Singapore,Asiatic Region,182,158,81,12,0.45,57
36,Pakistan,Asiatic Region,182,175,292,123,1.6,24
37,Chile,Latin America,164,151,75,16,0.46,29
38,Thailand,Asiatic Region,163,161,48,19,0.29,25
39,Nigeria,Africa,152,147,145,58,0.95,26
40,Greece,Western Europe,152,95,67,21,0.44,41
41,Hungary,Eastern Europe,143,131,78,15,0.55,44
42,Colombia,Latin America,139,128,32,16,0.23,30
43,Iran,Middle East,136,107,18,5,0.13,18
44,Hong Kong,Asiatic Region,134,129,117,35,0.87,56
45,Argentina,Latin America,124,112,31,5,0.25,27
46,Taiwan,Asiatic Region,112,109,49,13,0.44,32
