Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1012,989,33622,16335,33.22,254
2,United Kingdom,Western Europe,444,427,12010,4589,27.05,165
3,Canada,Northern America,143,135,4946,1035,34.59,108
4,Australia,Pacific Region,132,131,3026,857,22.92,96
5,Netherlands,Western Europe,53,52,2175,516,41.04,125
6,Germany,Western Europe,47,47,3262,713,69.4,101
7,France,Western Europe,42,41,274,93,6.52,55
8,Mexico,Latin America,32,27,121,31,3.78,29
9,Hong Kong,Asiatic Region,27,26,682,189,25.26,66
10,South Africa,Africa,27,26,163,67,6.04,44
11,New Zealand,Pacific Region,27,27,448,79,16.59,44
12,Denmark,Western Europe,23,23,411,42,17.87,80
13,Israel,Middle East,22,22,754,142,34.27,53
14,South Korea,Asiatic Region,22,22,1700,159,77.27,60
15,Norway,Western Europe,19,19,773,133,40.68,65
16,Belgium,Western Europe,19,18,338,45,17.79,70
17,Italy,Western Europe,18,18,614,99,34.11,77
18,Switzerland,Western Europe,17,16,876,121,51.53,71
19,Spain,Western Europe,17,17,363,123,21.35,67
20,Sweden,Western Europe,17,16,646,148,38.0,76
21,China,Asiatic Region,17,17,169,28,9.94,55
22,Taiwan,Asiatic Region,13,13,74,38,5.69,30
23,Nigeria,Africa,13,12,109,40,8.38,23
24,Greece,Western Europe,13,13,126,33,9.69,36
25,Finland,Western Europe,12,12,156,37,13.0,46
26,Turkey,Middle East,10,10,149,10,14.9,35
27,Ireland,Western Europe,10,10,346,76,34.6,46
28,India,Asiatic Region,9,9,327,48,36.33,38
29,Singapore,Asiatic Region,8,8,482,36,60.25,55
30,Chile,Latin America,8,7,86,5,10.75,20
31,Hungary,Eastern Europe,8,7,102,11,12.75,29
32,Austria,Western Europe,7,7,179,38,25.57,48
33,Brazil,Latin America,6,6,2069,42,344.83,37
34,Malaysia,Asiatic Region,4,4,39,10,9.75,29
35,Argentina,Latin America,4,4,16,0,4.0,19
36,Japan,Asiatic Region,4,4,21,3,5.25,29
37,Slovenia,Eastern Europe,4,4,53,36,13.25,17
38,Malta,Western Europe,3,3,11,6,3.67,16
39,Romania,Eastern Europe,3,3,13,0,4.33,21
40,Russian Federation,Eastern Europe,3,3,20,0,6.67,27
41,Brunei Darussalam,Asiatic Region,3,3,126,0,42.0,10
42,Philippines,Asiatic Region,3,3,67,2,22.33,18
43,Iran,Middle East,2,2,30,18,15.0,17
44,Kenya,Africa,2,2,0,0,0.0,19
45,Ghana,Africa,2,1,93,8,46.5,24
46,Egypt,Africa/Middle East,2,2,6,0,3.0,15
47,Thailand,Asiatic Region,2,2,11,4,5.5,28
48,Botswana,Africa,2,2,22,5,11.0,10
49,Bangladesh,Asiatic Region,2,2,11,9,5.5,22
50,Peru,Latin America,1,1,1,0,1.0,14
51,Pakistan,Asiatic Region,1,1,6,2,6.0,26
52,Poland,Eastern Europe,1,1,8,1,8.0,28
53,Portugal,Western Europe,1,1,8,2,8.0,34
54,Qatar,Middle East,1,1,4,1,4.0,15
55,Sudan,Africa,1,1,0,0,0.0,10
56,Cameroon,Africa,1,1,2,2,2.0,8
57,Afghanistan,Asiatic Region,1,1,22,1,22.0,8
58,Slovakia,Eastern Europe,1,1,38,14,38.0,22
59,Republic of South Sudan,Africa,1,1,0,0,0.0,0
60,Tunisia,Africa,1,1,1,0,1.0,10
61,Bolivia,Latin America,1,1,6,0,6.0,5
62,Tanzania,Africa,1,1,47,18,47.0,22
63,Ukraine,Eastern Europe,1,1,26,0,26.0,24
64,Uganda,Africa,1,1,0,0,0.0,23
65,Virgin Islands (British),Latin America,1,1,1,0,1.0,1
66,Jordan,Middle East,1,1,0,0,0.0,17
67,Indonesia,Asiatic Region,1,1,32,3,32.0,25
68,Cayman Islands,Latin America,1,1,10,0,10.0,1
69,Lebanon,Middle East,1,1,4,3,4.0,16
70,Latvia,Eastern Europe,1,1,3,0,3.0,9
71,Morocco,Africa,1,1,0,0,0.0,7
72,Malawi,Africa,1,1,13,3,13.0,16
73,United Arab Emirates,Middle East,1,1,12,0,12.0,26
74,Georgia,Eastern Europe,1,1,1,1,1.0,10
75,Czech Republic,Eastern Europe,1,1,38,23,38.0,27
76,Cyprus,Western Europe,1,1,6,2,6.0,16
77,Panama,Latin America,1,1,5,0,5.0,2
