Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,128,126,1627,737,12.71,136
2,India,Asiatic Region,97,97,97,44,1.0,49
3,Australia,Pacific Region,57,56,261,91,4.58,86
4,United Kingdom,Western Europe,29,29,813,169,28.03,100
5,Sweden,Western Europe,17,17,267,57,15.71,70
6,Netherlands,Western Europe,14,13,259,24,18.5,70
7,Canada,Northern America,11,11,358,89,32.55,74
8,France,Western Europe,10,10,222,30,22.2,56
9,Poland,Eastern Europe,10,10,41,19,4.1,40
10,Japan,Asiatic Region,8,8,89,13,11.13,47
11,Denmark,Western Europe,8,8,114,6,14.25,47
12,New Zealand,Pacific Region,7,7,35,2,5.0,46
13,Norway,Western Europe,6,6,649,82,108.17,77
14,Germany,Western Europe,6,6,21,6,3.5,71
15,Israel,Middle East,5,5,60,8,12.0,47
16,Italy,Western Europe,5,5,46,7,9.2,65
17,Belgium,Western Europe,4,4,43,11,10.75,47
18,Russian Federation,Eastern Europe,4,4,26,2,6.5,24
19,Finland,Western Europe,4,4,71,9,17.75,50
20,Switzerland,Western Europe,3,3,11,5,3.67,50
21,South Africa,Africa,2,2,20,1,10.0,31
22,China,Asiatic Region,2,2,39,5,19.5,85
23,Estonia,Eastern Europe,2,2,13,8,6.5,15
24,South Korea,Asiatic Region,2,2,2,0,1.0,41
25,Turkey,Middle East,2,2,37,14,18.5,47
26,Jordan,Middle East,1,1,15,1,15.0,16
27,Ireland,Western Europe,1,1,3,0,3.0,34
28,Saudi Arabia,Middle East,1,1,41,9,41.0,25
29,Cyprus,Western Europe,1,1,105,0,105.0,18
30,Brazil,Latin America,1,1,120,4,120.0,42
31,Bangladesh,Asiatic Region,1,1,15,0,15.0,32
32,Malta,Western Europe,1,1,21,0,21.0,5
