Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3857,3697,139812,68601,36.25,437
2,United Kingdom,Western Europe,1195,1145,57446,16970,48.07,298
3,Canada,Northern America,524,510,16790,3368,32.04,199
4,Germany,Western Europe,443,430,9855,2468,22.25,204
5,France,Western Europe,408,383,5416,1385,13.27,159
6,Australia,Pacific Region,319,313,9108,1734,28.55,208
7,Netherlands,Western Europe,289,282,20601,2865,71.28,216
8,Spain,Western Europe,163,163,3939,932,24.17,134
9,Japan,Asiatic Region,160,159,1901,360,11.88,106
10,Israel,Middle East,142,141,4500,867,31.69,109
11,India,Asiatic Region,129,123,694,235,5.38,81
12,Sweden,Western Europe,127,126,3722,599,29.31,154
13,Belgium,Western Europe,110,110,4560,670,41.45,127
14,Italy,Western Europe,108,106,4000,817,37.04,142
15,Croatia,Eastern Europe,96,96,189,131,1.97,31
16,Turkey,Middle East,87,80,1312,213,15.08,69
17,Switzerland,Western Europe,86,83,5404,496,62.84,147
18,Hong Kong,Asiatic Region,83,83,2953,846,35.58,89
19,South Africa,Africa,78,76,1765,490,22.63,85
20,New Zealand,Pacific Region,77,73,2261,286,29.36,99
21,Finland,Western Europe,69,69,2552,378,36.99,109
22,China,Asiatic Region,67,67,2202,671,32.87,133
23,Norway,Western Europe,64,63,2401,397,37.52,122
24,Denmark,Western Europe,56,56,3016,286,53.86,119
25,Brazil,Latin America,54,54,531,181,9.83,73
26,South Korea,Asiatic Region,54,54,1235,173,22.87,85
27,Taiwan,Asiatic Region,53,53,1250,271,23.58,81
28,Austria,Western Europe,49,49,1512,132,30.86,111
29,Portugal,Western Europe,48,47,1057,178,22.02,73
30,Ireland,Western Europe,48,46,1554,325,32.38,75
31,Poland,Eastern Europe,38,37,355,111,9.34,53
32,Singapore,Asiatic Region,38,37,1243,139,32.71,75
33,Hungary,Eastern Europe,35,35,304,40,8.69,66
34,Greece,Western Europe,29,26,284,56,9.79,58
35,Russian Federation,Eastern Europe,28,28,305,38,10.89,51
36,Mexico,Latin America,28,28,576,83,20.57,59
37,Colombia,Latin America,24,24,399,46,16.63,45
38,Slovenia,Eastern Europe,23,23,511,81,22.22,45
39,Nigeria,Africa,23,23,140,27,6.09,37
40,Argentina,Latin America,22,22,514,131,23.36,45
41,Malaysia,Asiatic Region,14,14,95,24,6.79,66
42,Bangladesh,Asiatic Region,13,13,329,78,25.31,41
43,Algeria,Africa,11,11,26,13,2.36,15
44,Iran,Middle East,10,10,139,87,13.9,52
45,Chile,Latin America,10,8,216,31,21.6,55
46,Kuwait,Middle East,8,8,23,3,2.88,18
47,Pakistan,Asiatic Region,8,8,46,3,5.75,48
48,Philippines,Asiatic Region,8,8,149,2,18.63,35
49,Puerto Rico,Latin America,6,6,50,9,8.33,18
50,Jordan,Middle East,6,6,0,0,0.0,29
51,Cuba,Latin America,6,6,99,17,16.5,17
52,Indonesia,Asiatic Region,6,6,96,19,16.0,41
53,Saudi Arabia,Middle East,6,6,5,0,0.83,46
54,Ukraine,Eastern Europe,6,6,91,31,15.17,31
55,Thailand,Asiatic Region,5,5,113,20,22.6,50
56,Botswana,Africa,5,5,41,6,8.2,20
57,Czech Republic,Eastern Europe,5,5,248,79,49.6,45
58,Lebanon,Middle East,5,5,12,2,2.4,27
59,Nepal,Asiatic Region,5,5,155,3,31.0,22
60,Serbia,Eastern Europe,5,5,121,11,24.2,26
61,Slovakia,Eastern Europe,5,5,80,15,16.0,30
62,Venezuela,Latin America,5,5,34,10,6.8,16
63,Peru,Latin America,4,4,35,7,8.75,28
64,Egypt,Africa/Middle East,4,3,13,3,3.25,32
65,Georgia,Eastern Europe,4,4,40,6,10.0,16
66,Ghana,Africa,4,4,229,12,57.25,38
67,Burkina Faso,Africa,4,4,21,6,5.25,15
68,Kenya,Africa,4,4,204,11,51.0,54
69,Senegal,Africa,4,4,60,3,15.0,16
70,Uganda,Africa,4,4,104,16,26.0,27
71,Tanzania,Africa,4,4,43,7,10.75,24
72,Viet Nam,Asiatic Region,4,4,15,5,3.75,33
73,Reunion,Africa,3,3,13,0,4.33,4
74,Sri Lanka,Asiatic Region,3,3,2,1,0.67,19
75,Luxembourg,Western Europe,3,3,55,3,18.33,29
76,Latvia,Eastern Europe,3,3,45,5,15.0,15
77,Costa Rica,Latin America,3,3,128,7,42.67,18
