Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1033,987,50314,31560,48.71,327
2,United Kingdom,Western Europe,304,285,11563,4500,38.04,151
3,Australia,Pacific Region,90,85,2619,628,29.1,97
4,Canada,Northern America,72,71,5271,916,73.21,134
5,Israel,Middle East,48,48,1859,536,38.73,70
6,India,Asiatic Region,30,29,49,21,1.63,25
7,South Africa,Africa,28,28,200,56,7.14,41
8,Hong Kong,Asiatic Region,27,25,882,354,32.67,61
9,Sweden,Western Europe,18,18,533,61,29.61,65
10,Netherlands,Western Europe,16,16,1202,244,75.13,84
11,Germany,Western Europe,12,12,982,90,81.83,70
12,New Zealand,Pacific Region,9,9,132,14,14.67,56
13,Ireland,Western Europe,9,9,180,10,20.0,46
14,Finland,Western Europe,8,8,150,17,18.75,43
15,Japan,Asiatic Region,7,7,762,65,108.86,33
16,China,Asiatic Region,5,5,775,81,155.0,57
17,Slovenia,Eastern Europe,5,5,726,13,145.2,13
18,Spain,Western Europe,4,4,630,75,157.5,48
19,Denmark,Western Europe,4,4,123,7,30.75,34
20,Norway,Western Europe,4,4,65,6,16.25,47
21,Chile,Latin America,4,4,103,14,25.75,22
22,Botswana,Africa,4,3,100,4,25.0,17
23,Italy,Western Europe,3,3,769,46,256.33,54
24,Mexico,Latin America,3,3,88,8,29.33,16
25,Turkey,Middle East,3,3,80,25,26.67,28
26,South Korea,Asiatic Region,2,2,29,3,14.5,48
27,Greece,Western Europe,2,2,606,14,303.0,20
28,Ukraine,Eastern Europe,2,2,22,0,11.0,6
29,Switzerland,Western Europe,2,2,148,19,74.0,36
30,Singapore,Asiatic Region,2,2,23,4,11.5,25
31,Venezuela,Latin America,2,2,51,3,25.5,11
32,Viet Nam,Asiatic Region,2,2,76,24,38.0,13
33,France,Western Europe,2,2,600,14,300.0,35
34,Thailand,Asiatic Region,2,2,14,5,7.0,12
35,Sudan,Africa,1,1,7,0,7.0,3
36,Bulgaria,Eastern Europe,1,1,1,0,1.0,7
37,Zimbabwe,Africa,1,1,49,3,49.0,9
38,Trinidad and Tobago,Latin America,1,1,5,0,5.0,7
39,Uganda,Africa,1,1,17,4,17.0,12
40,Belgium,Western Europe,1,1,67,2,67.0,38
41,Indonesia,Asiatic Region,1,1,80,5,80.0,13
42,Austria,Western Europe,1,1,255,16,255.0,25
43,Iceland,Western Europe,1,1,590,2,590.0,12
44,Hungary,Eastern Europe,1,1,20,8,20.0,12
45,Kuwait,Middle East,1,1,75,3,75.0,10
46,Bangladesh,Asiatic Region,1,1,75,16,75.0,17
47,Nigeria,Africa,1,1,49,1,49.0,14
48,Nepal,Asiatic Region,1,1,10,0,10.0,7
49,Colombia,Latin America,1,1,7,0,7.0,15
50,Portugal,Western Europe,1,1,590,9,590.0,26
51,Russian Federation,Eastern Europe,1,1,35,8,35.0,16
