Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,12465,11545,163683,80869,13.13,658
2,United Kingdom,Western Europe,5177,4722,68737,22175,13.28,352
3,Australia,Pacific Region,2319,2120,27463,7547,11.84,228
4,Germany,Western Europe,1988,1850,24101,6130,12.12,242
5,Canada,Northern America,1981,1852,24936,5397,12.59,274
6,France,Western Europe,1535,1433,9378,1823,6.11,150
7,Italy,Western Europe,1495,1404,12927,3440,8.65,157
8,Spain,Western Europe,1445,1373,10952,3555,7.58,143
9,Russian Federation,Eastern Europe,1439,1406,4321,2480,3.0,70
10,India,Asiatic Region,1313,1159,5873,2585,4.47,97
11,Netherlands,Western Europe,1180,1104,23636,4050,20.03,253
12,China,Asiatic Region,871,808,13260,6525,15.22,138
13,Brazil,Latin America,840,804,3184,1274,3.79,86
14,South Africa,Africa,779,738,5903,1779,7.58,103
15,Sweden,Western Europe,746,688,12412,2395,16.64,160
16,Norway,Western Europe,631,551,8303,1481,13.16,150
17,Belgium,Western Europe,551,517,7301,1083,13.25,139
18,Denmark,Western Europe,530,472,8592,1303,16.21,142
19,Switzerland,Western Europe,515,460,7701,1038,14.95,157
20,Israel,Middle East,491,462,5508,1004,11.22,156
21,South Korea,Asiatic Region,449,436,4323,768,9.63,111
22,Finland,Western Europe,405,371,6262,1157,15.46,104
23,Japan,Asiatic Region,380,349,3130,567,8.24,96
24,Poland,Eastern Europe,373,359,2432,696,6.52,68
25,Czech Republic,Eastern Europe,371,357,1937,615,5.22,53
26,Turkey,Middle East,362,349,2730,686,7.54,91
27,Ireland,Western Europe,361,338,3827,709,10.6,96
28,Mexico,Latin America,358,344,1613,412,4.51,88
29,New Zealand,Pacific Region,343,318,4671,670,13.62,121
30,Hong Kong,Asiatic Region,340,312,5253,1001,15.45,136
31,Argentina,Latin America,311,289,1031,289,3.32,54
32,Portugal,Western Europe,298,285,2904,633,9.74,82
33,Chile,Latin America,289,281,2409,737,8.34,68
34,Austria,Western Europe,283,260,4775,521,16.87,104
35,Singapore,Asiatic Region,272,252,3863,434,14.2,127
36,Colombia,Latin America,264,245,1568,502,5.94,52
37,Indonesia,Asiatic Region,210,205,1787,769,8.51,69
38,Malaysia,Asiatic Region,208,202,2224,445,10.69,64
39,Romania,Eastern Europe,204,192,757,279,3.71,41
40,Taiwan,Asiatic Region,202,194,2818,424,13.95,104
41,Hungary,Eastern Europe,190,184,1176,240,6.19,67
42,Ukraine,Eastern Europe,188,184,847,527,4.51,35
43,Slovakia,Eastern Europe,164,161,906,256,5.52,41
44,Nigeria,Africa,158,138,940,234,5.95,45
45,Croatia,Eastern Europe,148,140,619,264,4.18,33
46,Greece,Western Europe,147,138,1761,346,11.98,77
47,Lithuania,Eastern Europe,137,126,426,121,3.11,29
48,Jordan,Middle East,114,114,71,11,0.62,31
49,Slovenia,Eastern Europe,109,105,683,158,6.27,51
50,Thailand,Asiatic Region,101,95,857,171,8.49,55
51,Cyprus,Western Europe,98,85,801,70,8.17,42
52,Estonia,Eastern Europe,96,83,1053,195,10.97,48
53,Iran,Middle East,91,90,886,272,9.74,46
54,United Arab Emirates,Middle East,86,80,798,124,9.28,48
55,Pakistan,Asiatic Region,85,83,997,212,11.73,52
