Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,2992,2966,32466,19891,10.85,157
2,United States,Northern America,2154,2089,38495,11215,17.87,269
3,United Kingdom,Western Europe,736,683,16179,2858,21.98,200
4,Australia,Pacific Region,603,581,10920,1993,18.11,162
5,Germany,Western Europe,485,468,6484,1568,13.37,124
6,Canada,Northern America,484,464,8713,1418,18.0,148
7,Italy,Western Europe,477,385,6838,1694,14.34,113
8,India,Asiatic Region,464,451,4935,1698,10.64,86
9,France,Western Europe,378,361,5051,751,13.36,107
10,Spain,Western Europe,373,364,4894,1052,13.12,117
11,South Korea,Asiatic Region,358,353,5534,733,15.46,108
12,Netherlands,Western Europe,337,326,6936,981,20.58,147
13,Japan,Asiatic Region,300,291,2438,348,8.13,86
14,Hong Kong,Asiatic Region,290,276,7770,924,26.79,143
15,Poland,Eastern Europe,258,257,1544,511,5.98,43
16,Russian Federation,Eastern Europe,243,242,2050,1608,8.44,39
17,Sweden,Western Europe,237,227,4577,567,19.31,117
18,Slovakia,Eastern Europe,229,228,925,612,4.04,30
19,Czech Republic,Eastern Europe,221,219,881,312,3.99,30
20,Iran,Middle East,186,186,3956,1118,21.27,71
21,Brazil,Latin America,154,149,1633,350,10.6,54
22,Portugal,Western Europe,153,150,2664,376,17.41,78
23,Belgium,Western Europe,152,147,2656,204,17.47,93
24,Taiwan,Asiatic Region,139,133,2875,353,20.68,124
25,Singapore,Asiatic Region,128,121,3052,375,23.84,88
26,Turkey,Middle East,125,123,2873,379,22.98,95
27,Norway,Western Europe,117,113,2505,396,21.41,86
28,Greece,Western Europe,112,107,2254,204,20.13,87
29,Switzerland,Western Europe,104,99,2394,295,23.02,93
30,Denmark,Western Europe,100,97,2324,200,23.24,89
31,Colombia,Latin America,90,88,692,163,7.69,42
32,New Zealand,Pacific Region,90,86,2148,255,23.87,89
33,Austria,Western Europe,87,87,1010,135,11.61,69
34,Finland,Western Europe,75,70,1683,180,22.44,71
35,Israel,Middle East,75,73,1146,122,15.28,86
36,Malaysia,Asiatic Region,73,72,1814,337,24.85,60
37,Thailand,Asiatic Region,58,56,585,61,10.09,48
38,Chile,Latin America,57,56,1083,160,19.0,69
39,South Africa,Africa,53,49,772,105,14.57,54
40,Lithuania,Eastern Europe,53,53,166,28,3.13,15
41,Croatia,Eastern Europe,52,50,254,72,4.88,25
