Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1907,1699,26456,10723,13.87,256
2,China,Asiatic Region,1081,1058,12156,8128,11.25,131
3,United Kingdom,Western Europe,862,723,13430,3326,15.58,202
4,Spain,Western Europe,548,531,3325,993,6.07,93
5,Italy,Western Europe,529,461,3116,1004,5.89,94
6,Australia,Pacific Region,446,425,7155,1908,16.04,111
7,Brazil,Latin America,345,322,1856,568,5.38,53
8,India,Asiatic Region,319,265,2354,1007,7.38,67
9,Germany,Western Europe,303,244,5009,850,16.53,110
10,Canada,Northern America,280,248,3905,659,13.95,127
11,France,Western Europe,270,245,2136,378,7.91,91
12,Netherlands,Western Europe,242,212,4524,726,18.69,129
13,Malaysia,Asiatic Region,238,238,935,371,3.93,43
14,Russian Federation,Eastern Europe,191,172,613,378,3.21,27
15,Portugal,Western Europe,189,177,1501,306,7.94,56
16,Poland,Eastern Europe,186,171,1324,695,7.12,43
17,Hong Kong,Asiatic Region,183,173,3705,626,20.25,102
18,Japan,Asiatic Region,157,137,1127,226,7.18,71
19,Turkey,Middle East,142,135,745,141,5.25,46
20,Sweden,Western Europe,139,121,3877,427,27.89,92
21,Belgium,Western Europe,138,129,2090,213,15.14,78
22,Mexico,Latin America,129,120,333,108,2.58,43
23,Chile,Latin America,120,113,581,244,4.84,47
24,South Africa,Africa,119,108,2149,472,18.06,69
25,Taiwan,Asiatic Region,117,116,656,83,5.61,53
26,Indonesia,Asiatic Region,102,97,954,259,9.35,36
27,Colombia,Latin America,99,96,315,94,3.18,28
28,South Korea,Asiatic Region,96,81,1204,155,12.54,59
29,Norway,Western Europe,96,76,1068,211,11.13,53
30,Iran,Middle East,94,87,852,218,9.06,39
31,Singapore,Asiatic Region,90,86,1510,169,16.78,78
32,Egypt,Africa/Middle East,89,88,789,121,8.87,41
33,Switzerland,Western Europe,83,78,1823,268,21.96,75
34,Denmark,Western Europe,77,64,2183,150,28.35,67
35,Czech Republic,Eastern Europe,71,66,295,91,4.15,38
36,Hungary,Eastern Europe,71,46,735,73,10.35,36
37,Argentina,Latin America,69,69,174,52,2.52,30
38,Romania,Eastern Europe,66,53,195,66,2.95,25
39,Israel,Middle East,58,58,548,98,9.45,60
40,Austria,Western Europe,56,51,1257,101,22.45,56
41,Greece,Western Europe,53,48,489,89,9.23,57
42,Finland,Western Europe,50,43,895,111,17.9,63
43,Slovakia,Eastern Europe,50,45,286,98,5.72,20
44,Serbia,Eastern Europe,48,37,94,34,1.96,17
45,Croatia,Eastern Europe,43,35,119,38,2.77,13
46,New Zealand,Pacific Region,42,40,884,71,21.05,58
47,Pakistan,Asiatic Region,39,37,283,77,7.26,25
48,Nigeria,Africa,38,38,270,58,7.11,31
49,Ireland,Western Europe,35,33,433,84,12.37,50
50,Algeria,Africa,31,31,81,32,2.61,12
51,Slovenia,Eastern Europe,31,30,114,25,3.68,25
52,Luxembourg,Western Europe,27,16,270,40,10.0,25
53,Ecuador,Latin America,25,22,95,27,3.8,16
54,Ghana,Africa,25,25,433,119,17.32,34
55,United Arab Emirates,Middle East,23,23,226,40,9.83,26
56,Saudi Arabia,Middle East,22,22,184,38,8.36,29
57,Thailand,Asiatic Region,21,21,236,42,11.24,34
58,Bangladesh,Asiatic Region,18,17,128,42,7.11,27
59,Lebanon,Middle East,17,16,190,10,11.18,18
60,Morocco,Africa,15,15,88,53,5.87,13
61,Philippines,Asiatic Region,14,12,98,5,7.0,20
62,Macedonia,Eastern Europe,14,4,19,0,1.36,4
63,Qatar,Middle East,13,12,110,38,8.46,22
64,Ukraine,Eastern Europe,12,12,27,9,2.25,12
65,Jordan,Middle East,12,11,55,10,4.58,16
66,Sri Lanka,Asiatic Region,11,10,139,18,12.64,16
67,Iraq,Middle East,11,11,98,53,8.91,15
68,Viet Nam,Asiatic Region,10,9,71,7,7.1,26
69,Uruguay,Latin America,10,10,0,0,0.0,7
70,Estonia,Eastern Europe,10,4,88,14,8.8,32
71,Kenya,Africa,10,10,180,21,18.0,36
72,Ethiopia,Africa,9,9,554,46,61.56,20
73,Peru,Latin America,9,9,167,17,18.56,17
74,Tanzania,Africa,8,8,93,16,11.63,27
75,Bosnia and Herzegovina,Eastern Europe,8,7,19,5,2.38,7
76,Cyprus,Western Europe,8,5,12,1,1.5,14
77,Oman,Middle East,7,6,24,10,3.43,16
78,Latvia,Eastern Europe,6,6,20,1,3.33,13
79,Bahrain,Middle East,6,6,40,1,6.67,11
80,Burkina Faso,Africa,6,6,38,5,6.33,6
81,Lithuania,Eastern Europe,6,6,79,10,13.17,13
82,Venezuela,Latin America,6,6,3,0,0.5,11
83,Tunisia,Africa,6,6,3,0,0.5,9
