Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,60575,56802,1271323,621512,20.99,955
2,United Kingdom,Western Europe,21824,20212,470900,140486,21.58,582
3,Australia,Pacific Region,9447,8941,200639,53465,21.24,396
4,China,Asiatic Region,8690,8513,108399,54432,12.47,300
5,Germany,Western Europe,8678,8211,168726,39563,19.44,405
6,Canada,Northern America,8665,8203,197281,38190,22.77,468
7,Spain,Western Europe,7183,6923,99698,30836,13.88,285
8,France,Western Europe,6648,6303,79563,16020,11.97,309
9,Netherlands,Western Europe,5278,4865,157019,26472,29.75,425
10,Italy,Western Europe,4609,4339,84057,19959,18.24,296
11,India,Asiatic Region,3900,3719,37838,13917,9.7,197
12,Brazil,Latin America,3732,3629,31773,12760,8.51,175
13,Japan,Asiatic Region,3127,2996,36130,7578,11.55,224
14,Sweden,Western Europe,2911,2768,71747,12620,24.65,296
15,Taiwan,Asiatic Region,2774,2723,42097,7546,15.18,232
16,Belgium,Western Europe,2531,2399,55373,7691,21.88,255
17,Turkey,Middle East,2395,2364,26654,6988,11.13,185
18,South Africa,Africa,2352,2249,34758,11226,14.78,201
19,Switzerland,Western Europe,2113,1972,58265,7462,27.57,286
20,Israel,Middle East,1964,1898,37855,6892,19.27,263
21,South Korea,Asiatic Region,1942,1890,32566,4735,16.77,216
22,Norway,Western Europe,1898,1812,44168,6982,23.27,252
23,Hong Kong,Asiatic Region,1793,1711,42849,7040,23.9,257
24,New Zealand,Pacific Region,1745,1644,36184,5270,20.74,234
25,Denmark,Western Europe,1670,1590,39639,5766,23.74,258
26,Finland,Western Europe,1632,1570,34549,6232,21.17,237
27,Malaysia,Asiatic Region,1616,1587,17197,5048,10.64,150
28,Russian Federation,Eastern Europe,1591,1573,11415,3465,7.17,133
29,Portugal,Western Europe,1472,1423,21877,3849,14.86,168
30,Poland,Eastern Europe,1468,1429,12009,3519,8.18,132
31,Austria,Western Europe,1424,1331,24556,2956,17.24,216
32,Iran,Middle East,1403,1394,13589,3031,9.69,126
33,Singapore,Asiatic Region,1245,1180,27031,3165,21.71,219
34,Ireland,Western Europe,1236,1172,21681,3225,17.54,170
35,Mexico,Latin America,1178,1136,12255,2511,10.4,147
36,Greece,Western Europe,1165,1122,20612,2870,17.69,175
37,Romania,Eastern Europe,1140,1128,7275,1321,6.38,93
38,Czech Republic,Eastern Europe,1035,1020,9252,2875,8.94,127
39,Croatia,Eastern Europe,921,891,4712,1498,5.12,84
40,Chile,Latin America,906,870,12057,3679,13.31,136
41,Argentina,Latin America,859,818,7254,2148,8.44,111
42,Slovenia,Eastern Europe,778,723,5665,1436,7.28,99
43,Hungary,Eastern Europe,750,729,6417,1058,8.56,131
44,Nigeria,Africa,696,688,4192,1298,6.02,87
45,Colombia,Latin America,636,599,5834,1047,9.17,109
46,Thailand,Asiatic Region,635,622,8591,1370,13.53,114
47,Serbia,Eastern Europe,486,479,3327,858,6.85,78
48,Slovakia,Eastern Europe,468,456,3848,1021,8.22,87
49,Pakistan,Asiatic Region,437,409,3941,916,9.02,109
