Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,280,269,6089,2270,21.75,117
2,United Kingdom,Western Europe,141,132,3326,1113,23.59,94
3,Germany,Western Europe,79,75,1013,328,12.82,61
4,Spain,Western Europe,59,58,1811,571,30.69,69
5,Italy,Western Europe,44,43,601,167,13.66,60
6,Canada,Northern America,42,40,1080,187,25.71,71
7,Netherlands,Western Europe,37,35,1295,164,35.0,66
8,Australia,Pacific Region,37,37,943,217,25.49,59
9,Brazil,Latin America,30,30,1480,736,49.33,64
10,France,Western Europe,28,27,794,119,28.36,59
11,Japan,Asiatic Region,28,28,498,100,17.79,50
12,Switzerland,Western Europe,25,25,435,61,17.4,43
13,Belgium,Western Europe,23,23,597,69,25.96,53
14,China,Asiatic Region,19,19,489,206,25.74,41
15,Austria,Western Europe,19,18,278,30,14.63,38
16,Sweden,Western Europe,18,18,696,186,38.67,57
17,Ireland,Western Europe,12,12,433,55,36.08,48
18,Argentina,Latin America,10,10,260,41,26.0,45
19,New Zealand,Pacific Region,9,9,247,13,27.44,41
20,Chile,Latin America,9,9,315,10,35.0,24
21,Denmark,Western Europe,8,8,390,30,48.75,46
22,South Korea,Asiatic Region,7,7,152,60,21.71,39
23,Poland,Eastern Europe,6,6,158,38,26.33,40
24,Finland,Western Europe,5,5,70,7,14.0,29
25,Israel,Middle East,5,5,138,9,27.6,25
26,South Africa,Africa,4,4,48,4,12.0,26
27,Egypt,Africa/Middle East,4,4,81,14,20.25,27
28,India,Asiatic Region,4,4,116,61,29.0,36
29,Norway,Western Europe,4,4,141,28,35.25,27
30,Portugal,Western Europe,4,4,159,32,39.75,25
31,Thailand,Asiatic Region,4,4,115,42,28.75,31
32,Czech Republic,Eastern Europe,3,3,124,45,41.33,28
33,Hungary,Eastern Europe,3,3,135,3,45.0,31
34,Pakistan,Asiatic Region,3,3,147,36,49.0,18
35,Venezuela,Latin America,2,2,84,1,42.0,15
36,Turkey,Middle East,2,2,56,3,28.0,26
37,Croatia,Eastern Europe,2,2,44,5,22.0,7
38,Greece,Western Europe,2,2,30,0,15.0,20
39,Iran,Middle East,2,2,28,7,14.0,27
40,Taiwan,Asiatic Region,2,2,19,6,9.5,21
41,United Arab Emirates,Middle East,1,1,76,0,76.0,18
42,Trinidad and Tobago,Latin America,1,1,0,0,0.0,4
43,Ukraine,Eastern Europe,1,1,30,3,30.0,8
44,Uganda,Africa,1,1,9,0,9.0,1
45,Jamaica,Latin America,1,1,16,1,16.0,1
46,Jordan,Middle East,1,1,15,2,15.0,10
47,Kenya,Africa,1,1,9,0,9.0,8
48,Iceland,Western Europe,1,1,3,0,3.0,9
49,Liechtenstein,Western Europe,1,1,6,0,6.0,2
50,Mexico,Latin America,1,1,30,0,30.0,25
51,Nigeria,Africa,1,1,5,0,5.0,12
52,Uruguay,Latin America,1,1,47,7,47.0,25
53,Peru,Latin America,1,1,22,11,22.0,10
54,Hong Kong,Asiatic Region,1,1,12,1,12.0,13
55,Singapore,Asiatic Region,1,1,21,0,21.0,10
56,Slovakia,Eastern Europe,1,1,26,9,26.0,16
