Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,12332,12062,287599,92612,23.32,151
2,China,Asiatic Region,8326,8270,92564,50423,11.12,79
3,Germany,Western Europe,6719,6567,82177,19234,12.23,91
4,Canada,Northern America,4024,3970,91830,17625,22.82,111
5,United Kingdom,Western Europe,3929,3839,117185,23411,29.83,124
6,Brazil,Latin America,3686,3674,54279,22001,14.73,78
7,Spain,Western Europe,2737,2710,59373,16656,21.69,83
8,Italy,Western Europe,2722,2616,50884,11813,18.69,84
9,India,Asiatic Region,2576,2570,31038,11135,12.05,58
10,Poland,Eastern Europe,2533,2506,26468,9445,10.45,51
11,Australia,Pacific Region,2476,2441,53753,10549,21.71,90
12,France,Western Europe,2122,2081,54455,9029,25.66,95
13,Iran,Middle East,1817,1816,21935,6360,12.07,50
14,Netherlands,Western Europe,1805,1774,50474,6798,27.96,93
15,Egypt,Africa/Middle East,1630,1630,21689,5281,13.31,53
16,Japan,Asiatic Region,1605,1601,29848,6388,18.6,65
17,Denmark,Western Europe,1423,1397,37389,5815,26.27,83
18,Turkey,Middle East,1316,1306,17056,3846,12.96,49
19,Belgium,Western Europe,1272,1252,34373,4199,27.02,78
20,Sweden,Western Europe,1250,1235,32885,4601,26.31,82
21,Iraq,Middle East,1163,1162,3569,1593,3.07,21
22,Mexico,Latin America,1125,1120,15994,4483,14.22,48
23,Switzerland,Western Europe,1118,1102,21202,3270,18.96,64
24,Nigeria,Africa,966,964,8526,1973,8.83,36
25,Austria,Western Europe,900,883,18624,2786,20.69,58
26,South Africa,Africa,842,835,12400,2675,14.73,49
27,South Korea,Asiatic Region,831,830,12443,2744,14.97,47
28,New Zealand,Pacific Region,814,800,18475,2225,22.7,62
29,Norway,Western Europe,808,798,16842,2453,20.84,62
30,Argentina,Latin America,790,786,15164,2575,19.19,55
31,Ethiopia,Africa,645,644,9732,3022,15.09,44
32,Thailand,Asiatic Region,599,593,8346,1916,13.93,41
33,Hungary,Eastern Europe,582,556,9585,1362,16.47,48
34,Pakistan,Asiatic Region,560,559,7729,1933,13.8,41
35,Czech Republic,Eastern Europe,551,550,7865,1815,14.27,40
36,Greece,Western Europe,543,531,9860,1818,18.16,47
37,Ireland,Western Europe,515,507,15115,2588,29.35,62
