Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,426,424,8503,3495,19.96,123
2,Germany,Western Europe,130,130,946,335,7.28,67
3,United Kingdom,Western Europe,105,104,3095,872,29.48,87
4,France,Western Europe,62,62,985,151,15.89,61
5,Canada,Northern America,39,39,1290,212,33.08,73
6,Australia,Pacific Region,34,34,316,50,9.29,61
7,Japan,Asiatic Region,21,21,894,312,42.57,50
8,Spain,Western Europe,20,20,506,130,25.3,70
9,Brazil,Latin America,16,16,417,131,26.06,64
10,New Zealand,Pacific Region,13,13,657,28,50.54,37
11,Switzerland,Western Europe,12,12,358,36,29.83,46
12,Norway,Western Europe,12,12,346,88,28.83,32
13,Netherlands,Western Europe,11,11,683,51,62.09,58
14,Sweden,Western Europe,11,11,340,41,30.91,55
15,Ireland,Western Europe,11,11,173,12,15.73,45
16,Austria,Western Europe,7,7,84,25,12.0,38
17,Greece,Western Europe,6,6,84,15,14.0,26
18,Hungary,Eastern Europe,6,6,275,40,45.83,32
19,Argentina,Latin America,6,6,255,12,42.5,46
20,Denmark,Western Europe,5,5,231,9,46.2,43
21,Poland,Eastern Europe,5,5,96,36,19.2,43
22,Israel,Middle East,5,5,36,8,7.2,29
23,Italy,Western Europe,5,5,47,9,9.4,63
24,Czech Republic,Eastern Europe,3,3,181,18,60.33,30
25,India,Asiatic Region,3,3,44,15,14.67,37
26,China,Asiatic Region,3,3,37,4,12.33,42
27,Belgium,Western Europe,3,3,209,51,69.67,54
28,Portugal,Western Europe,3,3,149,3,49.67,29
29,Chile,Latin America,3,3,18,7,6.0,25
30,Mexico,Latin America,3,3,142,18,47.33,25
31,Russian Federation,Eastern Europe,3,3,23,2,7.67,12
32,Pakistan,Asiatic Region,3,3,50,9,16.67,18
33,South Africa,Africa,2,2,75,4,37.5,26
34,Bulgaria,Eastern Europe,2,2,17,0,8.5,13
35,South Korea,Asiatic Region,2,2,19,3,9.5,40
36,Taiwan,Asiatic Region,2,2,30,4,15.0,26
37,United Arab Emirates,Middle East,2,2,31,12,15.5,18
38,Indonesia,Asiatic Region,1,1,7,0,7.0,7
39,Finland,Western Europe,1,1,8,3,8.0,28
40,Slovakia,Eastern Europe,1,1,17,8,17.0,16
41,Senegal,Africa,1,1,3,0,3.0,4
42,Tunisia,Africa,1,1,54,1,54.0,10
43,Uruguay,Latin America,1,1,32,1,32.0,25
44,Costa Rica,Latin America,1,1,11,1,11.0,4
45,Malaysia,Asiatic Region,1,1,55,0,55.0,12
46,Kenya,Africa,1,1,26,1,26.0,5
