Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,111191,104296,2106982,887272,18.95,260
2,United Kingdom,Western Europe,42166,35432,820207,188916,19.45,217
3,Brazil,Latin America,41094,40627,387563,200257,9.43,128
4,India,Asiatic Region,33335,32926,189634,77000,5.69,107
5,Germany,Western Europe,30096,29494,399268,88371,13.27,151
6,China,Asiatic Region,30081,29667,340645,170793,11.32,120
7,France,Western Europe,19796,18960,330417,55038,16.69,166
8,Japan,Asiatic Region,19683,18365,258470,56032,13.13,108
9,Canada,Northern America,19431,18513,377266,63430,19.42,168
10,Italy,Western Europe,19231,18581,308052,71339,16.02,147
11,Australia,Pacific Region,17120,16395,314587,66061,18.38,153
12,Spain,Western Europe,15782,15474,292735,69924,18.55,142
13,Poland,Eastern Europe,14674,14600,100156,35986,6.83,70
14,Turkey,Middle East,14672,14574,107071,31880,7.3,78
15,South Korea,Asiatic Region,11310,11175,115028,23960,10.17,87
16,Netherlands,Western Europe,10653,10206,246351,32981,23.13,154
17,Switzerland,Western Europe,10459,10049,210168,29238,20.09,136
18,Belgium,Western Europe,10260,9791,196332,28850,19.14,136
19,Iran,Middle East,9710,9670,82334,26715,8.48,78
20,Egypt,Africa/Middle East,7702,7652,73180,19252,9.5,74
21,Mexico,Latin America,6490,6431,68094,19371,10.49,79
22,Denmark,Western Europe,6348,6202,154032,21906,24.26,131
23,Sweden,Western Europe,6150,6032,148180,17672,24.09,119
24,Austria,Western Europe,5513,5418,84482,12909,15.32,97
25,South Africa,Africa,5488,5361,89380,18775,16.29,100
26,Thailand,Asiatic Region,5464,5251,63559,15274,11.63,83
27,Argentina,Latin America,5210,5111,71531,16247,13.73,84
28,New Zealand,Pacific Region,5050,4838,90280,16112,17.88,103
29,Czech Republic,Eastern Europe,4424,4373,60779,12039,13.74,80
30,Hungary,Eastern Europe,4196,4135,41094,6893,9.79,71
31,Indonesia,Asiatic Region,3652,3641,21480,7661,5.88,48
32,Ireland,Western Europe,3400,3216,63078,9329,18.55,93
33,Norway,Western Europe,3368,3301,76584,12896,22.74,93
34,Pakistan,Asiatic Region,3336,3306,33899,10295,10.16,60
35,Nigeria,Africa,3232,3198,26910,6512,8.33,52
36,Iraq,Middle East,2951,2947,9939,3922,3.37,32
37,Portugal,Western Europe,2838,2755,43261,6670,15.24,76
38,Colombia,Latin America,2732,2676,24279,5062,8.89,63
39,Greece,Western Europe,2723,2662,41717,6133,15.32,76
40,Israel,Middle East,2644,2552,51337,6286,19.42,84
41,Chile,Latin America,2527,2496,25548,6187,10.11,53
42,Finland,Western Europe,2474,2433,54109,6159,21.87,83
43,Saudi Arabia,Middle East,2402,2389,24702,5062,10.28,56
44,Taiwan,Asiatic Region,2379,2343,40407,5797,16.98,70
45,Malaysia,Asiatic Region,2300,2279,26618,6062,11.57,56
46,Bulgaria,Eastern Europe,2277,2265,11461,2174,5.03,41
47,Peru,Latin America,2035,2024,10753,2975,5.28,43
48,Slovakia,Eastern Europe,1943,1932,21525,3908,11.08,58
49,Ethiopia,Africa,1903,1895,24610,6784,12.93,58
50,Kenya,Africa,1872,1832,34206,6686,18.27,75
51,Croatia,Eastern Europe,1828,1810,14821,2587,8.11,48
52,Serbia,Eastern Europe,1699,1684,9934,2292,5.85,35
53,Venezuela,Latin America,1521,1494,12344,1947,8.12,46
54,Bangladesh,Asiatic Region,1513,1489,15375,2947,10.16,48
55,Russian Federation,Eastern Europe,1406,1394,11655,3100,8.29,42
56,Viet Nam,Asiatic Region,1196,1171,15679,2561,13.11,55
57,Slovenia,Eastern Europe,1144,1125,11964,1248,10.46,45
58,Uruguay,Latin America,1095,1080,13977,2325,12.76,54
59,Cuba,Latin America,989,970,8556,1702,8.65,40
60,Lithuania,Eastern Europe,981,977,7338,1228,7.48,39
61,Tanzania,Africa,887,863,16115,2704,18.17,57
62,Tunisia,Africa,882,878,12130,2304,13.75,46
63,Romania,Eastern Europe,879,869,6785,1000,7.72,40
64,Philippines,Asiatic Region,863,852,8733,1201,10.12,42
65,Algeria,Africa,802,799,6051,1316,7.54,33
