Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5922,5578,16982,7070,2.87,260
2,China,Asiatic Region,3065,3022,11619,7496,3.79,120
3,Brazil,Latin America,2893,2863,4402,1855,1.52,128
4,United Kingdom,Western Europe,2162,1917,6464,1686,2.99,217
5,Italy,Western Europe,1613,1556,5098,1774,3.16,147
6,India,Asiatic Region,1405,1385,2630,954,1.87,107
7,Germany,Western Europe,1211,1156,3258,885,2.69,151
8,Australia,Pacific Region,1162,1111,4061,1052,3.49,153
9,Spain,Western Europe,1160,1125,3444,1037,2.97,142
10,Canada,Northern America,1092,1042,3186,628,2.92,168
11,Egypt,Africa/Middle East,1032,1028,3123,1260,3.03,74
12,Japan,Asiatic Region,940,861,1747,554,1.86,108
13,South Korea,Asiatic Region,849,835,1826,599,2.15,87
14,Iran,Middle East,839,832,1676,557,2.0,78
15,Poland,Eastern Europe,811,796,1857,603,2.29,70
16,France,Western Europe,807,769,2370,481,2.94,166
17,Turkey,Middle East,737,732,1098,350,1.49,78
18,Thailand,Asiatic Region,543,540,1453,585,2.68,83
19,Mexico,Latin America,520,510,1172,372,2.25,79
20,Indonesia,Asiatic Region,513,511,765,375,1.49,48
21,Switzerland,Western Europe,513,481,1421,286,2.77,136
22,Netherlands,Western Europe,479,460,1589,276,3.32,154
23,Belgium,Western Europe,453,434,1273,225,2.81,136
24,Iraq,Middle East,432,430,788,584,1.82,32
25,Pakistan,Asiatic Region,374,369,1152,410,3.08,60
26,South Africa,Africa,367,360,869,234,2.37,100
27,Austria,Western Europe,333,321,837,156,2.51,97
28,Argentina,Latin America,332,321,738,137,2.22,84
29,Denmark,Western Europe,311,299,1051,180,3.38,131
30,Sweden,Western Europe,304,294,1044,147,3.43,119
31,Saudi Arabia,Middle East,303,302,1311,383,4.33,56
32,Nigeria,Africa,290,285,478,130,1.65,52
33,Portugal,Western Europe,286,274,928,244,3.24,76
34,Colombia,Latin America,262,257,481,99,1.84,63
35,New Zealand,Pacific Region,261,251,591,131,2.26,103
36,Czech Republic,Eastern Europe,250,244,513,119,2.05,80
37,Chile,Latin America,246,241,680,172,2.76,53
38,Peru,Latin America,240,238,271,88,1.13,43
39,Malaysia,Asiatic Region,225,224,569,146,2.53,56
40,Ireland,Western Europe,217,207,790,141,3.64,93
41,Bangladesh,Asiatic Region,208,206,743,235,3.57,48
42,Russian Federation,Eastern Europe,200,199,583,198,2.92,42
43,Ethiopia,Africa,199,197,419,113,2.11,58
44,Hungary,Eastern Europe,197,184,443,114,2.25,71
45,Greece,Western Europe,185,178,528,115,2.85,76
46,Bulgaria,Eastern Europe,173,170,153,50,0.88,41
47,Viet Nam,Asiatic Region,168,165,516,129,3.07,55
48,Norway,Western Europe,164,158,465,98,2.84,93
49,Finland,Western Europe,144,142,426,84,2.96,83
50,Israel,Middle East,135,127,551,84,4.08,84
51,Taiwan,Asiatic Region,128,124,297,80,2.32,70
52,Serbia,Eastern Europe,124,123,248,52,2.0,35
53,Uruguay,Latin America,120,117,228,55,1.9,54
54,Slovakia,Eastern Europe,120,117,256,71,2.13,58
55,Kenya,Africa,118,115,287,73,2.43,75
56,Croatia,Eastern Europe,105,103,154,49,1.47,48
57,Algeria,Africa,102,101,174,55,1.71,33
58,Hong Kong,Asiatic Region,80,75,692,92,8.65,60
59,Slovenia,Eastern Europe,80,80,132,26,1.65,45
60,Ecuador,Latin America,76,76,165,23,2.17,31
61,United Arab Emirates,Middle East,75,72,194,46,2.59,39
62,Romania,Eastern Europe,75,74,172,32,2.29,40
63,Philippines,Asiatic Region,73,72,97,20,1.33,42
64,Lithuania,Eastern Europe,71,70,207,58,2.92,39
65,Tunisia,Africa,70,70,141,33,2.01,46
66,Singapore,Asiatic Region,62,54,168,21,2.71,55
67,Morocco,Africa,61,61,112,36,1.84,42
68,Kazakhstan,Asiatic Region,54,54,76,28,1.41,20
69,Ukraine,Eastern Europe,52,51,73,25,1.4,30
70,Tanzania,Africa,50,50,118,26,2.36,57
71,Uganda,Africa,50,48,143,26,2.86,45
72,Sudan,Africa,46,45,97,7,2.11,41
73,Jordan,Middle East,46,44,67,14,1.46,42
74,Senegal,Africa,43,40,131,21,3.05,35
75,Saint Kitts and Nevis,Latin America,38,34,76,13,2.0,27
76,Ghana,Africa,37,37,184,17,4.97,35
77,Cameroon,Africa,34,34,127,22,3.74,41
78,Sri Lanka,Asiatic Region,33,33,52,11,1.58,37
79,Nepal,Asiatic Region,33,32,79,14,2.39,30
80,Costa Rica,Latin America,32,32,61,12,1.91,37
81,Benin,Africa,32,32,115,21,3.59,27
82,Burkina Faso,Africa,32,32,88,24,2.75,42
83,Bosnia and Herzegovina,Eastern Europe,32,32,37,6,1.16,16
84,Cuba,Latin America,31,31,52,11,1.68,40
85,Cyprus,Western Europe,28,27,94,13,3.36,23
86,Venezuela,Latin America,25,25,23,5,0.92,46
87,Latvia,Eastern Europe,24,24,74,12,3.08,21
88,Macedonia,Eastern Europe,23,23,12,3,0.52,18
89,Qatar,Middle East,22,21,36,6,1.64,23
90,Estonia,Eastern Europe,22,22,69,9,3.14,37
91,Côte d’Ivoire,Africa,21,21,47,6,2.24,37
92,Mozambique,Africa,20,19,72,10,3.6,28
93,Libya,Africa,19,19,47,2,2.47,23
94,Albania,Eastern Europe,17,17,20,11,1.18,22
95,Zambia,Africa,17,16,46,12,2.71,39
96,Zimbabwe,Africa,17,17,51,5,3.0,43
97,Yemen,Middle East,16,16,64,5,4.0,21
98,Malawi,Africa,16,14,56,7,3.5,23
99,Laos,Asiatic Region,15,15,77,13,5.13,28
100,Kuwait,Middle East,14,14,47,9,3.36,26
101,Luxembourg,Western Europe,14,14,58,3,4.14,21
102,Botswana,Africa,14,14,20,5,1.43,25
103,Oman,Middle East,14,14,32,4,2.29,29
104,Trinidad and Tobago,Latin America,14,14,17,4,1.21,36
105,Mali,Africa,13,13,64,6,4.92,34
106,Iceland,Western Europe,13,13,19,3,1.46,37
107,Paraguay,Latin America,13,13,8,1,0.62,14
108,Gabon,Africa,12,11,32,3,2.67,28
109,Togo,Africa,12,12,42,5,3.5,16
110,Afghanistan,Asiatic Region,12,9,37,6,3.08,13
111,Myanmar,Asiatic Region,11,11,13,0,1.18,19
112,Cambodia,Asiatic Region,11,11,25,2,2.27,31
113,Democratic Republic Congo,Africa,11,8,26,6,2.36,15
114,Bhutan,Asiatic Region,11,10,29,10,2.64,21
115,Kyrgyzstan,Asiatic Region,11,11,30,4,2.73,12
116,Lebanon,Middle East,11,9,60,8,5.45,21
117,Grenada,Latin America,11,9,5,1,0.45,21
118,Panama,Latin America,10,10,11,3,1.1,26
119,Congo,Africa,10,10,76,2,7.6,21
120,Rwanda,Africa,10,10,14,1,1.4,19
121,Honduras,Latin America,10,10,23,4,2.3,11
122,Syrian Arab Republic,Middle East,9,9,12,2,1.33,26
123,Namibia,Africa,9,9,20,4,2.22,22
124,Chad,Africa,9,9,28,5,3.11,20
125,Palestine,Middle East,8,7,16,4,2.0,17
126,Guatemala,Latin America,8,8,30,4,3.75,21
127,Bolivia,Latin America,8,7,93,6,11.63,30
128,Puerto Rico,Latin America,7,7,17,2,2.43,32
129,Fiji,Pacific Region,7,7,12,0,1.71,12
130,Niger,Africa,7,7,36,1,5.14,26
131,Malta,Western Europe,7,7,35,0,5.0,18
132,Lesotho,Africa,7,7,5,0,0.71,5
133,Gambia,Africa,6,6,23,5,3.83,38
134,Georgia,Eastern Europe,6,6,37,2,6.17,15
135,Belarus,Eastern Europe,5,5,23,2,4.6,18
136,Guinea,Africa,5,5,12,0,2.4,13
137,Mongolia,Asiatic Region,5,4,8,2,1.6,24
138,French Guiana,Latin America,5,5,7,3,1.4,11
139,Cayman Islands,Latin America,4,4,3,0,0.75,14
140,Madagascar,Africa,4,4,9,1,2.25,23
141,Dominican Republic,Latin America,4,4,37,1,9.25,13
142,Mauritania,Africa,4,4,27,0,6.75,11
143,El Salvador,Latin America,4,4,35,0,8.75,7
144,Somalia,Africa,4,4,4,3,1.0,6
